year,six_DET oeufs_NOUN,six_DET boeufs_NOUN
1800,5.973912209356058e-08,1.2576657582030748e-07
1801,4.286128785224719e-08,7.381665767525192e-08
1802,4.2518962573012686e-08,6.713520406265161e-09
1803,5.265915774543828e-07,5.851017448321727e-09
1804,7.415552971679062e-08,2.4718509461507665e-09
1805,5.685755510853596e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,8.645007376628655e-09
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,6.7770917766551975e-09,9.036122072814123e-09
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,1.7254450312975678e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,3.236668177919455e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,3.269434145636296e-08,4.670620334934483e-09
1818,5.96058882251782e-08,1.1921177378582115e-09
1819,1.8631890696951814e-08,1.035105001712111e-09
1820,1.6613073583471305e-08,0.0
1821,4.930744257336528e-09,3.94459531705138e-09
1822,6.015369535816717e-09,3.0076847679083585e-09
1823,5.435477845594505e-08,5.929612356680991e-09
1824,6.736890156844311e-09,0.0
1825,1.1447076175841175e-08,0.0
1826,1.6735169694470642e-08,2.642395191543301e-09
1827,9.217273166939322e-09,2.7651818612639545e-09
1828,1.0089530988466322e-08,9.172301251858528e-10
1829,0.0,1.714635211591542e-09
1830,3.1310507520032616e-09,5.218417697960831e-09
1831,4.677361609140007e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,5.600718555598405e-09,2.8003592777992026e-09
1835,4.5378527602224494e-09,3.025235173481633e-09
1836,4.032449929525228e-09,4.032449929525228e-09
1837,4.87052354003481e-09,4.174734336004349e-09
1838,6.943378316748294e-09,6.312161904276081e-10
1839,4.194885327990505e-09,1.3982950353153e-09
1840,3.821813088222825e-09,1.2739377330817092e-09
1841,5.778493683550323e-09,1.926164561183441e-09
1842,1.341653010911159e-09,2.0124795163667386e-09
1843,5.906911071384968e-10,5.906911071384968e-10
1844,3.841992946007622e-09,1.097712254427563e-09
1845,1.674068439427856e-09,0.0
1846,4.6836010625384006e-09,5.854501328173001e-10
1847,5.9325460100012606e-09,5.393223645455691e-10
1848,1.045878850192139e-08,6.43617736884039e-09
1849,3.3517659758786067e-09,5.02764896381791e-09
1850,4.073397619208663e-09,0.0
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,0.0,1.3021090872200602e-09
1853,7.763511611358354e-09,2.9859659189668264e-09
1854,3.63696517347023e-09,3.117398783558656e-09
1855,2.653468555990912e-09,1.5920811335945473e-09
1856,1.0354378465748937e-09,5.177189232874468e-10
1857,3.905207268672939e-09,4.881509085841174e-10
1858,2.4468380654951716e-09,4.893676019968041e-10
1859,5.092173349652285e-09,1.5276520048956854e-09
1860,4.577183909670879e-10,9.154367819341758e-10
1861,1.4147891747029462e-09,4.715963730639317e-10
1862,3.6143890103090826e-09,9.035972525772706e-10
1863,3.995696662428827e-09,9.989241656072068e-10
1864,2.3973640850272204e-09,4.794727948009836e-10
1865,3.765475486972036e-09,9.41368871743009e-10
1866,3.8924903300596725e-09,1.9462451650298362e-09
1867,2.426405742994575e-09,9.7056229719783e-10
1868,9.87974813071446e-10,0.0
1869,9.767038289254515e-10,0.0
1870,1.7202146374017957e-09,0.0
1871,0.0,1.0621177271019633e-09
1872,6.047339295989218e-10,6.047339295989218e-10
1873,5.986004469882289e-10,0.0
1874,1.1949218281515073e-09,0.0
1875,1.716458086775674e-09,2.8607636259891933e-09
1876,0.0,0.0
1877,0.0,6.184815992682502e-10
1878,1.8117265465633636e-09,3.6234530931267273e-09
1879,3.665595160740054e-09,1.221865053580018e-09
1880,1.2835692508872398e-09,1.9253538763308597e-09
1881,6.972507571312292e-10,0.0
1882,3.3276925659464496e-09,1.3310770263785798e-09
1883,1.2638677882037541e-09,1.8958017378167824e-09
1884,2.6406787867472303e-09,0.0
1885,6.445635691854079e-10,6.445635691854079e-10
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,6.528924623161458e-10,1.9586774424595887e-09
1888,1.9021844099853524e-09,0.0
1889,1.1903759755682586e-08,1.2530273485467092e-09
1890,3.9326319978272295e-09,0.0
1891,2.5496880162734215e-09,1.2748440081367107e-09
1892,1.2537024751679837e-09,0.0
1893,2.463366621796581e-09,6.158416554491453e-10
1894,1.8904617871129403e-09,3.150769645188234e-09
1895,1.2037228991346183e-09,6.018614495673091e-10
1896,0.0,1.7691086373616827e-09
1897,0.0,5.826713556089658e-10
1898,5.6583548957434e-10,2.26334195829736e-09
1899,1.6582735185011188e-09,1.1055156790007459e-09
1900,5.191053142894475e-10,2.07642125715779e-09
1901,0.0,0.0
1902,2.455141867585553e-09,9.820567692386817e-10
1903,1.0800440541913758e-09,1.6200660812870638e-09
1904,1.0749250378694342e-09,1.6123875568041512e-09
1905,5.160759042333041e-10,5.160759042333041e-10
1906,2.0576738091193647e-09,1.0288369045596824e-09
1907,5.142843373384665e-10,5.142843373384665e-10
1908,2.9468334439286537e-09,9.822778146428846e-10
1909,1.265226234892225e-08,1.6502950117569526e-09
1910,5.344150677544235e-10,2.137660271017694e-09
1911,7.448523575703803e-09,0.0
1912,1.0418842455450772e-09,0.0
1913,7.954484182448596e-09,1.590896969716482e-09
1914,1.7411533548283842e-08,1.3393487430235496e-09
1915,1.4136913861761968e-08,0.0
1916,0.0,4.394984820521586e-09
1917,1.0966424435210342e-09,5.483212106582869e-09
1918,0.0,3.44591288836682e-09
1919,0.0,9.207848372660976e-10
1920,1.514446346106979e-09,7.572231730534895e-10
1921,0.0,2.2718242842501013e-09
1922,1.696925089333945e-08,2.2133805899215986e-09
1923,1.0615948120573648e-09,2.1231896241147297e-09
1924,1.289162443462999e-09,1.289162443462999e-09
1925,2.1996355847875293e-09,3.299453377181294e-09
1926,3.343841648018042e-09,2.229227691330493e-09
1927,1.1149224876660924e-09,3.3447675740205796e-09
1928,1.1426041224282812e-09,0.0
1929,8.912325100141061e-09,2.2280812750352652e-09
1930,1.0503603542488804e-09,4.201441416995522e-09
1931,2.2810713318222042e-09,0.0
1932,4.383814644626227e-09,2.1919073223131136e-09
1933,0.0,5.735331320977366e-09
1934,0.0,1.1981580172459871e-09
1935,2.393656828303392e-09,3.590485242455088e-09
1936,7.274828739411987e-09,0.0
1937,1.2591118148108649e-09,3.777335333410292e-09
1938,0.0,9.075650453382877e-09
1939,1.5294050470515685e-09,7.647025235257843e-09
1940,1.2678914806940611e-08,0.0
1941,2.9515025978810172e-09,5.9030051957620344e-09
1942,0.0,1.517105907566929e-08
