year,ses_DET ailes_NOUN,ses_DET belles_ADJ
1800,6.901441224727023e-06,1.7544437316274752e-06
1801,3.957525350983815e-06,1.943044978247599e-06
1802,4.750934465391765e-06,2.2535050732130912e-06
1803,7.645329844763182e-06,1.9600909695327573e-06
1804,4.256527134316457e-06,2.0442207713244898e-06
1805,3.72132684844928e-06,1.6147545771616478e-06
1806,4.685594120701353e-06,2.1353167944937468e-06
1807,2.6903726251248372e-06,1.6170704917328749e-06
1808,3.578130794323897e-06,1.7652716834959392e-06
1809,3.634780085803868e-06,1.8252966782483782e-06
1810,3.886950580067605e-06,1.9680466110116868e-06
1811,2.9107161587660357e-06,2.0482816225353417e-06
1812,2.605862540860926e-06,1.971066829753454e-06
1813,2.527777013483501e-06,1.987137409287243e-06
1814,1.979259808493339e-06,1.812486029706406e-06
1815,1.807139785370282e-06,1.666884138273872e-06
1816,6.5611367858764424e-06,1.7660141864439538e-06
1817,5.870969630450418e-06,1.779506277443943e-06
1818,4.6576038528201025e-06,1.8930829739360888e-06
1819,2.8310121535923827e-06,1.7886614251949595e-06
1820,2.5394269869138952e-06,1.5960417627525203e-06
1821,2.795732044091892e-06,1.925948666325894e-06
1822,3.387655638675824e-06,2.0853280489063764e-06
1823,2.639665581227746e-06,1.8075434127240442e-06
1824,2.4539121383782003e-06,2.0235933249068694e-06
1825,2.8776188543133685e-06,1.920467070704035e-06
1826,3.2307686339549946e-06,1.6594242282508276e-06
1827,2.480368067381278e-06,1.7899944779742327e-06
1828,2.9562326915311132e-06,1.6317523616748986e-06
1829,2.4587868949765834e-06,1.9306792324869093e-06
1830,3.62575669043963e-06,1.8441889011455714e-06
1831,2.960770032700566e-06,1.5419703398578122e-06
1832,5.16980111342491e-06,2.070085336924876e-06
1833,4.2616169935172366e-06,1.9923841776403606e-06
1834,4.092258265586679e-06,1.8846417511042546e-06
1835,3.28994329379384e-06,1.8400992800593485e-06
1836,3.889970074055782e-06,1.903316452001036e-06
1837,2.975194206555898e-06,1.979520021677672e-06
1838,3.2816930470858097e-06,2.136035654132229e-06
1839,2.6854256915953556e-06,1.8513426596200588e-06
1840,2.7325963358748595e-06,1.8382921354032078e-06
1841,3.3643673589267564e-06,1.8773684118400524e-06
1842,3.0267690860341645e-06,2.01516277797964e-06
1843,3.0845889256170267e-06,1.8441376852251778e-06
1844,2.5532788043847177e-06,1.8216535266901701e-06
1845,2.754400611593155e-06,1.8291986663143689e-06
1846,2.7088777017070242e-06,1.8904184564405568e-06
1847,2.260839352175026e-06,1.57536067035835e-06
1848,2.1408335797445943e-06,1.5993900568389563e-06
1849,2.626108525305426e-06,1.5845473626541207e-06
1850,2.8398370659488137e-06,1.8065518112564405e-06
1851,2.467555212604111e-06,1.671694498384113e-06
1852,3.2012352164656477e-06,1.6061515033527485e-06
1853,3.2547029462648425e-06,1.810689749248695e-06
1854,2.817089260531702e-06,2.078265808336255e-06
1855,3.242538483050339e-06,2.1864580048713833e-06
1856,2.865056622169959e-06,1.7918252126492007e-06
1857,3.1515021703398816e-06,2.158115062655952e-06
1858,2.614201775941183e-06,2.0876422937021744e-06
1859,3.005909949393981e-06,1.941645667358216e-06
1860,3.308846160621215e-06,1.999771626515212e-06
1861,3.0068985239495305e-06,1.8854422769720713e-06
1862,2.66154577133193e-06,1.914722549400949e-06
1863,2.5192867489920445e-06,1.8565005532877876e-06
1864,2.7095007055777387e-06,1.92172699087223e-06
1865,2.4692106066481756e-06,1.7500047668761454e-06
1866,2.6653828015810177e-06,1.767677204611573e-06
1867,3.1698564129101214e-06,2.0342985891375065e-06
1868,2.6265311561246563e-06,1.8529467595840288e-06
1869,2.8778578098354046e-06,1.9255715670851714e-06
1870,2.510939921762656e-06,1.7964774485790258e-06
1871,2.440746598608712e-06,1.4965238790409785e-06
1872,2.346972472366815e-06,1.505182698480212e-06
1873,2.186088877920156e-06,1.571326123439576e-06
1874,4.265870870767685e-06,1.8413745301870676e-06
1875,2.3767223069626198e-06,1.680984695440202e-06
1876,2.2823706160579604e-06,1.9208188888342193e-06
1877,2.4108413754220237e-06,1.7274190611260565e-06
1878,2.459116863917643e-06,1.7392575806240984e-06
1879,2.083890770165908e-06,1.7454342362555053e-06
1880,1.9259956474115825e-06,1.7912208960524367e-06
1881,1.9850729451320603e-06,1.7940261898274912e-06
1882,2.265493069586455e-06,1.8462038724464946e-06
1883,1.9640505115603446e-06,1.7194921539953612e-06
1884,2.4320650808817845e-06,1.7923606883130105e-06
1885,1.8782582245080448e-06,1.5824035664024905e-06
1886,2.110282622425075e-06,1.7972896415585637e-06
1887,2.159768250464822e-06,1.618520435897608e-06
1888,1.993489263441006e-06,1.7512778249795247e-06
1889,1.8162631256757322e-06,1.6358272034722177e-06
1890,1.951896269503095e-06,1.6444955974748154e-06
1891,1.9932185040261174e-06,1.6082157614505377e-06
1892,1.553964242617667e-06,1.5646206499297932e-06
1893,1.6559981794728174e-06,1.6147367922769718e-06
1894,1.78648640769552e-06,1.7184297931294168e-06
1895,1.7363702724537688e-06,1.5082648054942638e-06
1896,1.603402211003413e-06,1.5550465981561956e-06
1897,1.5784566933518818e-06,1.4840639117608134e-06
1898,1.4519339153196142e-06,1.3693218967603116e-06
1899,1.6350576714785348e-06,1.3642063763086298e-06
1900,1.5168257547770736e-06,1.5282460488208471e-06
1901,1.5016941077306e-06,1.4497189155804335e-06
1902,1.5968243118891223e-06,1.3336331150526348e-06
1903,1.6162859211021896e-06,1.438078712112656e-06
1904,1.4575983442455254e-06,1.286147856660591e-06
1905,1.5136506092972013e-06,1.4248856174958746e-06
1906,1.4609484537686512e-06,1.2834739919753702e-06
1907,1.6256527786140396e-06,1.408110563261289e-06
1908,1.9537505586697534e-06,1.3506319831435576e-06
1909,2.0491163041924665e-06,1.416503319973117e-06
1910,2.18789523387386e-06,1.4434550799080625e-06
1911,1.9445967964770716e-06,1.4795960332492086e-06
1912,1.981142858653584e-06,1.2705778722477135e-06
1913,1.7871074788899932e-06,1.439231386513029e-06
1914,1.5630199996508054e-06,1.402967846786396e-06
1915,1.4561021295378396e-06,1.1474461825145e-06
1916,2.3348356918972968e-06,1.162473488136584e-06
1917,2.1263897593826186e-06,1.4311184379778297e-06
1918,2.3742339436694238e-06,1.3485005396773886e-06
1919,1.9787665763715268e-06,1.4594440216342264e-06
1920,1.7128388449805243e-06,1.326655027611423e-06
1921,1.81821668121529e-06,1.3683954840360002e-06
1922,2.0791021810850907e-06,1.3531133653543748e-06
1923,2.047816458627949e-06,1.343979015189234e-06
1924,1.8293215120479545e-06,1.393584618369914e-06
1925,1.886187533273187e-06,1.475955464513845e-06
1926,1.8480297754308594e-06,1.4267057366623703e-06
1927,1.970067984302659e-06,1.511834877732099e-06
1928,1.6384942682634573e-06,1.3517006998142733e-06
1929,1.5496305501017105e-06,1.329050427045786e-06
1930,1.593396660837243e-06,1.3076986888904685e-06
1931,1.6355281147184542e-06,1.1850165435589588e-06
1932,1.4587143333244512e-06,1.260346653708666e-06
1933,1.4843037270395598e-06,1.1940958799527834e-06
1934,1.5168680391752787e-06,1.261660429463518e-06
1935,1.668378757813116e-06,1.1824664838400167e-06
1936,1.753233775048102e-06,1.1009240630244221e-06
1937,1.332140307397367e-06,1.0815770217220688e-06
1938,1.660844006323714e-06,1.1266771124951447e-06
1939,1.6028164608883344e-06,1.0751717667289995e-06
1940,1.508790830939688e-06,1.0269920789340858e-06
1941,1.8004165767138147e-06,1.204213049277314e-06
1942,1.9601007892333655e-06,1.101418856563896e-06
1943,2.1425874834335445e-06,1.1612940973293462e-06
1944,1.9375512394503858e-06,1.433081045831841e-06
1945,1.779837823789876e-06,1.2766033847810832e-06
1946,1.919720304499606e-06,1.014848514557798e-06
1947,1.6319672155873377e-06,1.070494260346777e-06
1948,1.731891764222837e-06,1.0393524334517679e-06
1949,1.4892401161148427e-06,8.403359110786823e-07
1950,1.6548622667755808e-06,9.305941190973499e-07
1951,1.2921619472194834e-06,9.403356457937662e-07
1952,1.5110703515119894e-06,8.108954432373139e-07
1953,1.2400674762602648e-06,7.940310737808431e-07
1954,1.4707666338154013e-06,8.658467152145022e-07
1955,1.2464087291164105e-06,8.231178334483502e-07
1956,1.3482885385940335e-06,8.520555034863264e-07
1957,1.199798109752237e-06,7.439101832318329e-07
1958,1.5196111533555268e-06,7.585647416874508e-07
1959,1.1641623203217932e-06,6.634640001834669e-07
1960,1.2374450406582582e-06,7.938195842882578e-07
1961,1.425067452487383e-06,7.920901659019819e-07
1962,1.277270062161051e-06,7.74987084284362e-07
1963,1.3636906572855878e-06,7.332504452506328e-07
1964,1.3183959666207556e-06,7.209502435046033e-07
1965,1.3411977874966396e-06,7.39820274375802e-07
1966,1.313868480679048e-06,7.43343814946229e-07
1967,1.3548562556309207e-06,8.04137709309316e-07
1968,1.5832241402335967e-06,8.726820972526639e-07
1969,1.2567043512490272e-06,7.017015839494434e-07
1970,1.1712952883158323e-06,6.378431862685829e-07
1971,1.4223084718878454e-06,6.741577376345731e-07
1972,1.2543208995907662e-06,7.674699560311637e-07
1973,1.2244825313700858e-06,5.954260178242521e-07
1974,8.826522233107426e-07,4.551087418036559e-07
1975,9.635267339547227e-07,4.791932006753541e-07
1976,1.0718576710644356e-06,5.313580171417698e-07
1977,9.109011820385149e-07,4.783700386923329e-07
1978,1.194058874887105e-06,6.932670046921885e-07
1979,1.1434755506911642e-06,5.851973412518419e-07
1980,1.011388274463343e-06,5.531651829926432e-07
1981,1.1069711476352495e-06,5.04778874699241e-07
1982,1.1185919497336272e-06,4.934964570324496e-07
1983,1.0395010541230931e-06,4.831216688927498e-07
1984,1.0739763887102072e-06,4.888564042460075e-07
1985,1.0436993420626095e-06,4.92674200103238e-07
1986,1.264236971110222e-06,5.460976328919287e-07
1987,1.1250014289032606e-06,4.711439753890545e-07
1988,1.023611684303205e-06,4.617346558433155e-07
1989,1.0789648143827435e-06,4.434402693931361e-07
1990,1.071204827951533e-06,4.990964317386215e-07
1991,9.99379818011903e-07,4.794678467590074e-07
1992,1.0689291904952825e-06,4.6889625160417836e-07
1993,1.069067046444161e-06,5.517050620795771e-07
1994,1.1341091763483746e-06,4.958431087942472e-07
1995,1.121362807054993e-06,4.825981090306186e-07
1996,1.0265151821897689e-06,5.001792553471773e-07
1997,1.1148129317462008e-06,5.015459834112335e-07
1998,1.1133581772071466e-06,5.058984999806171e-07
1999,1.016869770609219e-06,4.96323856680192e-07
2000,1.0386791977623488e-06,5.085154217709942e-07
2001,1.0519289332933113e-06,5.67805065188054e-07
2002,1.1286026158074947e-06,5.147935517868518e-07
2003,1.100067706261143e-06,5.183651872187056e-07
2004,1.0923882172164667e-06,5.298963792199629e-07
2005,1.1507079875627824e-06,5.039695789577081e-07
2006,1.2320726341386035e-06,5.781517238290235e-07
2007,1.3265666609640903e-06,7.078217851841373e-07
2008,1.4121927733867778e-06,7.914580386625403e-07
2009,1.5010269507342855e-06,8.177449970503403e-07
2010,1.8351936290628146e-06,8.975206817751769e-07
2011,2.2041375160597454e-06,1.0932736103086427e-06
2012,2.589274714637213e-06,1.2677437339903008e-06
2013,3.195221552232397e-06,1.183704700480348e-06
2014,2.96925848886076e-06,1.2639704038974742e-06
2015,3.2953826405446307e-06,1.4347892687283093e-06
2016,3.476951377479054e-06,1.5100068608830952e-06
2017,3.0275382840727616e-06,1.110642443791221e-06
2018,3.3295758044005197e-06,1.40122008929211e-06
2019,3.2974067494251358e-06,1.3943698959906214e-06
