year,plusieurs_DET ailes_NOUN,plusieurs_DET belles_NOUN
1800,6.288328968651058e-09,8.803660733747165e-08
1801,1.1905912700171939e-08,1.3810858701113204e-07
1802,0.0,1.0741632650024258e-07
1803,0.0,1.6187814999568673e-07
1804,2.2246657849223084e-08,1.112332927988291e-07
1805,5.685755422035754e-09,9.381496379745613e-08
1806,0.0,1.3832011802605848e-07
1807,0.0,9.679647661187119e-08
1808,2.2660739951163578e-09,1.155697759713803e-07
1809,2.9367396514601296e-08,4.743964154840796e-08
1810,4.9142660163425944e-08,9.594519845279592e-08
1811,1.7549536934780008e-08,1.178326058948187e-07
1812,3.467370746079723e-08,1.0668832928217853e-07
1813,5.751483289628823e-09,8.91479885467561e-08
1814,3.1466772298927026e-08,1.0384034787591645e-07
1815,2.6972236000233352e-08,4.315557688983063e-08
1816,2.3176038865813098e-09,5.0987285504788815e-08
1817,1.401186100480345e-08,9.652614885169442e-08
1818,2.2650237241350624e-08,7.74876505182931e-08
1819,3.1053151161586356e-09,1.1282644862831148e-07
1820,1.6613073583471305e-08,1.115449199673435e-07
1821,1.0847637454958203e-08,8.480880175909533e-08
1822,6.015369535816717e-09,1.1529458276982041e-07
1823,5.929612356680991e-09,1.363810753218786e-07
1824,6.736890156844311e-09,1.1452713088999644e-07
1825,8.805443485471187e-09,1.2327620169116926e-07
1826,1.2331177856594877e-08,1.1978858971417594e-07
1827,2.7651818612639545e-09,5.622536636273878e-08
1828,4.586150570418113e-09,8.713686305839019e-08
1829,5.143905745796928e-09,1.0716470133509404e-07
1830,7.305785310052215e-09,1.3046044688991287e-07
1831,3.1182412207897414e-09,3.118241287403123e-08
1832,6.764984572527055e-09,5.141388470519814e-08
1833,9.266902800675325e-09,8.340212520607793e-08
1834,7.467624740797874e-09,7.094243192895533e-08
1835,1.739510224751939e-08,8.697551123759695e-08
1836,1.5457725766054864e-08,9.879502937959472e-08
1837,6.957891041103892e-09,1.3011255672878974e-07
1838,1.2624323808552163e-08,2.0451404725285727e-07
1839,9.788065469251706e-09,1.0207554002050756e-07
1840,1.210240813120933e-08,7.452535388807746e-08
1841,7.0626033910059505e-09,1.0593905130917847e-07
1842,2.0124795163667386e-09,1.408735705865638e-07
1843,2.2446261738195972e-08,6.025049281710437e-08
1844,2.4149668931272572e-08,1.1471093064319149e-07
1845,2.5669049108500985e-08,6.584669076659111e-08
1846,1.4636253098387897e-08,6.264316243509427e-08
1847,9.707802561820245e-09,7.820173930639385e-08
1848,1.6090443422100975e-09,7.723412664972784e-08
1849,1.256912263158938e-08,8.798385664476882e-08
1850,1.2899092460827433e-08,4.6844071732721204e-08
1851,1.0964045893402385e-08,7.029888537957163e-08
1852,5.859490670445666e-09,7.487127207106425e-08
1853,1.6124216628554677e-08,8.002388374173108e-08
1854,1.0391328519876453e-08,1.1014808443121638e-07
1855,3.714855978387277e-09,6.952087261424822e-08
1856,1.0354378410237786e-08,7.76578374939163e-08
1857,1.1715622250108026e-08,9.518942922781548e-08
1858,8.31924928945682e-09,1.1206518246709152e-07
1859,1.171199848215565e-08,6.416138220721734e-08
1860,7.781213007262977e-09,8.055843414567221e-08
1861,1.3676294763342867e-08,6.036433752854009e-08
1862,1.9879140111811466e-08,8.042015775533429e-08
1863,1.2486552236623538e-08,7.991393502493338e-08
1864,1.1986819536957682e-08,6.760566417796099e-08
1865,1.1767110841276462e-08,7.436814275507686e-08
1866,1.556996132023869e-08,7.298419169021741e-08
1867,1.552899675516528e-08,8.298307463405763e-08
1868,1.3831646938911035e-08,6.323038626021571e-08
1869,1.0743741896135361e-08,5.616047027423576e-08
1870,6.880858549607183e-09,7.396923207281247e-08
1871,4.248470908407853e-09,5.629224064662708e-08
1872,7.256807155187062e-09,5.805445724149649e-08
1873,3.591602570907071e-09,9.398026712403862e-08
1874,2.2106053876314036e-08,4.062734326737427e-08
1875,5.7215269744226305e-09,8.467859924365939e-08
1876,2.0556450763820067e-08,5.6227938083353024e-08
1877,8.658742500777805e-09,5.7518790397281805e-08
1878,7.850815109122777e-09,8.031987785983574e-08
1879,3.0546627449723474e-09,6.475884761769635e-08
1880,5.776061406947974e-09,7.187987893786385e-08
1881,2.7890030285249168e-09,7.809208768527753e-08
1882,1.3310770263785798e-09,3.9932309459089765e-08
1883,9.479008689083912e-09,7.456820139140063e-08
1884,1.1883054540362536e-08,6.667713670083231e-08
1885,5.80107206715752e-09,5.414333914544045e-08
1886,7.744156427236248e-09,6.776136896036178e-08
1887,5.876032105334161e-09,4.8966933618999064e-08
1888,6.34061447790657e-09,5.579740913752573e-08
1889,2.5060546970934183e-09,4.0723390437591434e-08
1890,1.5730527991308918e-08,5.702316130395957e-08
1891,8.286486163910922e-09,4.14324303754654e-08
1892,3.761107425503951e-09,4.0118478095152454e-08
1893,3.695050043717174e-09,3.571881679320654e-08
1894,1.2603078580752936e-08,5.923446888544959e-08
1895,5.416753046105782e-09,3.7315410317262376e-08
1896,4.717623180994224e-09,6.25085043726159e-08
1897,8.157399200570126e-09,4.7196378805125505e-08
1898,7.355861253444118e-09,3.281845906144554e-08
1899,1.2160672469008205e-08,2.5426860617017155e-08
1900,9.34389543516545e-09,3.166542283938867e-08
1901,3.353243460679778e-09,4.1356667535019653e-08
1902,6.628883397752361e-08,2.553347577816112e-08
1903,1.3500550899436803e-08,6.102249106021418e-08
1904,4.837162670412454e-09,5.1596400041376e-08
1905,3.6125313851442797e-09,3.818961635815299e-08
1906,7.716276506641861e-09,3.343719878756701e-08
1907,2.5714217422034835e-09,5.657127744029822e-08
1908,5.893667109901912e-09,2.6521500551268673e-08
1909,1.265226234892225e-08,5.611003217609323e-08
1910,5.34415089958884e-09,2.618633820894445e-08
1911,6.384448858476333e-09,2.4473720383610953e-08
1912,8.856016087133156e-09,4.5842906359894187e-08
1913,6.893886794756554e-09,3.340883403257777e-08
1914,7.366418142140674e-09,3.750176302830255e-08
1915,0.0,4.5944972271172446e-08
1916,1.0987462051303964e-09,2.0876177231343718e-08
1917,5.483212106582869e-09,1.644963654179321e-08
1918,3.44591288836682e-09,2.1824114071478107e-08
1919,1.8415696745321952e-09,1.9336480860943084e-08
1920,3.786115865267448e-09,2.877448102012181e-08
1921,9.087297137000405e-09,3.483463828501954e-08
1922,1.4018077088007175e-08,2.582277447427117e-08
1923,8.492758496458919e-09,2.7601465557580696e-08
1924,1.289162443462999e-09,1.4180787211159895e-08
1925,5.499089184013428e-09,3.079489729884699e-08
1926,8.916910765321973e-09,2.7865345586519652e-08
1927,3.3447675740205796e-09,3.3447674407938166e-08
1928,2.2852082448565625e-09,1.942427008128078e-08
1929,3.342121912552898e-09,4.567566502799991e-08
1930,3.1510811737689437e-09,4.2014415502222846e-08
1931,5.7026783295555106e-09,2.9653928201867075e-08
1932,8.767629289252454e-09,4.60300545457315e-08
1933,8.029463538505865e-09,2.6382522388956886e-08
1934,9.585264137967897e-09,2.2765002327673756e-08
1935,1.6755597798123745e-08,2.8723882827819125e-08
1936,1.2124714565686645e-08,1.33371855781661e-08
1937,8.813782592653752e-09,2.5182236629284205e-08
1938,1.4261735792331365e-08,1.6854778905894818e-08
1939,7.647025235257843e-09,1.988226561167039e-08
1940,1.2678914806940611e-08,2.5357829613881222e-08
1941,5.9030051957620344e-09,2.9515025090631752e-08
1942,6.068423541449874e-09,3.6410540360520827e-08
1943,2.6129116648121453e-08,5.516146917017295e-08
1944,6.4263723231761105e-09,1.2852744646352221e-08
1945,1.3071024262956144e-08,2.83205521256491e-08
1946,8.352662561605939e-09,1.6705326011390298e-08
1947,2.3841741914054637e-09,2.0265479960812627e-08
1948,3.9138795093762724e-08,1.5220643190261285e-08
1949,5.890204768377316e-09,1.1780409536754632e-08
1950,1.2762433776458693e-08,2.3397794368662517e-08
1951,2.2388944032059044e-08,3.3050344683260846e-08
1952,4.2179215675730575e-09,1.0544804140977249e-08
1953,1.0773827385790469e-09,3.232148149123759e-08
1954,2.9317608341017376e-09,1.5636057781875934e-08
1955,1.8771215692936494e-09,2.5341141629553476e-08
1956,7.849027205963921e-09,2.2674967681268754e-08
1957,4.417518795207798e-09,8.835037423882142e-09
1958,4.963346011965797e-09,2.068060889204304e-08
1959,6.200598257066758e-09,8.525822714489095e-09
1960,1.1765417085030094e-08,8.997083078554624e-09
1961,6.948159103625784e-09,1.2506686519753174e-08
1962,5.0735651235811474e-09,1.9025868880362395e-08
1963,1.3578711488548834e-08,3.168366058403649e-08
1964,9.734349326606662e-09,1.52099203787337e-08
1965,6.0192477668863376e-09,2.5718604135249734e-08
1966,6.6468897053084675e-09,3.600398734704413e-08
1967,4.437302081328198e-09,2.415864347460328e-08
1968,6.287982134978165e-09,3.8626176035450044e-08
1969,4.087582022860303e-09,2.588801994996004e-08
1970,8.7375777724219e-09,2.805222332202817e-08
1971,1.3359833239690033e-08,2.980270630281723e-08
1972,3.0780880067027283e-09,1.641647029426707e-08
1973,1.2680368366435602e-08,4.4656949027555015e-08
1974,7.875800567269664e-09,1.4626486743996026e-08
1975,1.0851811893530794e-08,1.1422960355389478e-08
1976,1.7140580066410394e-09,1.9997344169464526e-08
1977,5.289103821581875e-09,1.82180240893004e-08
1978,5.346532216954358e-09,2.2574247471318643e-08
1979,1.1703946700691858e-09,2.0481907392344567e-08
1980,5.116635559687666e-09,1.0233271174886482e-08
1981,4.427884725544118e-09,1.4548763971333756e-08
1982,8.690503427999374e-09,1.0552753892945077e-08
1983,5.683784332077835e-09,2.2735137106266734e-08
1984,9.278413592994639e-09,1.4497521683143333e-08
1985,9.023337299574052e-09,1.5640450934384376e-08
1986,5.395036861699509e-09,1.079007377891017e-08
1987,2.4443267410134695e-09,1.1610552186347434e-08
1988,5.396898483667201e-09,1.3792073927376691e-08
1989,6.585746614717891e-09,2.634298579273775e-08
1990,1.2531897297662908e-08,1.4166492201539427e-08
1991,8.206051227421796e-09,1.4653663171770859e-08
1992,4.958949695321735e-09,1.377486047449139e-08
1993,2.2156829704300662e-09,1.550978012687665e-08
1994,6.329911705904578e-09,1.7407257801860254e-08
1995,4.337960657352369e-09,2.2774293895189146e-08
1996,4.804283193493575e-09,2.402141485724485e-08
1997,4.315404922294874e-09,2.4453961855464e-08
1998,5.72175506974304e-09,1.7642077687618496e-08
1999,1.0511462811280126e-08,2.1479944767310855e-08
2000,1.3254094821668616e-08,2.429917267399162e-08
2001,8.762423675534592e-09,2.5849149487555678e-08
2002,1.0953053575235572e-08,1.7524885875808138e-08
2003,7.083769126836614e-09,1.3750845795357236e-08
2004,6.166707589017051e-09,2.1142997935763574e-08
2005,7.205999463799628e-09,2.7472872643485857e-08
2006,4.529678854225949e-09,1.9765871051014017e-08
2007,1.0385646481703148e-08,2.5964115857313175e-08
2008,1.1495086743584793e-08,2.0435710179622646e-08
2009,8.582746957586096e-09,1.6211853859360303e-08
2010,5.196172381261022e-09,1.747803468621356e-08
2011,1.4148696325655408e-08,1.8737462914586445e-08
2012,1.2255309989051e-08,2.2808493566062182e-08
2013,1.1156500223652444e-08,1.1156500168141292e-08
2014,1.2559581652471508e-08,8.878325075123428e-09
2015,1.4186082711309389e-08,1.3299452761295072e-08
2016,1.2635174462261034e-08,1.8849194205472486e-08
2017,1.0314006815281829e-08,8.553078356676735e-09
2018,1.3165480261534412e-08,1.1874746963513871e-08
2019,1.045904995944369e-08,1.403043281555938e-08
