year,vos_DET os_NOUN
1800,4.087413785214267e-08
1801,2.6193007984787187e-08
1802,6.713520406265161e-09
1803,4.875847881002926e-08
1804,2.9662210465630778e-08
1805,6.254330742194725e-08
1806,5.76333825108577e-09
1807,2.2775640928784924e-08
1808,5.211970233176544e-08
1809,2.0331274441787173e-08
1810,3.510190182964834e-08
1811,2.5070768128188092e-08
1812,4.5342538612658245e-08
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,4.5852800223400436e-08
1816,3.244645441213834e-08
1817,2.6466848268569265e-08
1818,3.695565098382758e-08
1819,2.2772310259711048e-08
1820,4.6279278187455475e-08
1821,5.226588939422072e-08
1822,6.616906489398389e-08
1823,5.830785099192326e-08
1824,2.7789671008804362e-08
1825,2.6416328680056722e-08
1826,4.1397527184017235e-08
1827,5.8068820862899884e-08
1828,4.4027046897099353e-08
1829,2.2290258527846163e-08
1830,6.783943584665053e-08
1831,7.016043013230444e-08
1832,5.68258712307923e-08
1833,5.6759780875381693e-08
1834,1.241492635362107e-07
1835,5.8235777089521434e-08
1836,5.443807604699202e-08
1837,5.287997240088771e-08
1838,9.215756180402934e-08
1839,5.173691708382222e-08
1840,5.2868414701645605e-08
1841,6.420548848140584e-08
1842,6.842430222420148e-08
1843,4.961805377678985e-08
1844,6.750930259258325e-08
1845,6.082448644750826e-08
1846,6.322861256791157e-08
1847,3.3437987490003707e-08
1848,4.424871846708811e-08
1849,5.6980020701757894e-08
1850,4.8880771430503955e-08
1851,7.545843616618697e-08
1852,5.4688582773465555e-08
1853,6.867721635828161e-08
1854,8.365019593670198e-08
1855,6.845948519185185e-08
1856,7.714011801551734e-08
1857,4.393358044030293e-08
1858,6.214968584217218e-08
1859,4.8884862824394304e-08
1860,7.643897248499343e-08
1861,6.460870594082735e-08
1862,5.2408641426637814e-08
1863,4.994620922404991e-08
1864,4.31525504218655e-08
1865,5.45993934508715e-08
1866,6.179328693178832e-08
1867,6.939520602600169e-08
1868,5.433861460790723e-08
1869,4.590507829416168e-08
1870,7.167560767129544e-08
1871,4.248470730772169e-08
1872,5.7449723089852966e-08
1873,4.6092235805872406e-08
1874,3.2262889249068394e-08
1875,5.0921592276154115e-08
1876,3.688068872520489e-08
1877,2.473926408175231e-08
1878,2.4760263839240793e-08
1879,4.215434479259983e-08
1880,3.3372799634889816e-08
1881,4.532129793677342e-08
1882,5.657077450926806e-08
1883,3.033282780506852e-08
1884,3.300848483434038e-08
1885,2.513797880965285e-08
1886,3.743009102663564e-08
1887,2.676859012229471e-08
1888,4.5018364147608736e-08
1889,3.3205225236088154e-08
1890,4.129263386776216e-08
1891,2.8683990294098294e-08
1892,1.6298132621272998e-08
1893,2.6481190629201734e-08
1894,4.4110773700367645e-08
1895,2.1065151400989635e-08
1896,2.653663089269287e-08
1897,3.962165073811974e-08
1898,2.4896762096382474e-08
1899,2.1004797901014172e-08
1900,2.4917054419759666e-08
1901,3.185581243236868e-08
1902,1.7677022512430085e-08
1903,2.8621167658116065e-08
1904,2.741058846567057e-08
1905,4.3866453580676534e-08
1906,1.8004646107350197e-08
1907,2.15999426123048e-08
1908,2.2592390180875555e-08
1909,2.970531171042623e-08
1910,4.061554459422467e-08
1911,3.1390207766435196e-08
1912,4.3238195857053796e-08
1913,2.545435129341911e-08
1914,2.2768928353844586e-08
1915,3.2986132492140996e-08
1916,5.383856560570166e-08
1917,4.934890984742424e-08
1918,4.82427813253139e-08
1919,1.9336480860943084e-08
1920,6.057785206792232e-08
1921,2.6504615391331754e-08
1922,4.500540562446531e-08
1923,4.7771765654403e-08
1924,3.9964034748152244e-08
1925,2.6395627683584166e-08
1926,3.2323799858957614e-08
1927,2.787306307983073e-08
1928,3.7705937039334e-08
1929,3.0079096546842266e-08
1930,3.2561171536826805e-08
1931,2.0529641986399838e-08
1932,1.3151444377967891e-08
1933,2.982372038218273e-08
1934,2.6359476379411717e-08
1935,1.555876849579363e-08
1936,2.0612014761667297e-08
1937,1.7627565185307503e-08
1938,1.944782235252518e-08
1939,1.8352860564618823e-08
1940,1.5214697723919812e-08
1941,3.246652813260198e-08
1942,3.944475457373642e-08
1943,1.7419411690866582e-08
1944,4.819779242382083e-08
1945,3.485606470121638e-08
1946,3.480275978517966e-08
1947,2.1457568166738383e-08
1948,2.6092530802657166e-08
1949,3.7304630495782476e-08
1950,2.2334258220624292e-08
1951,2.2388944032059044e-08
1952,3.4797853487589236e-08
1953,1.939289007157896e-08
1954,2.5408593895548393e-08
1955,2.3464019616170617e-08
1956,2.703553825256222e-08
1957,3.268964121616591e-08
1958,2.978007690446205e-08
1959,2.1702094343822864e-08
1960,5.052208251754564e-08
1961,3.5435612832923624e-08
1962,2.4733629200301976e-08
1963,3.103705459306383e-08
1964,3.8937397306426647e-08
1965,2.407699106754535e-08
1966,4.542041442956446e-08
1967,2.021437633947798e-08
1968,3.638046786047511e-08
1969,3.360900702187308e-08
1970,3.449043717296263e-08
1971,3.751030086540652e-08
1972,3.6937058189856486e-08
1973,2.921997932503473e-08
1974,2.7565301152776556e-08
1975,2.7415104852934746e-08
1976,2.913898611289767e-08
1977,2.879623084428573e-08
1978,3.089107636355948e-08
1979,3.2185852205657284e-08
1980,2.6720208268216084e-08
1981,4.301373757176208e-08
1982,3.600351305976801e-08
1983,2.5892795463278162e-08
1984,2.8415141350990325e-08
1985,2.406223209572289e-08
1986,2.937297871596911e-08
1987,1.772136820621384e-08
1988,2.6984492806914062e-08
1989,2.469655058234821e-08
1990,2.669838927715773e-08
1991,2.344586091940215e-08
1992,2.314176583695371e-08
1993,2.437251228615267e-08
1994,4.74743406808642e-08
1995,2.2774294172744902e-08
1996,3.0427123709486636e-08
1997,2.3494982959171296e-08
1998,3.7191408730485875e-08
1999,2.5593125674294726e-08
2000,2.6066385050427243e-08
2001,2.628727080455917e-08
2002,3.855474961511618e-08
2003,2.4168153534009917e-08
2004,3.347641452933203e-08
2005,3.3327748116818157e-08
2006,2.9237017695749046e-08
2007,2.9559147685098708e-08
2008,5.2792252680511353e-08
2009,4.2913731901350616e-08
2010,6.282644715582819e-08
2011,5.1241222709386136e-08
2012,8.782972127363564e-08
2013,8.14424541140113e-08
2014,9.116524468666398e-08
2015,1.2013838279756328e-07
2016,1.2283046446626145e-07
2017,1.0666191929686875e-07
2018,1.1616600215091921e-07
2019,1.1198836347148244e-07
