year,des_DET os_NOUN,des_DET bosses_NOUN
1800,3.93649384022865e-06,1.1633408414368773e-07
1801,3.559867906233194e-06,9.524730160137551e-08
1802,2.31840249398374e-06,9.622712582313397e-08
1803,3.7368498482237555e-06,7.216254971353919e-08
1804,2.481738448523174e-06,7.168367943677367e-08
1805,4.201773322165536e-06,5.401467717547348e-08
1806,3.279339523487579e-06,1.181484350354367e-07
1807,3.21705925898641e-06,1.0818429752035286e-07
1808,1.7969966705777551e-06,7.478044494746428e-08
1809,2.5323731023263463e-06,5.873479480555943e-08
1810,1.6006467333795626e-06,4.680253340438867e-08
1811,1.6747272439943117e-06,8.022645658911642e-08
1812,5.0810316949423395e-06,6.13457871168066e-08
1813,2.464510671984499e-06,8.627225156487839e-08
1814,2.1303004942296866e-06,1.006936667380387e-07
1815,2.4409872310116043e-06,2.966945977789237e-08
1816,2.9479920300445883e-06,7.648092470446954e-08
1817,2.234113367194368e-06,7.628679554727569e-08
1818,3.6574172099790303e-06,1.3113294938804643e-07
1819,2.151983224507603e-06,3.3123360609899066e-08
1820,2.0315414701599366e-06,8.662531314485022e-08
1821,2.2839206188507433e-06,8.185035382801686e-08
1822,2.9535464136642986e-06,6.51665033046811e-08
1823,2.7454104127855317e-06,7.708495530778237e-08
1824,2.128015211155798e-06,7.242157096243318e-08
1825,3.5406687572958617e-06,1.2767892476617249e-07
1826,1.8065175808601452e-06,4.492072136486058e-08
1827,2.3771347024137413e-06,4.7008091086375714e-08
1828,2.5719133844859243e-06,8.71368588395427e-08
1829,2.8891602710245934e-06,4.629515065746048e-08
1830,2.6812231226358563e-06,4.5922078584226256e-08
1831,2.5928175411138454e-06,1.886535869743966e-07
1832,2.4462185308493645e-06,9.606278006391022e-08
1833,3.178547729021375e-06,9.382738852536932e-08
1834,3.236281926888296e-06,1.2321581044361096e-07
1835,3.4404486939365597e-06,1.2100940693926532e-07
1836,2.440304299966556e-06,6.787957679277312e-08
1837,3.0259868211146568e-06,8.627785086368078e-08
1838,2.0224166021876044e-06,7.195864615283654e-08
1839,2.4903635136297453e-06,5.3135210009713774e-08
1840,1.8784211501809978e-06,6.17859825524647e-08
1841,2.3691823614058194e-06,8.73194574424474e-08
1842,1.6529165023371206e-06,2.817471411731276e-08
1843,2.049107418855556e-06,6.261325724565836e-08
1844,1.7129799338988505e-06,6.202074520622602e-08
1845,2.0373412326080143e-06,6.417261788627115e-08
1846,1.6439440280180406e-06,9.484292151640261e-08
1847,1.374732754300112e-06,5.2853593501822616e-08
1848,1.7216774281791913e-06,7.24069936786087e-08
1849,1.7345388663159156e-06,6.45214959238416e-08
1850,1.6307168309026565e-06,5.091746846375145e-08
1851,2.0238339200062683e-06,4.837079004005318e-08
1852,1.6523764863052293e-06,6.901178228879701e-08
1853,2.192296204128752e-06,6.031651089699608e-08
1854,1.6636517656820615e-06,5.871100783316763e-08
1855,2.0134520255510324e-06,4.7231740296638236e-08
1856,1.4154435064028803e-06,3.93466376702456e-08
1857,1.6938836999713658e-06,5.760180721292585e-08
1858,1.4994223072051227e-06,3.6213203657986526e-08
1859,1.6503733490935701e-06,5.5504689511209904e-08
1860,1.9919903806453476e-06,5.6757080368896595e-08
1861,1.7614124008247245e-06,7.073945251789837e-08
1862,1.589427558457146e-06,5.511943282354714e-08
1863,1.7685952578005981e-06,7.99139314722197e-08
1864,2.6088115347988605e-06,9.349719354290187e-08
1865,2.1303176929166057e-06,5.083391763083256e-08
1866,2.041611121939013e-06,5.0602374401798045e-08
1867,2.9383772819358e-06,4.85281148598915e-08
1868,2.442767708998872e-06,9.879748341656835e-08
1869,2.029102212475209e-06,7.960135994800055e-08
1870,2.690415598749496e-06,8.027668618737493e-08
1871,2.4131315186082247e-06,7.965882620197817e-08
1872,2.296174749005786e-06,7.982487726376775e-08
1873,2.4189444083333456e-06,4.908523720814628e-08
1874,2.4687085264929465e-06,9.260644162623066e-08
1875,1.91728370424471e-06,1.0870901467896488e-07
1876,1.9407707334551105e-06,8.04119935082781e-08
1877,1.940795218757785e-06,7.42177953538814e-08
1878,1.96753505932179e-06,8.877460055956021e-08
1879,1.9916400972874726e-06,6.109325390024622e-08
1880,1.531298092771749e-06,8.599913869922204e-08
1881,1.805182193947985e-06,1.4363365430369868e-07
1882,1.7317311602482732e-06,1.1247601205965907e-07
1883,1.7504568532444864e-06,9.542201545587048e-08
1884,1.6774912303674228e-06,8.252121297402937e-08
1885,2.178624825432962e-06,1.0828667740270248e-07
1886,1.499784996639164e-06,9.3575223125697e-08
1887,1.2672642952793467e-06,1.3384295827201242e-07
1888,1.3416740998195564e-06,9.827952962560005e-08
1889,1.6364537387403288e-06,6.641044930644213e-08
1890,1.262374800248267e-06,8.258527178783837e-08
1891,1.2340490496143275e-06,1.2365986812312713e-07
1892,1.2875524717514963e-06,8.399806583625491e-08
1893,1.5519209473069395e-06,1.1023565443801786e-07
1894,1.2628285190885435e-06,8.759139502600988e-08
1895,1.2127508295378675e-06,1.0051085896911616e-07
1896,1.1929689396339427e-06,8.668632833774836e-08
1897,1.3174199295917788e-06,9.206207218781515e-08
1898,1.191649563025976e-06,1.1260126075995913e-07
1899,1.2829509064005151e-06,1.249232681743706e-07
1900,1.2193783653913215e-06,1.1264585231263169e-07
1901,1.1227776521849364e-06,1.1121590259843828e-07
1902,1.000715890597803e-06,1.6596759311315878e-07
1903,1.209109308675238e-06,1.360855526044702e-07
1904,1.0233286111827056e-06,1.354405503306566e-07
1905,1.1136917565934823e-06,9.908657144785948e-08
1906,1.1497252074832431e-06,1.4352275007345483e-07
1907,1.0820542897249652e-06,1.1108541408955119e-07
1908,1.161052409770491e-06,1.0117461823888618e-07
1909,9.813754520138218e-07,1.1552065293241043e-07
1910,1.0624171142836758e-06,1.4963621419727957e-07
1911,1.0747155982926415e-06,1.1492008045177471e-07
