year,ses_DET ailes_NOUN,ses_DET belles_NOUN
1800,6.901441224727023e-06,3.301372828445892e-07
1801,3.957525350983815e-06,2.6669246233623767e-07
1802,4.750934465391765e-06,3.535787413966318e-07
1803,7.645329844763182e-06,1.657788277764638e-07
1804,4.256527134316457e-06,2.9909397269989313e-07
1805,3.72132684844928e-06,3.5820259380869857e-07
1806,4.685594120701353e-06,3.0833859909762396e-07
1807,2.6903726251248372e-06,1.8220512254529808e-07
1808,3.578130794323897e-06,2.0394666044865062e-07
1809,3.634780085803868e-06,1.8524050737767084e-07
1810,3.886950580067605e-06,1.9189039335287816e-07
1811,2.9107161587660357e-06,2.632430486926296e-07
1812,2.605862540860926e-06,1.7870294888311378e-07
1813,2.527777013483501e-06,2.4156229461169687e-07
1814,1.979259808493339e-06,1.3530711839848664e-07
1815,1.807139785370282e-06,2.2926399578793166e-07
1816,6.5611367858764424e-06,2.224899713354489e-07
1817,5.870969630450418e-06,3.0047655741327617e-07
1818,4.6576038528201025e-06,3.5644319407168723e-07
1819,2.8310121535923827e-06,3.0846129783768106e-07
1820,2.5394269869138952e-06,1.8274381208271961e-07
1821,2.795732044091892e-06,3.323321555726011e-07
1822,3.387655638675824e-06,2.757044370582662e-07
1823,2.639665581227746e-06,2.9746886487380664e-07
1824,2.4539121383782003e-06,2.15580478801769e-07
1825,2.8776188543133685e-06,2.7472983532561557e-07
1826,3.2307686339549946e-06,2.0786843046849413e-07
1827,2.480368067381278e-06,2.2951009714944348e-07
1828,2.9562326915311132e-06,1.8252879829816493e-07
1829,2.4587868949765834e-06,2.666257827854679e-07
1830,3.62575669043963e-06,3.3293506529474826e-07
1831,2.960770032700566e-06,1.8397622625343502e-07
1832,5.16980111342491e-06,2.7871736252294e-07
1833,4.2616169935172366e-06,3.4750886668266645e-07
1834,4.092258265586679e-06,2.8470320234674773e-07
1835,3.28994329379384e-06,2.8890995906749595e-07
1836,3.889970074055782e-06,3.024337527079979e-07
1837,2.975194206555898e-06,2.581377547272723e-07
1838,3.2816930470858097e-06,3.4843133178696917e-07
1839,2.6854256915953556e-06,2.4050675140330213e-07
1840,2.7325963358748595e-06,2.7644449973607266e-07
1841,3.3643673589267564e-06,2.5296961858600753e-07
1842,3.0267690860341645e-06,2.797346398963896e-07
1843,3.0845889256170267e-06,2.8057828194150147e-07
1844,2.5532788043847177e-06,2.7442805028421446e-07
1845,2.754400611593155e-06,2.2599922999688715e-07
1846,2.7088777017070242e-06,2.0959114355179054e-07
1847,2.260839352175026e-06,1.7258314954915477e-07
1848,2.1408335797445943e-06,2.3411595773126237e-07
1849,2.626108525305426e-06,1.9021272290586921e-07
1850,2.8398370659488137e-06,2.2878916094981605e-07
1851,2.467555212604111e-06,2.083168704203331e-07
1852,3.2012352164656477e-06,2.4609861171143166e-07
1853,3.2547029462648425e-06,2.6395938679257824e-07
1854,2.817089260531702e-06,2.519897233099755e-07
1855,3.242538483050339e-06,2.64816151229752e-07
1856,2.865056622169959e-06,3.0079470825228327e-07
1857,3.1515021703398816e-06,3.2803740523945635e-07
1858,2.614201775941183e-06,2.9410993995782064e-07
1859,3.005909949393981e-06,2.418782369950634e-07
1860,3.308846160621215e-06,2.3801356130448426e-07
1861,3.0068985239495305e-06,2.655087509850773e-07
1862,2.66154577133193e-06,2.760489588027326e-07
1863,2.5192867489920445e-06,2.921853217152659e-07
1864,2.7095007055777387e-06,3.0542416062928623e-07
1865,2.4692106066481756e-06,2.2639921404277175e-07
1866,2.6653828015810177e-06,2.783130677030954e-07
1867,3.1698564129101214e-06,3.4212320798587825e-07
1868,2.6265311561246563e-06,2.958984427481326e-07
1869,2.8778578098354046e-06,3.154753347445194e-07
1870,2.510939921762656e-06,2.786747579364146e-07
1871,2.440746598608712e-06,1.7631153559349855e-07
1872,2.346972472366815e-06,2.5640717371544497e-07
1873,2.186088877920156e-06,3.148638398897674e-07
1874,4.265870870767685e-06,2.604929454363969e-07
1875,2.3767223069626198e-06,2.5117503810179187e-07
1876,2.2823706160579604e-06,3.512734672028728e-07
1877,2.4108413754220237e-06,2.3564149120858247e-07
1878,2.459116863917643e-06,2.5726518337876314e-07
1879,2.083890770165908e-06,2.4864953829251135e-07
1880,1.9259956474115825e-06,2.1884855527787295e-07
1881,1.9850729451320603e-06,2.1684498507923422e-07
1882,2.265493069586455e-06,2.549012627639513e-07
1883,1.9640505115603446e-06,2.3887101718855774e-07
1884,2.4320650808817845e-06,2.8321280876042465e-07
1885,1.8782582245080448e-06,2.2624180795460802e-07
1886,2.110282622425075e-06,2.8072568536430254e-07
1887,2.159768250464822e-06,2.6638013173041486e-07
1888,1.993489263441006e-06,2.3079836974915224e-07
1889,1.8162631256757322e-06,2.437138122424187e-07
1890,1.951896269503095e-06,2.5299932993050334e-07
1891,1.9932185040261174e-06,2.262848042278165e-07
1892,1.553964242617667e-06,1.767720534395778e-07
