year,quelques_DET oeufs_NOUN,quelques_DET boeufs_NOUN
1800,2.5153315874604232e-08,6.60274537267469e-08
1801,2.6193008650921e-08,7.143547975374531e-09
1802,1.7902721083373763e-08,0.0
1803,2.7304748684287006e-08,9.751696339321825e-09
1804,1.7302956178966156e-08,2.4718509461507665e-09
1805,8.528632911009026e-09,3.1271653710973624e-08
1806,2.305335211616466e-08,2.881669125542885e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,4.5321479902327155e-09,3.172503593162901e-08
1809,4.518061036407062e-09,0.0
1810,1.4040760554223652e-08,2.3401267590372754e-09
1811,3.259199843341776e-08,7.521229861140455e-09
1812,8.00162425207418e-09,0.0
1813,8.627225156487839e-09,5.751483289628823e-09
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,3.244645441213834e-08,0.0
1817,3.113746815941454e-09,0.0
1818,1.0729059418679299e-08,7.152706427149269e-09
1819,2.070210003424222e-09,1.035105001712111e-09
1820,5.933240565525466e-09,1.0679833017945839e-08
1821,2.9584463767662328e-09,3.94459531705138e-09
1822,4.010246357211145e-09,2.0051231786055723e-09
1823,4.941343334508019e-09,4.941343334508019e-09
1824,5.894778887238772e-09,4.210556348027694e-09
1825,5.283265824829186e-09,6.163809906922779e-09
1826,6.1655889282974385e-09,0.0
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,4.586150570418113e-09,9.172301251858528e-10
1829,6.001223074036943e-09,8.57317605795771e-10
1830,1.0436835840010872e-09,4.174734336004349e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,0.0,4.058990921151917e-09
1833,5.791814139399776e-09,2.7800709290204395e-08
1834,1.8669061851994684e-09,1.8669061851994684e-09
1835,1.5126175867408165e-09,5.294161553592858e-09
1836,4.704525213838906e-09,1.3441500135158435e-09
1837,9.045257876039159e-09,2.7831563720326358e-09
1838,1.0730675015224733e-08,6.312161904276081e-10
1839,4.894032734625853e-09,2.0974426639952526e-09
1840,1.910906599622564e-09,6.369688665408546e-10
1841,6.420548537278137e-10,0.0
1842,1.341653010911159e-09,1.341653010911159e-09
1843,3.5441467538532834e-09,1.1813822142769936e-09
1844,2.7442805805577564e-09,1.097712254427563e-09
1845,2.2320911785556063e-09,1.674068439427856e-09
1846,1.1709002656346001e-09,0.0
1847,1.0786447290911383e-09,1.0786447290911383e-09
1848,2.4135665133151463e-09,0.0
1849,8.379414495607307e-09,1.6758829879393033e-09
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,7.739326512989919e-09,3.2247193804124663e-09
1852,1.3021090872200602e-09,1.3021090872200602e-09
1853,7.763511611358354e-09,5.971931837933653e-10
1854,1.558699391779328e-09,3.117398783558656e-09
1855,1.0613874223963649e-09,1.5920811335945473e-09
1856,2.5885946719483854e-09,1.0354378465748937e-09
1857,1.4644527812635033e-09,1.464452725752352e-09
1858,2.4468380654951716e-09,4.893676019968041e-10
1859,1.5276520048956854e-09,0.0
1860,9.154367819341758e-10,1.373155145145688e-09
1861,6.13075279431996e-09,1.4147891747029462e-09
1862,2.710791813242963e-09,1.3553959066214816e-09
1863,1.4983863039219614e-09,0.0
1864,2.3973640850272204e-09,0.0
1865,3.294791106611683e-09,0.0
1866,2.4328064562872953e-09,4.865612912574591e-10
1867,2.426405742994575e-09,4.85281148598915e-10
1868,9.87974813071446e-10,0.0
1869,0.0,4.883519144627257e-10
1870,2.2936195165357276e-09,2.8670243956696595e-09
1871,2.1242354542039266e-09,4.248470908407853e-09
1872,3.628403577593531e-09,6.047339295989218e-10
1873,2.3944017324417644e-09,0.0
1874,1.7923826867161097e-09,5.974609140757536e-10
1875,5.7215269744226305e-09,5.721527140956084e-10
1876,5.441413541973361e-09,3.02300739996042e-09
1877,3.710889595609501e-09,6.184815992682502e-10
1878,6.039088673581716e-10,6.039088673581716e-10
1879,2.443730107160036e-09,0.0
1880,5.134277003548959e-09,1.2835692508872398e-09
1881,2.7890030285249168e-09,6.972507571312292e-10
1882,4.658769592325029e-09,0.0
1883,6.951272890631799e-09,1.2638677882037541e-09
1884,1.3203393933736152e-09,0.0
1885,3.86738152613475e-09,6.445635691854079e-10
1886,1.9360391623202133e-09,3.2267319927115068e-09
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,4.438430289965822e-09,0.0
1889,3.759081934617825e-09,1.2530273485467092e-09
1890,5.898947663673937e-09,0.0
1891,1.2748440081367107e-09,0.0
1892,3.1342561879199593e-09,0.0
1893,0.0,6.158416554491453e-10
1894,2.520615716150587e-09,2.520615716150587e-09
1895,9.027921521465032e-09,0.0
1896,5.897029087265082e-09,1.7691086373616827e-09
1897,4.661370955894029e-09,5.826713556089658e-10
1898,5.6583546736987955e-09,3.960848538042683e-09
1899,4.9748205555033564e-09,0.0
1900,4.15284251431558e-09,1.5573159428683425e-09
1901,3.353243460679778e-09,5.588738916095792e-10
1902,4.419255628107521e-09,4.910283846193408e-10
1903,3.7801539676252105e-09,5.400220270956879e-10
1904,3.7622376325430196e-09,1.0749250378694342e-09
1905,2.5803795211665204e-09,5.160759042333041e-10
1906,2.0576738091193647e-09,0.0
1907,8.228549286393161e-09,5.142843373384665e-10
1908,4.911389073214423e-09,9.822778146428846e-10
1909,1.2102163438054703e-08,1.1001967115120692e-09
1910,4.809735498767509e-09,2.67207544979442e-09
1911,1.1172785363555704e-08,1.0640748282497725e-09
1912,6.772247651554153e-09,1.5628263128064646e-09
1913,7.954484682048957e-09,5.30298971401777e-10
1914,8.705766885164223e-09,3.348371857558874e-09
1915,4.712304657594757e-09,0.0
1916,8.789969641043172e-09,4.394984820521586e-09
1917,1.096642476827725e-08,3.289927441585405e-09
1918,5.743188147278033e-09,0.0
1919,6.445493971884986e-09,0.0
1920,4.543339038320937e-09,0.0
1921,4.543648624011354e-09,7.572747429129834e-10
1922,5.1645547283207804e-09,1.4755870969551665e-09
1923,1.1677542488541803e-08,0.0
1924,1.0313299547703991e-08,2.578324886925998e-09
1925,4.399271169575059e-09,4.399271169575059e-09
1926,4.458455382660986e-09,4.458455382660986e-09
1927,8.919379901328739e-09,0.0
1928,3.4278122562625413e-09,1.1426041224282812e-09
1929,4.4561625500705304e-09,1.1140406375176326e-09
1930,9.453243188239924e-09,0.0
1931,7.983749661377715e-09,0.0
1932,5.4797681947604815e-09,3.287861094491973e-09
1933,1.2617728861741284e-08,2.2941324395731044e-09
1934,1.0783422155213884e-08,0.0
1935,5.98414207075848e-09,0.0
1936,9.699771652549316e-09,0.0
1937,1.1332006444320086e-08,0.0
1938,1.426173557028676e-08,2.5930428915188486e-09
1939,2.7529290846928234e-08,1.5294050470515685e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,2.9515025978810172e-09,0.0
1942,3.034211770724937e-09,9.102635090130207e-09
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,1.6065930807940276e-08,9.639558484764166e-09
1945,1.742803190651898e-08,0.0
1946,2.7842208538686464e-09,0.0
1947,7.152522574216391e-09,0.0
1948,1.630783130757152e-08,3.2615663503321457e-09
1949,6.871905600114303e-09,1.9634016634739737e-09
1950,1.0635361258337639e-08,0.0
1951,1.2793682557799002e-08,1.0661401761424827e-09
1952,1.581720565635436e-08,0.0
1953,1.8315507332999914e-08,1.0773827385790469e-09
1954,8.795282724349818e-09,9.772536113672459e-10
1955,2.2525459275613002e-08,2.815682353940474e-09
1956,2.52913103793162e-08,0.0
1957,1.6786571077620493e-08,8.835037701437898e-10
1958,1.0753916701577992e-08,1.6544486891589827e-09
1959,5.425523585955716e-09,7.750747821333448e-10
1960,1.799416665670961e-08,4.152500121534786e-09
1961,4.86371165564492e-09,1.3896318540318475e-09
1962,8.878739188311613e-09,5.0735651235811474e-09
1963,8.405869444949587e-09,2.5864212993553792e-09
