year,ayez_VERB eu_VERB,ayez_VERB bu_VERB
1800,5.0306631749208464e-08,0.0
1801,1.3334621939975477e-07,0.0
1802,1.1860552717735118e-07,0.0
1803,7.216254971353919e-08,0.0
1804,9.39303390623536e-08,2.4718509461507665e-09
1805,1.4214388954769674e-07,0.0
1806,2.2765186713513685e-07,0.0
1807,7.117387923472052e-08,0.0
1808,8.611080914988634e-08,1.1330369531492579e-08
1809,1.3102376783535874e-07,0.0
1810,1.942305232205399e-07,2.3401267590372754e-09
1811,8.273353557797236e-08,0.0
1812,9.068507722531649e-08,1.0668832928217853e-08
1813,1.2653262615458516e-07,0.0
1814,9.125363931161701e-08,0.0
1815,7.821948599939788e-08,0.0
1816,1.367386346373678e-07,0.0
1817,1.3389110620209976e-07,0.0
1818,1.513989502655022e-07,1.1921177378582115e-09
1819,1.2524770909294602e-07,4.140420006848444e-09
1820,1.4358441546846734e-07,0.0
1821,1.9821591479285416e-07,0.0
1822,1.303330066093622e-07,3.0076847679083585e-09
1823,1.7294702558956487e-07,0.0
1824,1.4905369027928828e-07,8.421112696055388e-10
1825,1.3736490700466675e-07,7.044354433105582e-09
1826,1.2243097557984584e-07,4.403992281964975e-09
1827,2.037017310385636e-07,1.8434546111834038e-09
1828,1.1098484264948638e-07,2.7516904310687096e-09
1829,9.087566610332942e-08,0.0
1830,1.49246758951449e-07,1.0436835840010872e-09
1831,6.392394169552063e-08,1.2472964883158966e-08
1832,1.1229874274931717e-07,0.0
1833,1.2973663388038403e-07,1.1583628500844156e-09
1834,1.1761508744712046e-07,0.0
1835,1.4899282518854307e-07,2.2689263801112247e-09
1836,1.290383977448073e-07,2.016224964762614e-09
1837,1.0436836106464398e-07,5.5663127440652715e-09
1838,8.458297173774554e-08,2.5248647617104325e-09
1839,1.3913034990764572e-07,1.3982950353153e-09
1840,1.2038711361128662e-07,6.369688665408546e-10
1841,1.3097918838411715e-07,0.0
1842,1.395319202401879e-07,2.683306021822318e-09
