year,plusieurs_DET watts_NOUN,plusieurs_DET boîtes_NOUN
1800,0.0,3.144164573143371e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,3.1329761895904085e-08
1803,0.0,2.3404069793286908e-08
1804,0.0,2.7190360185613827e-08
1805,0.0,2.55858996212055e-08
1806,0.0,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,1.3596443970698147e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,5.664169577812572e-08
1816,0.0,4.8669683394564345e-08
1817,0.0,6.227493631882908e-09
1818,0.0,1.4305413076343143e-08
1819,0.0,1.2421260131567635e-08
1820,0.0,4.746592363602531e-08
1821,0.0,8.875339574387908e-09
1822,0.0,3.0076847679083585e-09
1823,0.0,3.063632902922109e-08
1824,0.0,2.189489300974401e-08
1825,0.0,5.283265824829186e-09
1826,0.0,1.4973573048138178e-08
1827,0.0,1.5669364195058932e-08
1828,0.0,5.503380862137419e-09
1829,0.0,1.5431716349212365e-08
1830,0.0,1.5655253760016308e-08
1831,0.0,9.354723218280014e-09
1832,0.0,1.0823975493678972e-08
1833,0.0,1.50587169400751e-08
1834,0.0,1.2134890203796544e-08
1835,0.0,9.075705520444899e-09
1836,0.0,6.720749901045764e-09
1837,0.0,2.852735292435682e-08
1838,0.0,2.2723781967215473e-08
1839,0.0,1.8876983642890366e-08
1840,0.0,1.52872523528913e-08
1841,0.0,1.1556987367100646e-08
1842,0.0,1.609983613093391e-08
1843,0.0,1.594865928211675e-08
1844,0.0,1.9758820468673832e-08
1845,0.0,1.8972774684655747e-08
1846,0.0,8.196301637397596e-09
1847,0.0,9.168480197274675e-09
1848,0.0,4.183515223132872e-08
1849,0.0,5.02764896381791e-09
1850,0.0,7.467895635215882e-09
1851,0.0,1.5478653025979838e-08
1852,0.0,2.4740071769002725e-08
1853,0.0,2.508211416341055e-08
1854,0.0,1.0910895298366086e-08
1855,0.0,1.4859423913549108e-08
