year,aux_ADP arts_NOUN,aux_ADP barres_NOUN
1800,9.492232409868961e-06,9.118077048952955e-08
1801,6.767321032441487e-06,5.238601596957437e-08
1802,6.494211845620157e-06,1.3874608839614666e-07
1803,7.22015596466008e-06,7.216254860331617e-08
1804,6.491080696946483e-06,1.2112069280867388e-07
1805,7.110037023139171e-06,1.2508661750842975e-07
1806,7.797796595099271e-06,1.0374009207225754e-07
1807,9.60847353326244e-06,8.825560593450632e-08
1808,6.39712692063199e-06,8.384474003975129e-08
1809,5.988689963487559e-06,6.551188591608081e-08
1810,7.455644006171269e-06,5.616304266098382e-08
1811,5.773797786545742e-06,1.1532552957049802e-07
1812,6.291944060876631e-06,1.9470620582495712e-07
1813,5.906773560937495e-06,8.627224623580787e-08
1814,5.242364110813469e-06,1.0698702190836684e-07
1815,4.436932698581586e-06,5.664169533403651e-08
1816,5.51126220216247e-06,5.5622493277951435e-08
1817,5.103430922304142e-06,9.029865655207914e-08
1818,4.667141027425714e-06,1.6093589949583986e-07
1819,5.145506875692263e-06,1.3352854522086233e-07
1820,4.7655788080192e-06,1.7206397640023852e-07
1821,5.1703782375511764e-06,9.171184067735538e-08
1822,5.469976002814292e-06,1.6542266223495972e-07
1823,5.026334470414895e-06,3.281052114445515e-07
1824,4.880876732116235e-06,1.381062455507731e-07
1825,6.023803607035916e-06,1.7082559500281036e-07
1826,5.874925456339497e-06,2.4574276524802485e-07
1827,6.737826716118889e-06,1.2904182256079366e-07
1828,5.504298016489884e-06,1.2199160437376122e-07
1829,5.674585082715566e-06,1.1230860685884636e-07
1830,5.496037545071886e-06,2.369161737902914e-07
1831,4.755317764448819e-06,2.198360025129631e-07
1832,4.849140797791307e-06,1.9212556578995788e-07
1833,4.679786020034271e-06,1.10044471313131e-07
1834,4.5113788909034724e-06,1.9789206007203575e-07
1835,4.065916122897306e-06,2.0647230059012145e-07
1836,3.365079589201514e-06,1.512168834594263e-07
1837,4.265187053320574e-06,1.4750728061230234e-07
1838,4.1319410399864864e-06,1.8179025773612523e-07
1839,4.060648924664179e-06,1.9646044679966224e-07
1840,4.030738871563244e-06,1.273937727530594e-07
1841,4.0353148307303854e-06,1.2520069692101288e-07
1842,4.245661074264717e-06,1.8581893890257106e-07
1843,3.979486013605538e-06,1.695283434188788e-07
1844,3.5774441826674774e-06,1.5422856836089238e-07
1845,3.26443331033488e-06,1.1495269580663603e-07
1846,3.301353384443928e-06,1.7153688203208617e-07
1847,3.817323626975622e-06,1.0085328305819985e-07
1848,3.193148550906244e-06,1.7055869355742104e-07
1849,3.0953558542989867e-06,9.384944754664559e-08
1850,3.6321129783800643e-06,1.3442211965752904e-07
1851,3.092505846069571e-06,1.618809164494195e-07
1852,3.875727676572183e-06,1.640657407708801e-07
1853,3.4583457058090517e-06,2.0125410205018568e-07
1854,3.6463172250478237e-06,2.1613964401590025e-07
1855,3.852305589191474e-06,1.215288563116701e-07
1856,3.835261829010506e-06,1.4081954458067258e-07
1857,3.3199143771867057e-06,2.1039304609615783e-07
1858,3.3898493256856455e-06,1.179375927473636e-07
1859,3.293108463253702e-06,1.5378363826812347e-07
1860,3.3207470337970335e-06,1.386886657739339e-07
1861,3.4332216429788787e-06,1.6883149883684112e-07
1862,3.5872811423587336e-06,1.9924320027175924e-07
1863,3.5177115229600986e-06,2.0477945139596443e-07
1864,3.4637113728308577e-06,1.5966444721904338e-07
1865,2.7130251218920876e-06,1.4920697183340437e-07
1866,2.912069419380714e-06,1.4110277846146602e-07
1867,3.0956084202671263e-06,1.9653886340620375e-07
1868,3.3487405168841633e-06,1.9710097676206573e-07
1869,2.600962243803906e-06,1.4406381421139258e-07
1870,2.7454626554401784e-06,1.530991067255627e-07
1871,2.5469584059578665e-06,2.82523314965033e-07
1872,2.7485156692819146e-06,2.0802847444656436e-07
1873,2.5817636597480487e-06,2.0472135675575487e-07
1874,2.5003739594353647e-06,1.8879764202006655e-07
1875,2.5872744906507705e-06,1.550533858529768e-07
1876,2.8428362384147476e-06,1.7049761380505402e-07
1877,2.6866841658090834e-06,1.9791411032255013e-07
1878,2.631834853161763e-06,1.9445866006329027e-07
1879,2.423569320342267e-06,1.4540193826739767e-07
1880,2.8912397027625047e-06,1.6237150335385309e-07
1881,2.861517032215488e-06,1.6385392975770685e-07
1882,2.5090803035254794e-06,1.9966155773154526e-07
1883,2.661073523313462e-06,2.0474658884994668e-07
1884,2.2762651497032493e-06,1.9342971402380726e-07
1885,2.0793621118286865e-06,2.120614120970643e-07
1886,2.11802678506956e-06,2.2135381128052245e-07
1887,1.9717352337522698e-06,1.7236361626871144e-07
1888,2.212874598228609e-06,2.168490191856165e-07
1889,2.364462602599815e-06,2.775455687498152e-07
1890,2.075774247600748e-06,2.457894971996666e-07
1891,2.2399008230422623e-06,2.3839583063178793e-07
1892,1.8930907756953275e-06,2.400840291016948e-07
1893,2.045210088397198e-06,3.270119204312749e-07
1894,2.00577994746709e-06,2.760074295782289e-07
1895,1.8091954814281053e-06,3.219958710776183e-07
1896,1.8463597761808614e-06,2.689045214832042e-07
1897,1.9845786347616468e-06,2.1617106582549894e-07
1898,1.6816630576954594e-06,2.235050174936859e-07
1899,1.8451056433832491e-06,3.2723265341871866e-07
1900,1.9492404952359266e-06,7.495880884889061e-07
1901,1.560375959996918e-06,2.6714171386110763e-07
1902,1.427910589768544e-06,9.643797616032401e-07
1903,1.6918889933492665e-06,2.673108898676446e-07
1904,1.8031867625722953e-06,3.1764034691406096e-07
1905,1.6514429006520004e-06,3.0500086833917806e-07
1906,1.7515948869117892e-06,4.897263679026764e-07
1907,1.927023472347855e-06,2.8079924230262066e-07
1908,1.9979530989644445e-06,2.892808130816604e-07
1909,1.8125740552932257e-06,3.6141462300687266e-07
1910,1.698371107750063e-06,3.789002713805445e-07
1911,1.6663411184225652e-06,4.107328716029812e-07
1912,1.7425513867408426e-06,3.203794196604548e-07
1913,1.8401373829135537e-06,3.446943341867126e-07
1914,1.7846821567246707e-06,3.274707819911349e-07
1915,1.7082104655230523e-06,2.591767636062059e-07
1916,1.541540875393821e-06,2.0656429300380807e-07
1917,1.8105566574888599e-06,3.6956848958880073e-07
1918,1.6184304847399744e-06,3.4688857386555583e-07
1919,1.48706756775141e-06,3.001758548393241e-07
1920,1.6499892918631076e-06,3.801260457514388e-07
1921,1.3880845806113484e-06,4.1422928909184975e-07
1922,1.4320573029635852e-06,3.42336196723636e-07
1923,1.4650008406391635e-06,3.82174125235224e-07
1924,1.7261884961428109e-06,3.313147476369238e-07
1925,1.6167321277293922e-06,1.9796720618359132e-07
1926,1.4634879850206062e-06,2.396419795935856e-07
1927,1.4572037427829088e-06,2.0960542257419945e-07
