year,quelques_DET aveux_NOUN
1800,7.231578402766559e-08
1801,8.09602078710725e-08
1802,2.4616241489638924e-08
1803,5.070882025393075e-08
1804,1.2606439270257397e-07
1805,1.2224374756897305e-07
1806,1.0950342499427279e-07
1807,5.693910276605152e-08
1808,4.5321478125970316e-08
1809,6.77709144358829e-08
1810,5.3822915901946544e-08
1811,4.763445815569867e-08
1812,6.13457871168066e-08
1813,1.5241430162404868e-07
1814,7.86669280827823e-08
1815,2.6972236000233352e-08
1816,4.1716869958463576e-08
1817,7.005930058312515e-08
1818,1.8358613029789694e-07
1819,4.34744116262209e-08
1820,7.238553667576753e-08
1821,7.691961023681415e-08
1822,7.118187284049782e-08
1823,7.214361374963119e-08
1824,3.2000228245010476e-08
1825,1.584979791857677e-08
1826,2.554315414737829e-08
1827,3.2260455640198415e-08
1828,7.888178998882722e-08
1829,3.6864658548019236e-08
1830,5.9489963177838945e-08
1831,3.585977470521584e-08
1832,3.111892965534935e-08
1833,6.139323094345173e-08
1834,4.760610794463105e-08
1835,3.403389570166837e-08
1836,3.8980349614803345e-08
1837,5.148839221646995e-08
1838,4.229148586887277e-08
1839,3.775396539840159e-08
1840,5.095751021144679e-08
1841,5.008027770259105e-08
1842,3.4212153110502186e-08
1843,2.3627644785140234e-08
1844,6.147188713612195e-08
1845,5.524425716885162e-08
1846,4.8006910446929396e-08
1847,4.7460367191831665e-08
1848,3.620349886546137e-08
1849,3.100383594301093e-08
1850,3.937617609750532e-08
1851,2.8377529659451284e-08
1852,2.9948509450150596e-08
1853,2.5679306681070102e-08
1854,3.169355233811899e-08
1855,3.714855978387277e-08
1856,2.743910287872353e-08
1857,6.834112387110736e-08
1858,5.089423105175683e-08
1859,4.226503991233699e-08
1860,3.936378173419186e-08
1861,4.433005806880885e-08
1862,2.0782737308877586e-08
1863,4.395266373080631e-08
1864,7.096197363054557e-08
1865,3.4830648587558244e-08
1866,6.082016312802807e-08
1867,2.135237053835226e-08
1868,4.1988930332692576e-08
1869,4.102156125895817e-08
1870,3.268407766654491e-08
1871,1.3807530230280918e-08
1872,1.69325495846806e-08
1873,4.070483150542259e-08
1874,4.062734104692822e-08
1875,2.4602565928955045e-08
1876,3.808989390563511e-08
1877,2.3502300550148902e-08
1878,1.509772218355465e-08
1879,2.6270098985037293e-08
1880,4.8133846464182284e-08
1881,3.13762834047715e-08
1882,2.3293847517535937e-08
1883,2.6541224329434954e-08
1884,2.178559910248623e-08
1885,2.8360796378024133e-08
1886,2.5813855442091693e-08
1887,1.958677448010704e-08
1888,1.775372115986329e-08
1889,2.6313573542324775e-08
1890,2.9494739373081558e-08
1891,2.9321411521010532e-08
1892,2.0059239380643135e-08
1893,2.2170299485146927e-08
1894,3.7809236630437226e-08
1895,2.5278181325916194e-08
1896,2.358811634906033e-08
1897,2.5637539757816796e-08
1898,2.998928039232851e-08
1899,1.879376654301268e-08
1900,2.6474370251605706e-08
1901,1.956058603980182e-08
1902,1.2275709337927765e-08
1903,2.4841013246401644e-08
1904,1.9886112312406112e-08
1905,1.4450125374043665e-08
1906,1.388929860013377e-08
1907,1.8514236699296305e-08
1908,3.437972395659017e-08
1909,1.9253442173905455e-08
1910,3.6874638009720684e-08
1911,3.405039450399272e-08
1912,1.8232974019483095e-08
1913,2.6514948014977335e-08
1914,2.142958016593255e-08
1915,4.947920095865754e-08
1916,3.955486249651585e-08
1917,2.631941953268324e-08
1918,2.986457836584577e-08
1919,3.867296172188617e-08
1920,2.0445026560622637e-08
1921,3.0290990604697754e-08
1922,2.287159944769357e-08
1923,4.564857825073432e-08
1924,4.769901007506405e-08
1925,2.1996356736053713e-08
1926,1.560459372829115e-08
1927,2.0068604555945058e-08
1928,2.2852082892654835e-08
1929,2.33948540540041e-08
1930,3.361153133596417e-08
1931,2.737285598186645e-08
1932,1.753525868952721e-08
1933,2.982372127036115e-08
1934,1.7972370258689807e-08
1935,2.154291056655211e-08
1936,1.6974599503782883e-08
1937,1.6368453259474336e-08
1938,1.2965214679638848e-08
1939,5.199976982339649e-08
1940,1.2678914806940611e-08
