year,plusieurs_DET arts_NOUN,plusieurs_DET barres_NOUN
1800,7.766086334015654e-07,4.4018303668735825e-08
1801,5.357660786131646e-07,4.0480102825313224e-08
1802,5.661735258399858e-07,6.937304419807333e-08
1803,5.577970290104872e-07,7.801356893821776e-09
1804,4.7212353271319785e-07,2.2246657849223084e-08
1805,4.093743901645297e-07,1.421438877713399e-08
1806,2.9681191904273874e-07,0.0
1807,3.871858860193811e-07,1.1387820331165699e-07
1808,4.1922368332336646e-07,1.8128591960930862e-08
1809,7.635523013860279e-07,7.680704072754452e-08
1810,3.112368620605821e-07,1.6380887757350138e-08
1811,4.512738200901367e-07,2.5070768572277302e-08
1812,2.853912830502736e-07,7.20146218213813e-08
1813,2.990771328370556e-07,0.0
1814,2.6746754855366817e-07,5.034683381310856e-08
1815,1.6722785467493395e-07,2.6972236000233352e-08
1816,1.4832664518849015e-07,1.622322720606917e-08
1817,4.1568520714463375e-07,2.3353100786493997e-08
1818,3.016057954496887e-07,3.099506074022429e-08
1819,4.357792082743117e-07,4.45095160728215e-08
1820,3.4650124192125986e-07,2.0173018810965004e-08
1821,3.471243843478078e-07,2.5639868894700157e-08
1822,3.8498363608141517e-07,2.606660132187244e-08
1823,3.9333094969951077e-07,3.4589405117912975e-08
1824,2.4758071415220684e-07,4.126345132249298e-08
1825,3.099516074911435e-07,3.874394849390228e-08
1826,2.5366994194087056e-07,5.813269732257709e-08
1827,2.1752764922666756e-07,4.885154680778214e-08
1828,3.21947770887121e-07,5.77854966654634e-08
1829,3.0263310835110246e-07,1.8003669499666586e-08
1830,2.6092088400986313e-07,5.322786122974321e-08
1831,2.728461083734146e-07,3.4300654760954785e-08
1832,2.638344049898933e-07,9.470978667991403e-09
1833,2.050302256861869e-07,4.9809603552830595e-08
1834,2.0535968037194152e-07,3.267085801894609e-08
1835,3.494146625371286e-07,2.3445572594482655e-08
1836,2.2447305703110487e-07,2.016225053580456e-08
1837,1.405494008954733e-07,2.5744196108234974e-08
1838,2.0451403881516228e-07,4.8603647551104245e-08
1839,2.1323999810363148e-07,4.194885150354821e-08
1840,1.5350949489345567e-07,3.567025713691052e-08
1841,1.5794548735570402e-07,2.5682194149112547e-08
1842,1.0599058430926789e-07,2.1466447730489335e-08
1843,1.4058448238873922e-07,1.2404512972352677e-08
1844,1.7673167462817219e-07,2.085653250105679e-08
1845,8.258737693722651e-08,2.17628883802945e-08
1846,8.898842129845264e-08,1.6978054517835517e-08
1847,9.707802473002403e-08,1.3483059113639229e-08
1848,7.884317199113866e-08,1.045878850192139e-08
1849,4.1897074254393374e-08,3.854530916669319e-08
1850,9.436704129228701e-08,2.4440385715251978e-08
1851,1.5220675564364683e-07,1.4188765717904062e-08
1852,9.765818420603978e-08,9.114764054629632e-09
1853,1.0868916211492774e-07,4.896984151514516e-08
1854,9.923718924387259e-08,3.169355233811899e-08
1855,7.960405667972736e-08,4.0332722051061864e-08
1856,7.040977090255751e-08,3.209857180053177e-08
1857,6.297146915024143e-08,3.758762023853279e-08
1858,9.444794857316197e-08,3.9149408104233174e-08
1859,7.179964311987419e-08,4.53203412575931e-08
1860,5.263761626572716e-08,1.5104706818647173e-08
1861,8.488734826173072e-08,1.9335450573976232e-08
1862,1.1566044877397985e-07,2.0782737364388737e-08
1863,7.09236124274426e-08,3.1965573299430616e-08
1864,5.801620939216434e-08,1.5343129433631475e-08
1865,6.966129806329491e-08,1.7886009118228685e-08
1866,5.6927672575923793e-08,1.9949013108089275e-08
1867,3.882249011155636e-08,4.561642796829801e-08
1868,4.5940827586576916e-08,1.778354707937524e-08
1869,3.662639258550371e-08,2.2952539424636598e-08
1870,4.7019200977160835e-08,1.6055336615750093e-08
1871,3.611200227737754e-08,2.0180236148803488e-08
1872,5.684499060354398e-08,8.466274681317998e-09
1873,6.524744566860363e-08,2.5141219328617126e-08
1874,4.002988296392118e-08,4.002988251983197e-08
1875,5.549881265665135e-08,1.6592428764283795e-08
1876,9.613163598487517e-08,2.5997863417615008e-08
1877,3.154256233983688e-08,1.608052180301911e-08
1878,6.884561010167545e-08,1.509772207253235e-08
1879,5.864952212775165e-08,1.4051448005147904e-08
1880,6.546203334956147e-08,1.1552122813895949e-08
1881,2.3009274485730202e-08,1.6036766581351003e-08
1882,2.7952617998039386e-08,1.3310770263785798e-08
