year,des_DET ans_NOUN,des_DET bancs_NOUN
1800,2.4210066706942257e-07,1.8896428386483421e-06
1801,1.2144031291683177e-07,2.3121282115567965e-06
1802,1.544109693440987e-07,1.745515248785523e-06
1803,1.677291692203653e-07,3.2980236568391774e-06
1804,2.298821382140659e-07,2.2592716586444794e-06
1805,2.2743021221849347e-07,1.8876708089976546e-06
1806,9.221341379372916e-08,2.244820279884152e-06
1807,1.7366426563469872e-07,3.1828957087753906e-06
1808,3.2178249620429256e-07,2.8167298893322368e-06
1809,1.671682585691059e-07,2.8124930508965917e-06
1810,1.6848911998934568e-07,2.27694323484684e-06
1811,3.4096242984560376e-07,3.0486054143352703e-06
1812,1.1735716398675322e-07,2.0030733267617506e-06
1813,2.1280487771946355e-07,1.8519775757397383e-06
1814,2.0453401017306305e-07,2.0862470080373896e-06
1815,1.645306344499886e-07,2.2791538896171915e-06
1816,1.7382028794088455e-07,2.2179469993943712e-06
1817,1.603579571352043e-07,2.9393769302998862e-06
1818,1.5497530236885382e-07,2.021831669196672e-06
1819,1.387040714506682e-07,3.2864583587866036e-06
1820,1.9342364865337913e-07,1.774038928203936e-06
1821,1.2031015916846854e-07,1.5482536834809935e-06
1822,1.6843034700286807e-07,2.808174912161121e-06
1823,1.6207605924023483e-07,2.106000522417162e-06
1824,2.5263338887526743e-07,1.9174873138183557e-06
1825,2.0164464720195951e-07,1.8711566589502127e-06
1826,1.655901114006042e-07,2.160598526756985e-06
1827,1.3457219222301475e-07,2.036095651192227e-06
1828,1.008953154912895e-07,1.928017738350718e-06
1829,1.285976387599419e-07,2.17244269862249e-06
1830,1.4298465544904104e-07,2.51005901930057e-06
1831,7.171954852225326e-08,2.4306689816455673e-06
1832,1.1500473751091533e-07,2.2067380101020717e-06
1833,1.4711208606854598e-07,3.0024764399172454e-06
1834,1.7642263561157279e-07,2.5539276862218685e-06
1835,1.3084142835850798e-07,2.3392631192109548e-06
1836,1.458402760223798e-07,1.8939074237778186e-06
1837,1.1897993812404195e-07,1.948209472857343e-06
1838,1.117252639293298e-07,1.9252093395039083e-06
1839,1.244482580320394e-07,2.3092842766914146e-06
1840,1.2293498929949465e-07,1.6535711395704311e-06
1841,1.0016055718153893e-07,2.1091501878345298e-06
1842,1.3148199817791806e-07,1.6730412575327591e-06
1843,1.3585894986789526e-07,1.7230459761208294e-06
1844,9.824524904722409e-08,1.7684144211216335e-06
1845,1.5457230917448328e-07,1.742147212269174e-06
1846,1.1065007576860353e-07,1.7967464174262204e-06
1847,8.089835112912169e-08,1.8741452265658154e-06
1848,1.1585119558121804e-07,3.068447632870175e-06
1849,1.055806320149344e-07,2.463548064213228e-06
1850,1.0251383653070434e-07,1.771927923499561e-06
1851,1.2060450571560466e-07,2.2218317283773104e-06
1852,1.1979403624629015e-07,1.7467793362868633e-06
1853,1.1107793307374436e-07,1.9749177511130256e-06
1854,1.1638288199833369e-07,1.8075716070597991e-06
1855,1.3001995569084102e-07,1.7910912966101478e-06
1856,1.0354378376931095e-07,2.258807676014385e-06
1857,1.7719877498656444e-07,2.0477930249285237e-06
1858,1.1549075340511195e-07,1.8958101080102097e-06
1859,1.9961319530636956e-07,1.6534287290426164e-06
1860,1.2953430317264036e-07,1.9485071689473443e-06
1861,1.5421200871834628e-07,1.5473077255023782e-06
1862,1.6716549666728753e-07,1.8451456114121356e-06
1863,1.4883970655965584e-07,1.5887888409338302e-06
1864,2.1528328186803947e-07,1.791310374699151e-06
1865,1.308502746155682e-07,1.7966024685733828e-06
1866,1.5083400217719145e-07,1.6562546676368584e-06
