year,êtes_VERB aux_ADP,êtes_VERB beau_ADV,etes_VERB aux_ADP
1800,5.0306631749208464e-08,0.0,0.0
1801,4.7623650800687756e-08,4.7623651688866175e-09,0.0
1802,2.2378401354217203e-08,1.1189200677108602e-08,0.0
1803,8.386458461018265e-08,1.3652374342143503e-08,0.0
1804,6.179627121127851e-08,9.887403784603066e-09,0.0
1805,9.381496113292087e-08,8.528632911009026e-09,0.0
1806,1.123850950079941e-07,2.881669125542885e-09,0.0
1807,1.3095993267597805e-07,2.8469551160981155e-09,0.0
1808,5.891792298484688e-08,4.5321479902327155e-09,0.0
1809,5.6475762733043666e-08,1.3554183553310395e-08,0.0
1810,1.2870697219113936e-07,2.574139479349924e-08,0.0
1811,5.0141537144554604e-08,2.5070767684098882e-09,0.0
1812,3.7340914360584065e-08,3.7340914360584065e-08,0.0
1813,3.163315653864629e-08,1.4378708002027452e-08,0.0
1814,7.866692897096073e-08,1.2586708564299443e-08,0.0
1815,7.012781111370714e-08,2.697223555614414e-09,0.0
1816,1.5296186006708012e-07,0.0,0.0
1817,4.826307531402563e-08,3.113746815941454e-09,0.0
1818,6.795070817133819e-08,1.0729059418679299e-08,0.0
1819,6.728182455617571e-08,6.210630232317271e-09,0.0
1820,5.102586797534059e-08,9.493184904840746e-09,0.0
1821,7.691961201317099e-08,3.94459531705138e-09,0.0
1822,8.922798144794797e-08,1.5038423839541792e-08,1.0025615893027862e-09
1823,6.81905376609393e-08,1.7788837070042973e-08,0.0
1824,5.4737231636181605e-08,1.0947446504872005e-08,0.0
1825,8.453225319726698e-08,1.3208164340028361e-08,0.0
1826,8.719904798226707e-08,3.5231937367541377e-09,0.0
1827,9.125100319806734e-08,3.6869092223668076e-09,3.6869092223668076e-09
1828,1.0915038473058303e-07,1.2841221419535032e-08,0.0
1829,9.601956918459109e-08,1.800366966620004e-08,1.714635211591542e-09
1830,8.036363396968227e-08,5.218417697960831e-09,0.0
1831,9.042899762334855e-08,2.494592976631793e-08,0.0
1832,6.088486514954639e-08,2.570694235259907e-08,0.0
1833,1.2394482951094687e-07,2.89590715851773e-08,0.0
1834,8.121041616959701e-08,1.8669062740173104e-08,0.0
1835,1.1420262779893164e-07,4.0084366048631637e-08,0.0
1836,8.535352691296794e-08,4.5029025841358816e-08,0.0
1837,8.279890550966229e-08,3.1310509740478665e-08,6.957890930081589e-10
1838,8.710783561127755e-08,1.9567702125300457e-08,6.312161904276081e-10
