year,ces_DET ailes_NOUN,ces_DET belles_NOUN
1800,7.231578535993322e-07,1.320549074534938e-07
1801,4.309940493385511e-07,1.1905912788989781e-07
1802,5.706492345325387e-07,6.265952379180817e-08
1803,5.909527942549175e-07,8.776526527753958e-08
1804,4.597642870862728e-07,5.19088700912107e-08
1805,3.951599971685482e-07,9.097208941710733e-08
1806,3.890253381655384e-07,1.844268222583878e-07
1807,2.4483813731990267e-07,3.131650538890085e-08
1808,2.673967252064813e-07,5.4385775882792586e-08
1809,2.530114144860818e-07,8.584316191218022e-08
1810,5.031272607425308e-07,1.2402671956124323e-07
1811,4.312171952847166e-07,9.025476677138045e-08
1812,3.494042886131865e-07,1.3869482984318893e-07
1813,1.437870835729882e-07,9.777521836618064e-08
1814,1.2272040450511668e-07,5.97868634599763e-08
1815,1.8880565022527662e-07,1.10586166890414e-07
1816,6.350234684759926e-07,6.721051093450114e-08
1817,6.071806240015576e-07,6.383181205826816e-08
1818,5.579111075348919e-07,7.74876551812298e-08
1819,3.747080228322375e-07,7.245734945371396e-08
1820,3.0852852006546527e-07,1.3409123145180502e-07
1821,3.6487505639115625e-07,6.50858238415708e-08
1822,5.383755734555962e-07,8.221005032282847e-08
1823,3.765303837610645e-07,1.0376821091284683e-07
1824,2.871599491527377e-07,9.768490993877776e-08
1825,3.8039515004584246e-07,6.251864537176743e-08
1826,2.3517318048504876e-07,7.662946055475572e-08
1827,2.4425773048619703e-07,5.899054755786892e-08
1828,2.834241144000771e-07,6.512334016495203e-08
1829,1.7917937800149275e-07,7.71585849657086e-08
1830,3.057992934429876e-07,8.453836675137438e-08
1831,1.7929886553247343e-07,1.0757932500382594e-07
1832,4.857259057189367e-07,9.200379436080652e-08
1833,3.1854977322609557e-07,9.38273876371909e-08
1834,3.0617261614906965e-07,1.0361329216834747e-07
1835,3.4109527291548147e-07,9.378229037793062e-08
1836,3.158752477361304e-07,1.0484369833418938e-07
1837,2.56050391556073e-07,7.723258788061571e-08
1838,2.9793403300004684e-07,1.2813688332613538e-07
1839,3.285993415147459e-07,1.2235081525702185e-07
1840,2.458699874807735e-07,9.745623968937522e-08
1841,2.5874811271364706e-07,8.21830190567141e-08
1842,2.0795621225033756e-07,9.592818894788024e-08
1843,2.811689725490396e-07,6.143187425422525e-08
1844,2.3216613698195943e-07,1.0867351196708341e-07
1845,3.1137672706904596e-07,7.868121604248657e-08
1846,2.7574701277899294e-07,7.201036411608186e-08
1847,2.1842555497642024e-07,8.629157921546948e-08
1848,2.2446168657097587e-07,8.125673950365453e-08
1849,2.7652069789496636e-07,1.0558063068266677e-07
1850,2.58660744378858e-07,9.233034603539636e-08
1851,1.6768540334055615e-07,9.35168653626306e-08
1852,3.8216901465659703e-07,1.002623977175432e-07
1853,2.3648849989399423e-07,1.0152283880238144e-07
1854,1.9951351148961294e-07,9.04045593941305e-08
1855,2.3881217359189577e-07,1.1091498564042013e-07
1856,1.9518003213647717e-07,9.888431495852501e-08
1857,3.1876254524831893e-07,1.2301403229386665e-07
1858,2.397901290862592e-07,1.277249481734799e-07
1859,2.0826989555189357e-07,1.0795407234809318e-07
1860,4.2933983479542803e-07,1.208376537442657e-07
1861,2.1551954532128548e-07,1.1931388077535132e-07
1862,2.1324894916574522e-07,1.2379282399166414e-07
1863,2.1426923169087786e-07,1.12378968353255e-07
1864,2.77135271176121e-07,1.2706029062226065e-07
1865,2.376956338423497e-07,1.3932259279592074e-07
1866,2.063019906017871e-07,1.1677470723725492e-07
1867,2.5719900875742496e-07,1.4121680713685691e-07
1868,2.326680750286414e-07,9.583355697895257e-08
1869,2.2610693406477367e-07,9.376356846502176e-08
1870,2.603258124622698e-07,1.0206606892992909e-07
1871,2.2835530799625303e-07,9.452847882229776e-08
1872,2.8724862133344686e-07,1.0220003421324009e-07
1873,1.8975634219486892e-07,8.679706653413888e-08
1874,2.1867069222025748e-07,9.798358896473403e-08
1875,1.8137241042381902e-07,1.0870901245851883e-07
1876,2.4304979007183647e-07,1.1185127402058015e-07
1877,1.818335917391778e-07,1.1874847061221772e-07
1878,1.781531118183466e-07,9.481369556141317e-08
1879,1.6739551078615023e-07,9.347267848625052e-08
1880,1.1423766643758881e-07,9.690947511131753e-08
1881,1.6873468311473516e-07,1.0458761234843905e-07
1882,1.6505354771823022e-07,8.918215810282959e-08
1883,2.1612138567661532e-07,9.858168725784822e-08
1884,1.8880854035785433e-07,9.770511777418278e-08
1885,1.4953874760692543e-07,6.445635580831777e-08
1886,2.0522015375945557e-07,8.324968492345874e-08
1887,1.397189866025883e-07,9.662808442278958e-08
1888,2.231896445437087e-07,7.291706949352772e-08
