year,les_DET arts_NOUN,les_DET bars_NOUN
1800,4.5247672190384947e-05,3.144164484325529e-09
1801,3.912521257376511e-05,2.3811825844433088e-09
1802,4.153655066829742e-05,0.0
1803,4.048904326481306e-05,1.5602713565598947e-08
1804,4.027881173840342e-05,4.943701892301533e-09
1805,4.311792697819783e-05,1.1371510844071508e-08
1806,4.534018168556031e-05,2.881669125542885e-09
1807,4.801389907527209e-05,0.0
1808,3.9787727871498646e-05,4.5321479902327155e-09
1809,3.578756209066114e-05,3.6144488735345703e-08
1810,3.754265478050911e-05,0.0
1811,3.647796724237651e-05,0.0
1812,3.812240651512866e-05,5.3344164641089264e-09
1813,3.824448761946542e-05,0.0
1814,3.671857689724334e-05,0.0
1815,3.341859902938893e-05,8.091670444798638e-09
1816,2.9528590809846378e-05,0.0
1817,3.207470657606848e-05,0.0
1818,3.106420353304884e-05,1.1921177378582115e-09
1819,3.446175026766696e-05,2.070210003424222e-09
1820,3.125393749314753e-05,7.119888678630559e-09
1821,3.4561559809631603e-05,5.9168929755770705e-09
1822,3.086786915673656e-05,1.0025615893027862e-09
1823,2.9126255565614656e-05,1.9765373782121287e-09
1824,2.7163984043454548e-05,2.5263338088166165e-09
1825,3.2852227807467216e-05,8.805443041381977e-10
1826,2.961596720396642e-05,1.7615968683770689e-09
1827,3.0185647712954733e-05,1.8434546111834038e-09
1828,2.7465538266824296e-05,0.0
1829,3.197537445842613e-05,6.85854095738847e-09
1830,2.8974743937482117e-05,9.393152256009785e-09
1831,2.6205700084602768e-05,3.274153215215847e-08
1832,2.9242323105194146e-05,1.3529969367098715e-09
1833,2.843896600168705e-05,3.475088550253247e-09
1834,2.7117744961557833e-05,1.773560875939495e-08
1835,2.3476582086345843e-05,1.1344631900556124e-08
1836,2.2072288142993557e-05,8.736974865808378e-09
1837,2.318299692127823e-05,1.2524203896191466e-08
1838,2.260953234767271e-05,7.574594285131298e-09
1839,2.385701067453283e-05,4.194884994923598e-09
