year,leurs_DET oies_NOUN,leurs_DET bois_NOUN
1800,6.288328968651058e-09,5.628054395856452e-07
1801,0.0,4.119445780048636e-07
1802,2.2378401354217203e-09,5.102275792978617e-07
1803,2.3404069793286908e-08,6.533636565109191e-07
1804,4.943701892301533e-09,4.918983362856011e-07
1805,5.685755422035754e-09,6.140616051197867e-07
1806,0.0,6.97363930157735e-07
1807,2.8469551160981155e-09,8.569334966068709e-07
1808,2.2660739951163578e-09,9.789439445739845e-07
1809,3.6144488291256494e-08,8.900580041881767e-07
1810,1.1700633351097167e-08,8.377653557545273e-07
1811,0.0,5.991913276659488e-07
1812,5.3344164641089264e-09,8.241673299380636e-07
1813,8.627225156487839e-09,4.831245945524643e-07
1814,0.0,4.122147134744125e-07
1815,0.0,5.529308415574974e-07
1816,0.0,5.863537850814282e-07
1817,1.556873407970727e-09,5.962825313510223e-07
1818,2.384235386898581e-08,4.494283816214306e-07
1819,0.0,5.175524897538253e-07
1820,3.322614716694261e-08,4.758458942433208e-07
1821,1.2819934447350079e-08,9.891073204926215e-07
1822,2.0051231786055723e-09,4.220784433073277e-07
1823,8.894418535021487e-09,7.323071056219987e-07
1824,1.431589158329416e-08,6.400045844401347e-07
1825,7.924898959288385e-09,8.594112212989558e-07
1826,3.5231937367541377e-09,9.318847293826593e-07
1827,1.3825909306319772e-08,1.1484722781673895e-06
1828,1.4675682002973645e-08,8.034936005429927e-07
1829,3.3435387791769244e-08,9.893445387376687e-07
1830,2.0873671680021744e-09,7.765005805016045e-07
1831,1.5591206103948707e-09,5.940249638847206e-07
1832,5.411987746839486e-09,5.899066493064709e-07
1833,3.4750886612755494e-09,7.714696845795288e-07
1834,5.600718555598405e-09,7.364945036059112e-07
1835,0.0,6.897536053429576e-07
1836,3.36037508930076e-09,7.103832984078906e-07
1837,5.5663127440652715e-09,5.134923782845746e-07
1838,1.3886756633496589e-08,5.516829322260719e-07
1839,9.788065469251706e-09,5.55123142564895e-07
1840,0.0,5.707241204078173e-07
1841,3.852329122366882e-09,4.7512058909404686e-07
1842,0.0,5.702025429599189e-07
1843,1.7720733769266417e-09,5.517054777470776e-07
1844,5.488561272137815e-10,6.366731186702168e-07
1845,6.138250796539069e-09,4.040084968792712e-07
1846,5.269050973311096e-09,5.591048708453172e-07
1847,8.089835468183537e-09,5.91097286672948e-07
1848,2.172209789819135e-08,5.543157561849199e-07
1849,0.0,1.2652916883126863e-06
1850,6.788996032014438e-10,6.055784407266174e-07
1851,7.739326512989919e-09,5.95928150382008e-07
1852,2.278690836021724e-08,5.117288630618333e-07
1853,1.0749477752369785e-08,5.344878788449137e-07
1854,6.754363734984281e-09,4.551402161823148e-07
1855,4.2455496895854594e-09,4.4153717126960146e-07
1856,3.6240324075009767e-09,4.550749328480208e-07
1857,3.905207268672939e-09,4.3640691460566927e-07
1858,7.34051397444091e-09,4.1057942556932403e-07
1859,2.036869339860914e-09,4.0380933663541896e-07
1860,1.373155145145688e-09,4.1743916961989314e-07
1861,1.8863854922557266e-09,3.758623141614237e-07
1862,1.0391368654438793e-08,3.781554625548189e-07
1863,2.9967726078439227e-09,3.6011216819620273e-07
1864,9.589456340108882e-09,4.315255266451601e-07
1865,1.2237795665726026e-08,4.090247887056364e-07
1866,5.838735717134114e-09,4.004399443147122e-07
1867,9.7056229719783e-10,5.080893608067072e-07
1868,2.9639244392143382e-09,5.636396529506982e-07
1869,4.883519366671862e-09,3.574735956135555e-07
