year,trois_DET os_NOUN
1800,1.1004575384276905e-07
1801,6.667310969987739e-08
1802,6.937304419807333e-08
1803,1.5212645632090016e-07
1804,1.829169640199524e-07
1805,3.9800288575975173e-07
1806,5.76333825108577e-09
1807,8.825561081948763e-08
1808,6.571614763473121e-08
1809,6.325285539787728e-08
1810,1.8721014072298203e-08
1811,2.2563691359778204e-08
1812,1.6803411284627146e-07
1813,1.7254450312975678e-08
1814,3.776012391654149e-08
1815,6.74305908887618e-08
1816,8.1116134253989e-08
1817,1.0431051578052575e-07
1818,1.0729059818359588e-07
1819,9.937007838800582e-08
1820,8.42520151422832e-08
1821,2.6626018723163725e-08
1822,9.42407893944619e-08
1823,6.621399961659336e-08
1824,1.1621135520556436e-07
1825,1.4264818393172618e-07
1826,3.611273668990833e-08
1827,7.742509333663605e-08
1828,1.5134297370877903e-07
1829,1.1659519572049248e-07
1830,3.965997530386289e-08
1831,1.2784789227282545e-07
1832,2.7059938512152826e-08
1833,8.571884890784531e-08
1834,8.774459114846422e-08
1835,2.1479169731719594e-07
1836,1.3575915458474697e-07
1837,1.5655253982060913e-07
1838,7.953323777343257e-08
1839,8.809258578157397e-08
1840,5.095751021144679e-08
1841,1.0979138354016982e-07
1842,5.634942823462552e-08
1843,5.139012526633735e-08
1844,3.8419929682120824e-08
1845,8.314539368114993e-08
1846,4.8592360579746696e-08
1847,3.829188877091383e-08
1848,6.59708183636809e-08
1849,9.971503645012092e-08
1850,3.1229380859087996e-08
1851,3.740674348051698e-08
1852,6.250123618656289e-08
1853,7.942669588700824e-08
1854,1.0183502574534486e-07
1855,5.890700194299825e-08
1856,3.054541686253742e-08
1857,3.7099467942169895e-08
1858,3.229826006645453e-08
1859,3.56452136696106e-08
1860,2.746310379109218e-08
1861,2.6409396891580172e-08
1862,3.569209305887e-08
1863,1.3485476402230745e-08
1864,8.198984446927682e-08
1865,5.459939567131755e-08
1866,7.29841911351059e-08
1867,7.715970085087065e-08
1868,5.532658997609019e-08
1869,8.399653106394567e-08
1870,3.555110428266062e-08
1871,1.4869647824156118e-07
1872,4.898344840853497e-08
1873,5.327543917132971e-08
1874,1.0097089209182286e-07
1875,4.005068898749187e-08
1876,7.678438684877165e-08
1877,6.308512334740612e-08
1878,4.7104892875182713e-08
1879,5.8649523682063887e-08
1880,3.273101611966922e-08
1881,4.462404801230946e-08
1882,2.7952617109860967e-08
1883,3.222862687835004e-08
1884,5.017289517184054e-08
1885,7.348024411157894e-08
1886,4.71102867272144e-08
1887,2.1545451256432813e-08
1888,7.228300535899734e-08
1889,5.012109455249103e-08
1890,4.5225265588033636e-08
1891,4.270727416155751e-08
1892,2.5700900740943666e-08
1893,5.5425747658155444e-08
1894,4.537108355684438e-08
1895,5.7176835710492924e-08
1896,5.779088296797852e-08
1897,3.321226815788947e-08
1898,4.1305989850748404e-08
1899,2.984892333302014e-08
1900,1.1939421895590385e-08
1901,2.626707229502756e-08
1902,2.4551419786078554e-08
1903,4.6981915247101824e-08
1904,3.547252624969133e-08
1905,1.806265698123255e-08
1906,2.9836270065697335e-08
1907,6.068555080673832e-08
1908,3.290630568031361e-08
1909,4.7308458483996674e-08
1910,1.870452770447173e-08
1911,3.2454281484461944e-08
1912,1.771203250733322e-08
1913,2.0681659718135847e-08
1914,2.4108278040557707e-08
1915,3.65203614016707e-08
1916,1.3184954461564757e-08
1917,2.52227767560953e-08
1918,1.6080926812378493e-08
1919,1.4732557396257562e-08
1920,2.953170330499688e-08
1921,4.7708307637783776e-08
1922,1.9920425309294387e-08
1923,3.1847843473542525e-08
1924,1.4180787211159895e-08
1925,1.6497267107951075e-08
1926,4.346994098014534e-08
1927,1.895368229032357e-08
1928,1.3711249802206282e-08
1929,2.4508894469477127e-08
1930,1.995684684175103e-08
1931,1.9389105432310316e-08
1932,1.2055489939655217e-08
1933,2.064719240024715e-08
1934,9.585264137967897e-09
1935,1.795242710045386e-08
1936,1.2124714565686645e-09
1937,8.813782592653752e-09
1938,1.4261736125398272e-08
1939,9.176430282309411e-09
1940,3.0429394115571995e-08
1941,3.246652724442356e-08
1942,9.102635090130207e-09
1943,3.4838823381733164e-08
1944,2.2492303131116387e-08
1945,2.178504043826024e-08
1946,1.9489545088902105e-08
1947,1.3112957830685446e-08
1948,4.5661928682605435e-08
1949,7.853606653895895e-09
1950,1.3825969924496917e-08
1951,7.996051021308404e-08
1952,8.541291351971125e-08
1953,2.9089334052656568e-08
1954,2.0522326726890583e-08
1955,2.0648337706319353e-08
1956,3.488456634670456e-09
1957,2.650511388146981e-08
1958,2.5643954348897324e-08
1959,2.6352543258667538e-08
1960,1.3841666979264033e-08
1961,1.250668635321972e-08
1962,1.2049717501572133e-08
1963,7.759263453976928e-09
1964,1.3384730657151067e-08
1965,1.094408652591028e-08
1966,2.1602390987141007e-08
1967,1.4297973249810525e-08
1968,1.5270814168744096e-08
1969,3.451735774984144e-08
1970,1.1496812751810026e-08
1971,1.2332154186722732e-08
1972,2.2059631232806964e-08
1973,1.874489363729026e-08
1974,2.81278591529599e-08
1975,1.313640396460869e-08
1976,1.0284348261890841e-08
1977,9.402851386397515e-09
1978,6.534650376366358e-09
1979,9.363157360553487e-09
1980,1.5918422247018782e-08
1981,1.7711539124221076e-08
1982,1.179425412889401e-08
1983,1.0736036948344463e-08
1984,1.1598016769198694e-08
1985,5.414002135495366e-09
1986,4.795588426365072e-09
1987,6.110817019067127e-09
1988,1.3792073927376691e-08
1989,9.329807704183679e-09
1990,1.3621627159565719e-08
1991,1.3481369798284959e-08
1992,9.366904696328504e-09
1993,1.384801839865446e-08
1994,6.329911705904578e-09
1995,1.4640617385097698e-08
1996,1.1743803041142087e-08
1997,1.246672576282748e-08
1998,1.4304387452312994e-08
1999,1.6909744049442565e-08
2000,6.185244316725402e-09
2001,1.0076786849388952e-08
2002,1.445803121669087e-08
2003,2.333476845084448e-08
2004,1.101197835695622e-08
2005,1.261049931144953e-08
2006,1.4824403704594147e-08
2007,1.4380126422963713e-08
2008,1.617827133371108e-08
2009,1.1443662017995848e-08
2010,1.369900015646408e-08
2011,1.9884654700597082e-08
2012,1.3957435707201427e-08
2013,1.1156500223652444e-08
2014,1.1043770342666903e-08
2015,1.9284206786984726e-08
2016,1.636358604173438e-08
2017,1.8112402244696568e-08
2018,1.6263240809610835e-08
2019,1.4285530980373551e-08
