year,autres_ADJ arts_NOUN,autres_ADJ barres_NOUN
1800,1.1790616412099553e-06,1.5720821977538435e-08
1801,1.1715417755908675e-06,4.0480102825313224e-08
1802,1.4456447843258502e-06,3.3567602031325805e-08
1803,1.4510523511646056e-06,1.950339223455444e-09
1804,1.3644616831953726e-06,1.2359254952798437e-08
1805,1.3162523320175978e-06,4.5486043376286034e-08
1806,1.7952798190279395e-06,7.492339904047185e-08
1807,1.3579975757238572e-06,1.4234775136401367e-08
1808,1.1806245985290786e-06,1.3596443970698147e-08
1809,1.267316122266493e-06,0.0
1810,1.0951793143476607e-06,2.3401267590372754e-09
1811,9.426608720275453e-07,2.757784400841956e-08
1812,7.92160854246049e-07,1.4936365744233626e-07
1813,1.167551123559818e-06,6.901780125190271e-08
1814,7.111490525346653e-07,5.349351184236184e-08
1815,9.440282324746363e-07,0.0
1816,1.0823209795063349e-06,5.5622493277951435e-08
1817,9.528065119113194e-07,3.89218364205135e-08
1818,8.011031029653282e-07,2.98029441125891e-08
1819,8.932956419016591e-07,1.2421260464634543e-08
1820,8.199738203984452e-07,1.542642635854463e-08
1821,9.338829189964315e-07,1.1833785507064931e-08
1822,1.0155949468071412e-06,2.4061478143266868e-08
1823,1.038670390585139e-06,4.348382276475604e-08
1824,9.33059276064796e-07,1.9368560089105813e-08
1825,8.048175166308624e-07,4.3146670236637874e-08
1826,1.1785083608994995e-06,6.870227764466108e-08
1827,9.106665839198058e-07,2.8573547083965423e-08
1828,5.723515812405822e-07,3.944089499441361e-08
1829,1.018493314575153e-06,1.1145129263923081e-08
1830,7.211853401134505e-07,4.279102583382155e-08
1831,5.690790239043508e-07,2.8064171431196883e-08
1832,1.500473564064464e-06,2.976593194148336e-08
1833,8.490799814353522e-07,2.0850531967653296e-08
1834,7.822337124707701e-07,5.2273371409228275e-08
1835,7.169807147988649e-07,2.117664621437143e-08
1836,7.701979796159719e-07,2.2178475944656384e-08
1837,7.938953672237403e-07,1.1132625488130543e-08
1838,6.419468800977768e-07,1.3886756633496589e-08
1839,6.711815903059914e-07,2.4470162784950844e-08
1840,8.974891443358501e-07,1.0828470564661075e-08
1841,7.268061033016693e-07,1.4767261191650505e-08
1842,7.151010565920046e-07,3.7566284305512454e-08
1843,8.777669622261897e-07,3.36693943836508e-08
1844,5.889226031285943e-07,2.6893950177964143e-08
1845,7.88486195280047e-07,2.7901139176833567e-08
1846,8.172883865231739e-07,2.985795788390533e-08
1847,5.921759553828565e-07,2.534815024546333e-08
1848,7.055659239085799e-07,3.781254065415851e-08
1849,4.172948635527973e-07,2.011059585527164e-08
1850,6.476702196778206e-07,3.6660580349234806e-08
1851,6.255955879996833e-07,3.611685883697646e-08
1852,1.0254109383822652e-06,1.8229528109259263e-08
1853,5.219468448558473e-07,1.851298847554972e-08
1854,5.813948740218677e-07,2.1302223984775992e-08
1855,7.997554156702336e-07,3.502578493908004e-08
1856,6.849421083643392e-07,2.329735160344626e-08
1857,6.716956666430463e-07,3.270611159678083e-08
