year,quels_PRON ont_VERB,quels_DET bonds_NOUN
1800,5.973912564627426e-07,6.288328968651058e-09
1801,8.000773732419475e-07,2.3811825844433088e-09
1802,5.102275508761522e-07,0.0
1803,4.5637936807452206e-07,1.950339223455444e-09
1804,5.413353534322596e-07,0.0
1805,4.0368863096773566e-07,0.0
1806,6.426122070024576e-07,2.881669125542885e-09
1807,5.01064093327841e-07,0.0
1808,4.940041264944739e-07,0.0
1809,4.7439640837865227e-07,2.259030518203531e-09
1810,6.996979351470145e-07,0.0
1811,4.613021360455605e-07,0.0
1812,5.147711874542438e-07,0.0
1813,4.6011867027573317e-07,0.0
1814,6.38775475181319e-07,0.0
1815,4.693168875746778e-07,0.0
1816,5.029200593753558e-07,0.0
1817,4.7017577031738256e-07,4.670620223912181e-09
1818,5.722165212773689e-07,0.0
1819,5.154822915187651e-07,0.0
1820,5.363649577816432e-07,0.0
1821,6.429690273535016e-07,0.0
1822,5.734652290811937e-07,0.0
1823,6.937646332971781e-07,2.9648061783404955e-09
1824,5.498986723750932e-07,1.6842225392110777e-09
1825,5.071935262890293e-07,1.7610886082763955e-09
1826,5.205518789352936e-07,0.0
1827,6.45209127014823e-07,0.0
1828,5.118144059679253e-07,7.3378408349533686e-09
1829,6.146967166387185e-07,1.714635211591542e-09
1830,6.710885571692415e-07,1.0436835840010872e-09
1831,5.753154965759677e-07,1.5591206103948707e-09
1832,5.006088770187489e-07,1.6235963684607668e-08
1833,4.587117032883725e-07,5.791814250422078e-09
1834,5.992768663531933e-07,3.733812370398937e-09
1835,6.753837240580651e-07,3.025235173481633e-09
1836,5.746241313886458e-07,0.0
1837,6.679575363932599e-07,1.1828414581138702e-08
1838,5.863998566724149e-07,2.5248647617104325e-09
1839,6.348259660171607e-07,6.9914751765765e-10
1840,6.427015932786162e-07,5.095750932326837e-09
1841,6.29213772640469e-07,3.852329122366882e-09
1842,5.661775688281523e-07,1.341653010911159e-09
1843,7.448614951499621e-07,0.0
1844,5.274507515196092e-07,5.488561272137815e-10
1845,7.070148839716239e-07,1.674068439427856e-09
1846,6.949293265279266e-07,2.3418005312692003e-09
1847,7.199953699910111e-07,0.0
1848,7.771684238377929e-07,1.6090443422100975e-09
1849,9.158700464695357e-07,2.513824481908955e-09
1850,7.05376706378047e-07,1.3577992064028876e-09
1851,6.642922016908415e-07,1.2898877521649865e-09
1852,6.158975978109993e-07,5.208436348880241e-09
1853,5.965959957165978e-07,7.166318205520383e-09
1854,5.964622857845825e-07,7.273930457962763e-09
1855,7.594227042773127e-07,7.960405667972736e-09
1856,7.046154451018083e-07,8.28350277259915e-09
1857,6.921980002516648e-07,8.298565612463449e-09
1858,6.278586255348273e-07,9.787352261980686e-09
1859,6.528166238695121e-07,1.2221216039165483e-08
1860,6.078500405237719e-07,4.577183909670879e-10
1861,5.876090938272682e-07,9.431927239234028e-09
1862,6.749871488409553e-07,6.325180823552046e-09
1863,5.943598750945966e-07,2.4973103585068657e-09
1864,6.376988039846765e-07,1.342523781033833e-08
1865,5.784711518685981e-07,2.8241067262513297e-09
1866,6.544249373519051e-07,2.4328064562872953e-09
1867,8.497273142893391e-07,1.94112459439566e-09
1868,7.992715893578861e-07,1.2843672791973404e-08
1869,6.109282537636318e-07,6.348574999037737e-09
1870,6.920997179804544e-07,5.734048791339319e-10
1871,5.491148442615668e-07,2.7615060016472626e-08
1872,6.289233027700902e-07,7.256807155187062e-09
1873,7.033555249336132e-07,1.1972008939764578e-09
1874,5.257656141566258e-07,5.974609251779839e-09
