year,tes_DET oies_NOUN,tes_DET bois_NOUN
1800,0.0,4.4018304556914245e-08
1801,0.0,1.0715321963061797e-07
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,0.0,3.1205427575287104e-08
1804,0.0,7.662737999680758e-08
1805,0.0,2.55858996212055e-08
1806,0.0,7.204172902675055e-08
1807,0.0,7.402083435081863e-08
1808,0.0,6.798222074166915e-08
1809,0.0,3.6144488291256494e-08
1810,0.0,7.254392642153107e-08
1811,0.0,7.771937671208207e-08
1812,0.0,4.267533215696062e-08
1813,0.0,2.300593315851529e-08
1814,0.0,4.72001566720337e-08
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-08
1817,0.0,2.6466848268569265e-08
1818,0.0,2.861082504246326e-08
1819,0.0,3.5193570058211776e-08
1820,0.0,5.102586975169743e-08
1821,8.875339574387908e-09,3.8459806006585495e-08
1822,1.0025615893027862e-09,6.115625694746996e-08
1823,0.0,2.9648060007048116e-08
1824,0.0,9.010590673597108e-08
1825,0.0,5.371320299651927e-08
1826,0.0,5.813269510213104e-08
1827,0.0,4.977327350275118e-08
1828,9.172301140836225e-09,4.586150714747106e-08
1829,0.0,6.772808947008713e-08
1830,0.0,5.5315228397745386e-08
1831,0.0,5.456922025359745e-08
1832,0.0,6.223786208625626e-08
1833,0.0,5.560141769223037e-08
1834,9.334530925997342e-10,4.0138483647922385e-08
1835,7.563087933704082e-10,4.386591001548368e-08
1836,3.36037508930076e-09,4.435695205584622e-08
1837,0.0,5.1488392993626064e-08
1838,0.0,3.976661888671629e-08
1839,2.7965900706306e-09,5.523265234064212e-08
1840,0.0,5.159447979963261e-08
1841,0.0,5.200644181968528e-08
1842,0.0,4.561620325915783e-08
1843,0.0,2.6581099155098542e-08
1844,1.097712254427563e-09,5.98253163675011e-08
1845,5.580227946389016e-10,1.0602432709561072e-08
1846,5.854501328173001e-10,2.1076204559378198e-08
1847,5.3932236454556914e-09,2.9662729161827883e-08
1848,1.6090443422100975e-09,3.781254370727183e-08
1849,0.0,2.9327952510982414e-08
1850,6.788996032014438e-10,4.412847509627227e-08
