year,trois_DET os_NOUN,trois_DET bosses_NOUN
1800,1.1004575384276905e-07,1.5720821977538435e-08
1801,6.667310969987739e-08,1.1905912700171939e-08
1802,6.937304419807333e-08,1.5664880947952042e-08
1803,1.5212645632090016e-07,3.90067853572873e-08
1804,1.829169640199524e-07,5.9324420931261557e-08
1805,3.9800288575975173e-07,3.1271653710973624e-08
1806,5.76333825108577e-09,0.0
1807,8.825561081948763e-08,0.0
1808,6.571614763473121e-08,2.4926814390369145e-08
1809,6.325285539787728e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,2.2563691359778204e-08,4.262030373070047e-08
1812,1.6803411284627146e-07,5.3344164641089264e-09
1813,1.7254450312975678e-08,0.0
1814,3.776012391654149e-08,1.2586708564299443e-08
1815,6.74305908887618e-08,5.394447111228828e-09
1816,8.1116134253989e-08,9.270415546325239e-09
1817,1.0431051578052575e-07,3.269434145636296e-08
1818,1.0729059818359588e-07,3.457141506402195e-08
1819,9.937007838800582e-08,7.24573512300708e-09
1820,8.42520151422832e-08,7.119888678630559e-09
1821,2.6626018723163725e-08,1.97229765852569e-09
1822,9.42407893944619e-08,2.0051231786055723e-08
1823,6.621399961659336e-08,7.906149512848515e-09
1824,1.1621135520556436e-07,0.0
1825,1.4264818393172618e-07,1.2327619813845558e-08
1826,3.611273668990833e-08,2.201995996653494e-08
1827,7.742509333663605e-08,1.8434546111834038e-09
1828,1.5134297370877903e-07,1.8344602503717056e-09
1829,1.1659519572049248e-07,5.143905745796928e-09
1830,3.965997530386289e-08,2.2961038625979313e-08
1831,1.2784789227282545e-07,1.5591206103948707e-09
1832,2.7059938512152826e-08,6.764984572527055e-09
1833,8.571884890784531e-08,4.6334514003376626e-09
1834,8.774459114846422e-08,9.334531370086552e-09
1835,2.1479169731719594e-07,8.31939672707449e-09
1836,1.3575915458474697e-07,6.048674894287842e-09
1837,1.5655253982060913e-07,7.653680356156656e-09
1838,7.953323777343257e-08,1.2624323808552163e-09
1839,8.809258578157397e-08,6.9914751765765e-10
