year,les_DET os_NOUN,les_DET bosses_NOUN
1800,1.667979279318388e-05,2.2952400868803124e-07
1801,1.893040234790533e-05,1.3334622828153897e-07
1802,1.0725967968028272e-05,7.384872446891677e-08
1803,1.859648477875453e-05,1.677291692203653e-07
1804,1.4984360518610629e-05,2.051636229793985e-07
1805,1.9812013988484978e-05,2.2458734227903676e-07
1806,1.2543905313577852e-05,1.8442683025199358e-07
1807,1.156717871708679e-05,6.26330107778017e-08
1808,8.302895253109455e-06,1.269001419501592e-07
1809,9.908107585943071e-06,4.969867051229926e-08
1810,8.581245197092358e-06,1.4976811746336693e-07
1811,6.490821704119298e-06,1.2535383930867283e-07
1812,2.3812835706849e-05,2.613864067413374e-07
1813,1.308462424276513e-05,1.0640243863768717e-07
1814,1.2640201816793706e-05,5.034683425719777e-08
1815,1.5077479588399001e-05,2.076862184452466e-07
1816,1.4160559885567636e-05,1.9931392891692212e-07
1817,1.1114519338661921e-05,1.4790297275801834e-07
1818,1.554521509206097e-05,1.9431518416546112e-07
1819,1.2232870517436822e-05,1.1903707231031291e-07
1820,1.236843309015967e-05,1.2103811020125477e-07
1821,1.2323901728450437e-05,1.4101928735854585e-07
1822,1.2257318303454667e-05,1.1729970594842598e-07
1823,1.1296899742774258e-05,2.282900641858987e-07
1824,9.911649954119639e-06,1.2884302069693376e-07
1825,1.3412451153271832e-05,2.271804382392162e-07
1826,9.249264451227646e-06,1.2243098579389766e-07
1827,1.06892715621143e-05,1.235114561737305e-07
1828,1.4118922877059958e-05,2.2380414543832217e-07
1829,1.4348067793434893e-05,1.4831593891928563e-07
1830,1.1415810718062858e-05,1.3672255527730215e-07
1831,1.1029219308511529e-05,3.19619737787491e-07
1832,1.1430118206590123e-05,3.1930728106033257e-07
1833,1.4739009316144802e-05,2.0503022035711638e-07
1834,1.5920976238703588e-05,1.9042442556127526e-07
1835,1.565861737162777e-05,3.0554875252164493e-07
1836,1.2964327197551029e-05,1.8683685565346053e-07
1837,1.67441642133781e-05,2.518756535563327e-07
1838,1.0591176760499366e-05,2.0640769293756023e-07
1839,1.3550178323384898e-05,1.6849455519718504e-07
1840,1.076986984571704e-05,2.6688995191648246e-07
1841,1.362183581932186e-05,2.6003221620385375e-07
1842,9.05682856000567e-06,1.2544455518792574e-07
1843,1.188293333598267e-05,2.2505330671274137e-07
1844,1.0008940421357693e-05,2.689394991706173e-07
1845,1.1971820640610531e-05,1.6015253817558417e-07
1846,1.0147607326871366e-05,2.6286711474199365e-07
1847,8.046689742968738e-06,1.251227912391073e-07
1848,9.009843893181824e-06,1.1021953610912405e-07
1849,1.0076246894641372e-05,1.4999152142536332e-07
1850,9.526998383080354e-06,1.5207350667623132e-07
1851,1.013335827337869e-05,1.0964045582539939e-07
1852,9.418805973382405e-06,1.6276364256384568e-07
1853,1.1829800200757745e-05,1.5347865511827763e-07
1854,8.995254233923333e-06,9.715892601569465e-08
1855,1.2393290035106475e-05,1.358575900667347e-07
1856,7.70987008991142e-06,1.1286272538768571e-07
1857,7.728405080342782e-06,1.7573432331552397e-07
1858,6.934828434168594e-06,1.2527810777651638e-07
1859,7.423879708312597e-06,1.4767302758400547e-07
1860,9.005151810015377e-06,1.4967391237519223e-07
1861,8.74056740940432e-06,1.4760966016158505e-07
1862,7.886144999247335e-06,2.0330938002577348e-07
1863,7.80459441784842e-06,2.607192124415292e-07
1864,9.613429824639752e-06,1.869943857535361e-07
1865,9.849542152551294e-06,1.9862883027244038e-07
1866,9.040795418968628e-06,2.0192294114540488e-07
1867,1.282889195408643e-05,2.1837652042222544e-07
1868,1.1254021387685498e-05,2.726810396369572e-07
1869,1.0368199582444504e-05,2.353856181080971e-07
1870,1.0650996046024375e-05,2.6720666745916333e-07
1871,1.2050788086526154e-05,1.858706075719141e-07
1872,9.881957339530345e-06,3.066000907603339e-07
1873,1.071913800387847e-05,2.6996880109209087e-07
1874,1.1253175898673362e-05,3.5070954895743967e-07
1875,8.592589665568084e-06,3.1582829862486506e-07
1876,9.08534673271788e-06,3.597378759323533e-07
1877,8.44907719965704e-06,2.62854678467761e-07
1878,8.922753295337316e-06,2.6028472754902054e-07
1879,9.344212799078377e-06,4.233762456173906e-07
1880,6.557755398262088e-06,2.4516172025812466e-07
1881,7.1391503979612025e-06,3.060930964249309e-07
1882,8.82637158383659e-06,2.8950925390347493e-07
1883,7.447972677709913e-06,2.5024582078758684e-07
1884,7.5992132906321785e-06,2.964161902596629e-07
1885,9.116062869907182e-06,3.126133308883894e-07
1886,6.9561885993607575e-06,1.8779579580296968e-07
1887,6.077123259728978e-06,3.1795862831529575e-07
1888,6.653206810369738e-06,2.168490240705978e-07
1889,7.05830325387069e-06,2.073760210219433e-07
1890,6.258128053104883e-06,2.628309054841793e-07
1891,6.324500930077193e-06,2.9130184042713836e-07
1892,5.784583265722176e-06,2.156368346106774e-07
1893,7.250919736634387e-06,2.29708936316797e-07
1894,5.472887096402701e-06,2.2622526607563032e-07
1895,5.4859669376128295e-06,2.2148501233054674e-07
1896,5.953050845164398e-06,2.653662996010553e-07
1897,6.815506708335306e-06,2.8492629322585117e-07
1898,5.2803766834585986e-06,3.247895623559316e-07
1899,5.420896002306108e-06,3.134136932203546e-07
1900,5.304737271671911e-06,3.0315749377507473e-07
1901,5.129903343004116e-06,2.4087464467470454e-07
1902,4.6078101263447024e-06,3.9625990844172065e-07
1903,5.223633024797891e-06,3.121327365462889e-07
1904,4.973678130681947e-06,2.8861737710883517e-07
1905,4.980132416676497e-06,2.6216656801025806e-07
1906,5.1025168090745865e-06,3.3179990666099e-07
1907,4.061817719502869e-06,2.8954208985965124e-07
1908,4.6628729819531145e-06,3.2464280463884165e-07
1909,4.745148316942505e-06,2.447937696992142e-07
1910,4.295628343697899e-06,2.474341727065621e-07
1911,4.514869374361297e-06,2.7506334010496403e-07
1912,4.177955901241148e-06,1.6670147995334617e-07
1913,4.114589671644353e-06,2.0999838712398855e-07
1914,4.415832592030711e-06,2.4644016660690937e-07
1915,5.251863797184342e-06,2.56820616217901e-07
1916,3.853303041978506e-06,2.461191535019225e-07
1917,4.136535238785655e-06,2.0945870149446932e-07
1918,4.121311775406866e-06,1.7574156174759992e-07
1919,3.28443954344948e-06,1.685036288279207e-07
1920,3.909543295321782e-06,2.5291254246440076e-07
1921,4.707219602551049e-06,2.1279420536757243e-07
1922,3.879318484223404e-06,1.4829649863656869e-07
1923,3.8949913800934155e-06,1.4225370303933005e-07
1924,3.7630652229836414e-06,2.2818175349215153e-07
1925,4.046229634013798e-06,1.6937194313726422e-07
1926,4.195406489770903e-06,1.8948435887011783e-07
1927,4.337048295610657e-06,2.0403081579800642e-07
1928,3.737458172281549e-06,2.1595218191450272e-07
1929,3.671877863098416e-06,1.882728717372828e-07
1930,3.2046494595761033e-06,1.8381305988413033e-07
1931,3.9337075463663496e-06,1.8020463432577571e-07
1932,3.378825169875199e-06,1.7754448944362622e-07
1933,3.3253450055781286e-06,1.8353059427766993e-07
1934,3.752631016595842e-06,2.1207397615796708e-07
1935,3.6371616545238794e-06,1.7354012626924487e-07
1936,3.363395762789878e-06,1.84295661398437e-07
1937,3.4310797047965025e-06,1.6998009844115813e-07
