year,des_DET heures_NOUN
1800,2.3549791023924627e-06
1801,2.2525988185861934e-06
1802,2.4728134633278387e-06
1803,2.6310076215452227e-06
1804,2.6597115940774074e-06
1805,2.623976036453257e-06
1806,1.982588401006069e-06
1807,2.4284527051499083e-06
1808,1.8219235426997216e-06
1809,2.32228342866847e-06
1810,2.5086159176623823e-06
1811,1.9881119452946905e-06
1812,1.9950717073946578e-06
1813,2.1136700425472554e-06
1814,2.0799535551674353e-06
1815,1.8071397676067136e-06
1816,2.3894497065413134e-06
1817,2.397584971447486e-06
1818,2.3437034504247833e-06
1819,2.0774556901415053e-06
1820,2.045781245740841e-06
1821,1.944685505073096e-06
1822,1.9429644169122184e-06
1823,2.2848772847083865e-06
1824,1.8913819666011022e-06
1825,2.2718042700375918e-06
1826,2.128009109370055e-06
1827,1.8849323497605042e-06
1828,2.1664974845236884e-06
1829,2.183587898052508e-06
1830,2.654087417397477e-06
1831,2.6084088347033685e-06
1832,3.0442431562249794e-06
1833,2.8623144956441138e-06
1834,2.7200823495832083e-06
1835,2.9957392371215974e-06
1836,2.4927262263219063e-06
1837,2.7539332023707175e-06
1838,2.414401979677905e-06
1839,2.7050017266105897e-06
1840,2.5784500454761883e-06
1841,2.5258439055875215e-06
1842,2.699405934336596e-06
1843,2.875484394593286e-06
1844,2.625727660188204e-06
1845,2.6595366673376475e-06
1846,2.6064239122547406e-06
1847,2.4382764065578044e-06
1848,2.588952249027443e-06
1849,3.0442415095421893e-06
1850,2.5214331245138055e-06
1851,2.484968650406927e-06
1852,2.832738427827053e-06
1853,3.0474769117105893e-06
1854,2.976076665106575e-06
1855,3.109334354434168e-06
1856,2.9442674023272275e-06
1857,3.2130092968429835e-06
1858,3.044355846526514e-06
1859,3.415320758648477e-06
1860,3.455773875060686e-06
1861,3.1691275950151976e-06
1862,2.979160109717327e-06
1863,3.0921697469210585e-06
1864,3.0556801693393254e-06
1865,3.1088706595738813e-06
1866,3.1047475790302315e-06
1867,2.914598486114528e-06
1868,3.055312191690973e-06
1869,3.3876972995727783e-06
1870,3.2770088651545848e-06
1871,3.3350496453365963e-06
1872,3.233512231304303e-06
1873,3.1689908084331364e-06
1874,3.3230775962067582e-06
1875,3.2189312584307572e-06
1876,2.9486413737345174e-06
1877,3.1777585363101934e-06
1878,2.9821019609244104e-06
1879,3.0345019546018648e-06
1880,2.9515674633273647e-06
1881,3.4625471769800242e-06
1882,3.6564686780593547e-06
1883,3.285424282850613e-06
1884,3.7378807924426383e-06
1885,3.435523783679173e-06
1886,3.5332713714808506e-06
1887,3.699941471424495e-06
1888,3.6521939819067484e-06
1889,3.5065970003245184e-06
1890,3.7799147882822126e-06
1891,3.425505781251559e-06
1892,3.7786592699262656e-06
1893,4.073176580021709e-06
1894,3.7456349843978387e-06
1895,4.044509104517147e-06
1896,4.268269385931944e-06
1897,4.092683738576852e-06
1898,4.201328568598228e-06
1899,4.42593216476439e-06
1900,4.090030834902336e-06
1901,4.435782168243918e-06
1902,4.214496627241715e-06
1903,4.368777979379956e-06
1904,4.37924476415219e-06
1905,4.335553477119447e-06
1906,4.750140192300023e-06
1907,4.5154166521399475e-06
1908,4.506199438480962e-06
1909,4.822162161133292e-06
1910,5.071064457240482e-06
1911,4.7670551452938525e-06
1912,4.8744554632662584e-06
1913,5.0659459560620235e-06
1914,4.794868349478065e-06
1915,5.749011760869394e-06
1916,6.325481916036324e-06
1917,6.6675859429210504e-06
1918,6.55068026844674e-06
1919,6.531126732767234e-06
1920,5.645855850389125e-06
1921,5.474338976796389e-06
1922,5.71642426194785e-06
1923,5.690148363157732e-06
1924,5.695519533333027e-06
1925,5.689357326588151e-06
1926,5.4203669392904885e-06
1927,6.861232847654719e-06
1928,5.83185140001774e-06
1929,5.362991522872562e-06
1930,4.933542548712921e-06
1931,4.688742041736305e-06
1932,4.71150480052529e-06
1933,5.14573912013816e-06
1934,4.888484532727944e-06
1935,5.1643147997992855e-06
1936,5.006294795606436e-06
1937,6.11802430228181e-06
1938,5.716362942109754e-06
1939,5.599151677415648e-06
1940,4.531443998700979e-06
1941,5.7141090721302135e-06
1942,5.670941959579068e-06
1943,6.558408493617662e-06
1944,6.43922496834648e-06
1945,7.404735441696175e-06
1946,6.555447928491276e-06
1947,6.290643685957775e-06
1948,5.540313846807976e-06
1949,5.039070581247529e-06
1950,5.537832883817373e-06
1951,5.388272445117082e-06
1952,5.220732273159001e-06
1953,5.284562291762995e-06
1954,5.487278823324004e-06
1955,5.0503956856573495e-06
1956,5.512633585169624e-06
1957,4.9485046051955806e-06
1958,5.075848697799756e-06
1959,4.988381185455637e-06
1960,5.442543432820912e-06
1961,5.399414371609623e-06
1962,5.385589581408112e-06
1963,5.284705430597114e-06
1964,4.959651061398063e-06
1965,4.688993893608995e-06
1966,5.513594825146129e-06
1967,5.266091338995693e-06
1968,5.445392559977336e-06
1969,4.899194170349119e-06
1970,4.508130274416544e-06
1971,4.9477628039085175e-06
1972,4.5335107436983435e-06
1973,4.469554127695119e-06
1974,4.519021651105959e-06
1975,4.238489438534998e-06
1976,4.464550016791691e-06
1977,4.215415792430122e-06
1978,4.656235709887824e-06
1979,4.315830278045496e-06
1980,4.8915038135532996e-06
1981,4.873836132901488e-06
1982,4.63514189164016e-06
1983,5.007414252133913e-06
1984,5.09964811357122e-06
1985,5.179395248688934e-06
1986,5.080925717493301e-06
1987,4.900264215734751e-06
1988,5.262575637487998e-06
1989,5.320185540114153e-06
1990,5.2868259423632935e-06
1991,5.071339884921144e-06
1992,5.447130593694283e-06
1993,5.40737430299032e-06
1994,5.563464949176478e-06
1995,5.097645985330246e-06
1996,5.158198472798858e-06
1997,5.272465802619308e-06
1998,5.531029728444992e-06
1999,5.296406030197431e-06
2000,5.560092816381257e-06
2001,5.1190076977292165e-06
2002,5.749038820113128e-06
2003,6.153295146305027e-06
2004,5.981266248511474e-06
2005,5.882797697864817e-06
2006,6.603860022380559e-06
2007,7.389787150202665e-06
2008,8.06103648542944e-06
2009,8.882666094223168e-06
2010,1.1456615455429642e-05
2011,1.2645110377462743e-05
2012,1.4487478403601983e-05
2013,1.4833403257696887e-05
2014,1.6890472469555107e-05
2015,1.5244275668457874e-05
2016,1.5063820901772829e-05
2017,1.5955014126767253e-05
2018,1.7644840477615276e-05
2019,1.6865345208394444e-05
