year,aurez_VERB eu_VERB,aurez_VERB bu_VERB
1800,1.4148740490327327e-07,6.288328968651058e-09
1801,2.524053570596152e-07,1.6668277424969347e-08
1802,6.937304419807333e-08,1.5664880947952042e-08
1803,9.361627917314763e-08,1.950339223455444e-09
1804,1.0134588990240445e-07,0.0
1805,2.388017321663938e-07,2.842877711017877e-09
1806,2.564685530614952e-07,5.76333825108577e-09
1807,1.0249038240317532e-07,2.8469551160981155e-09
1808,9.064295625194063e-08,6.798221985349073e-09
1809,9.93973401364201e-08,0.0
1810,1.3338723192646285e-07,1.1700633351097167e-08
1811,6.016983888912364e-08,0.0
1812,1.893717893608482e-07,2.6672082320544632e-09
1813,5.463909147351842e-08,5.751483289628823e-09
1814,1.5733385794192145e-07,2.2026739543434815e-08
1815,1.0788894400093341e-07,0.0
1816,8.57513455798653e-08,1.3905623319487859e-08
1817,1.3856173097792635e-07,1.0898113522728181e-08
1818,1.5259107044585107e-07,3.5763532135746345e-09
1819,1.604412744882211e-07,0.0
1820,1.9105034709809843e-07,1.1866481131050932e-09
1821,1.4299158124231326e-07,1.4792232327920374e-08
1822,2.0151487944986002e-07,2.0051231786055723e-09
1823,1.363810753218786e-07,6.917880934764753e-09
1824,7.494790565942822e-08,5.894778887238772e-09
1825,7.57268097117958e-08,1.4088708866211164e-08
1826,7.48678701256722e-08,9.688783109140786e-09
1827,1.1429418833586169e-07,9.217273055917019e-10
1828,1.1098484264948638e-07,8.255071293206129e-09
1829,1.0202079181453882e-07,1.5431716349212365e-08
1830,8.34946831673733e-08,2.0873671680021744e-09
1831,1.153749238369528e-07,4.677361609140007e-09
1832,9.335678896604804e-08,1.6235963684607668e-08
1833,4.749287541017111e-08,3.4750886612755494e-09
1834,5.787409307345115e-08,3.733812370398937e-09
1835,7.260564416355919e-08,6.050470346963266e-09
1836,1.1895727425326186e-07,1.008112526790228e-08
1837,1.4124518088465265e-07,9.74104708006962e-09
1838,9.405120948713375e-08,8.2058102535143e-09
1839,1.7408773089755414e-07,9.788065469251706e-09
1840,1.0892167523479657e-07,3.821813088222825e-09
1841,5.521671653241356e-08,8.346713542550788e-09
1842,8.519496930148307e-08,6.708265054555795e-09
1843,1.0396163219184018e-07,2.953455480181333e-09
1844,8.562155784375136e-08,6.037417232818143e-09
1845,9.374782905524626e-08,7.812318791877715e-09
1846,1.0186832355429942e-07,1.0538101946622191e-08
1847,1.1595430748911895e-07,2.1572894581822766e-09
1848,1.0861049304367043e-07,6.43617736884039e-09
1849,8.882179969305071e-08,4.1897072478036534e-09
1850,1.0726613908218496e-07,1.2220192857625989e-08
1851,9.803147094089582e-08,1.9348316726564008e-08
1852,8.203286938623933e-08,1.0416872697760482e-08
1853,8.659301187208257e-08,7.166318205520383e-09
1854,9.248282850649048e-08,7.79349651480743e-09
1855,1.2365163115646283e-07,1.0613874223963649e-08
1856,8.490590630572115e-08,3.6240324075009767e-09
1857,6.345961622855611e-08,8.298565390418844e-09
1858,1.3604419280000002e-07,8.31924928945682e-09
1859,9.726051075631403e-08,7.129042689513199e-09
1860,1.3456920555654506e-07,7.781213007262977e-09
1861,1.4760966848825774e-07,1.1789909493131745e-08
1862,1.5451513490916113e-07,2.710791813242963e-09
1863,1.2536497706605587e-07,3.496234635136375e-09
1864,1.0356612278883404e-07,8.151037178549814e-09
1865,1.162590521630591e-07,1.0825742080555756e-08
1866,9.293320601955202e-08,5.838735717134114e-09
1867,9.365925990323376e-08,1.455843445796745e-09
1868,1.0818324369665788e-07,5.433861360870651e-09
1869,1.0548401263577034e-07,3.4184632902167778e-09
1870,9.919904186972417e-08,1.1468097582678638e-09
1871,8.284518315804235e-08,3.18635318130589e-09
1872,9.191955996357137e-08,1.2094678591978436e-09
1873,1.472557045190115e-07,6.584604861359367e-09
1874,7.946230340394322e-08,8.364453130127458e-09
1875,1.3788880437459738e-07,7.437985338754061e-09
1876,1.3422152278508293e-07,4.232210137899983e-09
1877,1.1874846705950404e-07,1.2369631985365004e-09
1878,6.34104324603868e-08,6.039088673581716e-10
1879,1.3807074594751612e-07,2.443730107160036e-09
1880,1.01401973040538e-07,3.2089231272180996e-09
1881,8.506459181489845e-08,2.7890030285249168e-09
1882,9.051323957010027e-08,9.983077475794744e-09
1883,8.278333751832179e-08,3.159669414998234e-09
1884,7.988053596363898e-08,1.3203393933736152e-09
1885,6.767917426486747e-08,2.5782542767416317e-09
1886,7.873225627008651e-08,1.2906927748801422e-09
1887,7.377684596576728e-08,2.6115698492645834e-09
1888,7.481925479169149e-08,1.268122939990235e-09
1889,9.523007804546069e-08,1.2530273485467092e-09
1890,7.603088647556433e-08,1.3108772956016423e-09
1891,1.0644947678883909e-07,3.1871101313640793e-09
1892,9.528138633640992e-08,1.2537024751679837e-09
1893,8.683367269668452e-08,6.15841644346915e-09
1894,1.2035940244459198e-07,4.411077725308132e-09
1895,6.921406736637437e-08,6.018614495673091e-09
1896,9.49421661289307e-08,2.948514543632541e-09
1897,6.23458333848248e-08,5.826713556089658e-10
1898,7.355861697533328e-08,3.3950129374460403e-09
1899,9.286331703606265e-08,3.3165470370022376e-09
1900,6.644548022904928e-08,3.114631885736685e-09
1901,5.7005138387467014e-08,0.0
1902,6.236060556830125e-08,1.4730852093691738e-09
1903,5.994244389739833e-08,4.320176216765503e-09
1904,6.557042553367864e-08,1.6123875568041512e-09
1905,5.883265430384199e-08,3.096455536422127e-09
1906,6.481672443214848e-08,3.600929110447737e-09
1907,5.657127744029822e-08,5.142843373384665e-10
1908,7.072399910157401e-08,1.964555629285769e-09
1909,7.206288188399412e-08,0.0
1910,8.390316708073442e-08,0.0
1911,5.4267815130515373e-08,0.0
1912,6.824341625133457e-08,1.5628263128064646e-09
1913,4.2423916823963737e-08,1.060597942803554e-09
1914,6.227971738326232e-08,2.678697486047099e-09
1915,3.2986132936230206e-08,0.0
1916,7.1418504887788e-08,1.0987462051303964e-09
1917,4.605898240583883e-08,1.0966424435210342e-09
1918,6.891825421462272e-08,3.44591288836682e-09
1919,4.880159565345821e-08,2.762354567309444e-09
1920,6.512119199442168e-08,7.572231730534895e-10
1921,3.937828552125211e-08,4.543648568500203e-09
1922,4.795657915224183e-08,1.4755870969551665e-09
1923,5.944930947521243e-08,5.307974060286824e-09
1924,4.383152329978657e-08,3.867487219366694e-09
1925,6.378942885021388e-08,5.499089184013428e-09
1926,5.795991953050361e-08,5.57306911730393e-09
1927,7.358488574027433e-08,2.2298449753321847e-09
1928,6.055801549109674e-08,2.2852082448565625e-09
1929,9.580749349424877e-08,0.0
1930,3.676261073337628e-08,1.0503603542488804e-09
1931,5.816731984964463e-08,0.0
1932,6.13734059129456e-08,1.0959536611565568e-09
1933,7.570636739728798e-08,1.1470662197865522e-09
1934,4.553000465534751e-08,0.0
1935,6.223507398317452e-08,0.0
1936,4.243650053581405e-08,1.2124714565686645e-09
1937,5.288269733227935e-08,1.2591118148108649e-09
1938,4.537825049055755e-08,2.5930428915188486e-09
1939,5.8117393564316444e-08,0.0
1940,6.085878823114399e-08,0.0
1941,3.246652724442356e-08,2.9515025978810172e-09
1942,3.6410540360520827e-08,3.034211770724937e-09
1943,3.774205836748479e-08,5.806470415592457e-09
1944,3.855823393905666e-08,0.0
1945,3.485606470121638e-08,0.0
1946,4.037120149291695e-08,1.3921104269343232e-09
1947,6.198852986472048e-08,1.1920870957027319e-09
1948,5.870819563824625e-08,2.174377566888097e-09
1949,5.104844191805569e-08,1.9634016634739737e-09
1950,6.38121662177582e-08,2.1270722960764488e-09
1951,7.782823274737893e-08,0.0
1952,6.85412260281737e-08,2.1089607837865287e-09
1953,8.295847209183194e-08,0.0
1954,2.443134050622575e-08,2.9317608341017376e-09
1955,3.472674947602172e-08,3.754243138587299e-09
1956,4.883839466174322e-08,2.616342476002842e-09
1957,4.8592706747285774e-08,1.7670075402875796e-09
1958,6.4523497655955e-08,0.0
