year,vastes_ADJ bancs_NOUN
1800,6.288328968651058e-09
1801,3.333655484993869e-08
1802,5.370816325012129e-08
1803,3.1205427575287104e-08
1804,3.460591457837836e-08
1805,5.401467717547348e-08
1806,0.0
1807,5.97860605466849e-08
1808,2.7192887941396293e-08
1809,2.9367397402779716e-08
1810,7.488405628919281e-08
1811,3.5099073869560016e-08
1812,5.067695596494559e-08
1813,2.5881675469463516e-08
1814,9.440030979135372e-09
1815,2.4275012222574333e-08
1816,1.2515060632267705e-07
1817,1.556873407970727e-09
1818,2.026600220972341e-08
1819,4.140420006848444e-09
1820,2.254631326081835e-08
1821,4.141825016290568e-08
1822,0.0
1823,1.680056804787e-08
1824,2.2737005167527968e-08
1825,2.4655239627691117e-08
1826,1.0569580766173203e-08
1827,1.3825909306319772e-08
1828,4.3109814384934e-08
1829,1.7146351893870815e-08
1830,2.2961039292113128e-08
1831,1.2472964883158966e-08
1832,1.488296597074168e-08
1833,2.7800709290204395e-08
1834,1.3068342852307069e-08
1835,8.31939672707449e-09
1836,9.409050427677812e-09
1837,2.7135774516295896e-08
1838,1.5149188570262595e-08
1839,2.7266752411492234e-08
1840,1.8472096741106725e-08
1841,1.0914932957462042e-08
1842,2.884553929050071e-08
1843,2.3036953678001737e-08
1844,9.330554107123135e-09
1845,1.1160455670733427e-08
1846,1.8734404250153602e-08
1847,1.3483059113639229e-08
1848,2.574470947536156e-08
1849,8.379414939696517e-10
1850,4.752297222410107e-09
1851,2.1283147688677673e-08
1852,1.4974254725075298e-08
1853,1.1346670270029335e-08
1854,1.1430461910322265e-08
1855,1.1675261646360013e-08
1856,4.659470143053568e-09
1857,1.3180074809326925e-08
1858,9.787352261980686e-09
1859,1.3748867822016564e-08
1860,2.0597328287408345e-08
1861,1.131831339762357e-08
1862,1.3102160245637151e-08
1863,7.491931519609807e-09
1864,1.1507347075223606e-08
1865,5.177528628053096e-09
1866,1.1190909532388105e-08
1867,1.9896527092555516e-08
1868,3.7049055379156925e-08
1869,6.8369265804335555e-09
1870,2.0069171213776826e-08
1871,1.6993883633631413e-08
1872,2.4189358072135292e-08
1873,1.7359413462259e-08
1874,1.6728906260254917e-08
1875,2.2313955128083762e-08
1876,2.1161051577678336e-08
1877,1.1751150275074451e-08
1878,2.1740719446938783e-08
1879,1.8938909107646396e-08
1880,1.8611753915820373e-08
1881,1.324776466304911e-08
1882,1.8635077481121698e-08
1883,2.5909288936531993e-08
1884,2.6406787867472303e-08
1885,1.160214413431504e-08
1886,1.4842966855610484e-08
1887,2.6115698048556624e-08
1888,1.9021843655764314e-08
1889,5.6386229019267375e-09
1890,1.8352281472289178e-08
1891,3.1871101313640793e-09
1892,1.2537024751679837e-08
1893,1.539604177480669e-08
1894,8.822155450616265e-09
1895,2.5278181325916194e-08
1896,7.66613794667137e-09
1897,6.409385022720926e-09
1898,8.487532454637403e-09
1899,1.879376654301268e-08
1900,2.1283318218934255e-08
1901,1.4530721514915967e-08
1902,1.8659077838378835e-08
1903,1.3500550899436803e-08
1904,2.364835083312755e-08
1905,1.651442893546573e-08
1906,1.18316245689698e-08
1907,9.771402353919711e-09
1908,5.893666887857307e-09
1909,7.701377313651392e-09
1910,1.2291546447329438e-08
1911,1.8621308939259507e-08
1912,9.376957876838787e-09
1913,1.590896969716482e-09
1914,1.1384464038144415e-08
1915,4.712304768617059e-09
1916,5.493730803607377e-09
1917,1.0966424435210342e-09
1918,9.189101035644853e-09
1919,8.287063479883727e-09
1920,3.786115865267448e-09
1921,7.572747762196741e-09
1922,1.9182632371439468e-08
1923,1.0615948120573648e-08
1924,6.445812328337297e-09
1925,1.8696901804560184e-08
1926,1.2260752413340015e-08
1927,8.919379901328739e-09
1928,1.9424270192303084e-08
1929,5.570202965543558e-09
1930,1.3654684494213143e-08
1931,7.983749661377715e-09
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,2.875579241390369e-08
1935,5.98414207075848e-09
1936,6.0623572828433225e-09
1937,1.1332006444320086e-08
1938,5.186085783037697e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,0.0
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,2.3841741914054637e-09
1948,3.2615663503321457e-09
1949,9.817008317369869e-10
1950,7.444753258312176e-09
1951,1.3859822622919182e-08
1952,6.326882129314981e-09
1953,7.54167928107563e-09
1954,6.840775057526116e-09
1955,8.447047505910632e-09
1956,1.3081712602058815e-08
1957,2.6505113659425206e-09
1958,4.1361216673863055e-09
1959,1.7826719656000023e-08
1960,9.689166802218097e-09
1961,3.47407969059077e-09
1962,7.610347907416326e-09
1963,3.2330267352165265e-09
1964,4.258777774879263e-09
1965,8.20806533852192e-09
1966,2.769537488234164e-09
1967,8.874604162656397e-09
1968,2.245707841908029e-09
1969,4.541757636644661e-09
