year,quelques_DET arts_NOUN,quelques_DET barres_NOUN
1800,6.759953361523685e-07,4.4018303668735825e-08
1801,5.381472782950425e-07,2.3811825400343878e-08
1802,2.618272958443413e-07,6.713520406265161e-09
1803,2.632958018278231e-07,2.5354410126965377e-08
1804,3.4358727729610905e-07,0.0
1805,2.672305021711452e-07,2.842877711017877e-09
1806,1.671368083933089e-07,6.916005901302924e-08
1807,4.953701684407008e-07,2.8469551160981155e-09
1808,3.7616828940656433e-07,1.1330369531492579e-08
1809,4.992457434127573e-07,1.3554183553310395e-08
1810,2.3167255225331473e-07,2.3401267590372754e-09
1811,2.206227520673565e-07,2.0056614147279106e-08
1812,2.453831555726538e-07,2.9339290108509886e-08
1813,2.760711899085777e-07,9.777521370324394e-08
1814,3.8074792207964947e-07,3.1466772298927026e-08
1815,8.631115377966125e-08,0.0
1816,1.4832664874120383e-07,6.952811659743929e-09
1817,1.588010860587019e-07,4.0478710161551135e-08
1818,1.4186200480992284e-07,2.026600220972341e-08
1819,1.697572156178495e-07,1.0351049795076506e-08
1820,2.4326286052200885e-07,8.306536791735653e-09
1821,1.3313008950799343e-07,1.1833785507064931e-08
1822,1.373509377344817e-07,2.8071724500478012e-08
1823,1.7097048399250525e-07,1.8777104315859106e-08
1824,2.366332712000485e-07,1.8526447043143435e-08
1825,1.7258668361108676e-07,3.522177216552791e-09
1826,1.4885493593297383e-07,4.315912249808207e-08
1827,2.6822263876624675e-07,3.041700225026034e-08
1828,2.1371461400576663e-07,5.503380862137419e-09
1829,2.0318427251808657e-07,1.971830521085849e-08
1830,1.868193655329975e-07,5.322786345018926e-08
1831,1.34084368497156e-07,1.091384405071949e-08
1832,1.975375509832844e-07,1.352996914505411e-08
1833,1.2394482951094687e-07,2.20088942626262e-08
1834,2.0722659233030072e-07,1.213489042584115e-08
1835,2.01934447829899e-07,4.310960122211327e-08
1836,9.946710344266307e-08,1.68018754465038e-08
1837,1.2037151164712157e-07,1.2524203896191466e-08
1838,1.1740621319589195e-07,8.837027110075724e-09
1839,1.202533725930266e-07,3.216078425793967e-08
1840,1.1401742766592449e-07,3.821813088222825e-09
1841,9.951850543643559e-08,1.4767261635739715e-08
1842,7.110761002238064e-08,1.1404051036834062e-08
1843,1.0337094646928335e-07,1.6539351221922516e-08
1844,1.1855292081364155e-07,1.5367971784030487e-08
1845,6.752075681903946e-08,2.0088820607000457e-08
1846,1.0186832199998719e-07,1.2294452789163302e-08
1847,7.712309546548113e-08,2.534815024546333e-08
1848,5.068489528081699e-08,9.65426583121598e-09
1849,7.625267928190738e-08,1.8434713311421547e-08
1850,5.838536676350259e-08,3.4623879763273635e-08
1851,4.708090317606661e-08,9.674158585326609e-09
1852,1.0156450658271865e-07,1.8229528109259263e-08
1853,7.285756886687977e-08,3.1054045557254994e-08
1854,4.676098053213451e-08,2.9095721221228388e-08
1855,3.980202833986368e-08,4.2455496895854594e-09
1856,7.299837062602066e-08,1.8120162870172152e-08
1857,2.782460128969433e-08,1.4644527479568126e-08
1858,3.474509924217273e-08,7.829881631948865e-09
1859,5.652312506931878e-08,1.476730293603623e-08
1860,3.478659782452098e-08,2.0597328287408345e-08
1861,2.923897596263103e-08,8.488735048217677e-09
1862,3.3884898442693157e-08,6.325180823552046e-09
1863,2.1476870060155306e-08,1.498386242859695e-08
1864,5.8495679411407764e-08,6.712618905169165e-09
1865,3.43599646512871e-08,1.7886009118228685e-08
1866,2.6274309505858184e-08,3.8924903300596725e-09
1867,3.34843974769683e-08,1.6984840200962026e-08
1868,1.9265508632848594e-08,7.903798504571569e-09
1869,3.125452263663675e-08,1.6115612955225345e-08
1870,3.325748254567884e-08,1.0894692703544706e-08
1871,3.080141297573391e-08,0.0
1872,2.1770421909650395e-08,8.4662747923403e-09
1873,4.3099231017418305e-08,9.577607151811662e-09
1874,4.480956716790274e-08,7.766991494406739e-09
1875,3.089624556196213e-08,1.4875970677508121e-08
1876,3.929909553335165e-08,8.464420275799966e-09
1877,2.5976227391311113e-08,6.184816214727107e-09
1878,4.589707458535486e-08,2.7175898753561967e-08
1879,2.8713828426063515e-08,9.163987790827832e-09
1880,1.7328185109022343e-08,2.0537108014195837e-08
1881,2.719277958362909e-08,1.4642265677711208e-08
1882,1.3976308776975088e-08,3.128031078603044e-08
1883,4.4235374030421326e-08,1.95899512722697e-08
1884,4.555170995956814e-08,1.386356363042296e-08
1885,3.931837810888794e-08,1.933690718658454e-08
1886,2.0005737511041843e-08,1.742435240537077e-08
1887,2.6768590899450828e-08,1.5016526688782506e-08
1888,2.282621380800265e-08,1.268122939990235e-08
1889,2.7566601445982997e-08,2.004843729919159e-08
1890,1.5075089287996946e-08,2.0318598359381213e-08
1891,1.3385862196457765e-08,2.103492668936724e-08
1892,3.19694137829174e-08,1.1283322720601063e-08
1893,2.2786141196107224e-08,2.4017824229449758e-08
1894,1.3863386882917439e-08,2.016492639533851e-08
1895,9.027921521465032e-09,1.083350631425617e-08
1896,4.717623180994224e-09,1.35631669784253e-08
1897,1.5149455023788505e-08,1.2818769712374944e-08
1898,6.790025763869778e-09,1.640922953072277e-08
1899,2.4874102777516782e-08,3.371822820952275e-08
1900,2.284063338464648e-08,2.5955265159360863e-08
1901,2.179608138419553e-08,1.8442838367604963e-08
1902,7.365426046845869e-09,2.7006561986731015e-08
1903,5.400220270956879e-09,1.2420506401156217e-08
1904,8.061937784020756e-09,1.5586413049106795e-08
1905,1.0321518084666081e-08,2.06430355587095e-08
1906,5.658602919567102e-09,1.9547901519700872e-08
1907,2.005708904517789e-08,2.5714216533856415e-08
1908,4.911388851169818e-09,2.7503778365911558e-08
1909,1.6502950117569526e-08,1.5952851928346945e-08
1910,5.34415089958884e-09,1.2291546225284833e-08
1911,6.384448858476333e-09,1.7557235443277364e-08
1912,1.1981668990301841e-08,6.772247651554153e-09
1913,1.643926872407775e-08,1.378777370053541e-08
1914,2.4777952134513725e-08,2.4108278040557707e-08
1915,3.534228465440492e-09,2.0027294933555595e-08
1916,9.888715624128963e-09,2.307366964160451e-08
1917,1.315970976634162e-08,2.1932848870420685e-09
1918,8.040463406189247e-09,1.378365155346728e-08
1919,1.4732557396257562e-08,2.2098836094386343e-08
1920,9.843901693784574e-09,1.590168663412328e-08
1921,9.087297137000405e-09,1.9689143204715265e-08
1922,1.3280283539529592e-08,1.1066902949607993e-08
1923,1.1677542488541803e-08,1.9108706172943357e-08
1924,1.289162443462999e-09,1.2891624656674594e-08
1925,1.2097995494286806e-08,2.639562701745035e-08
1926,7.802297141701331e-09,1.226075263538462e-08
1927,8.919379901328739e-09,1.4493992006592293e-08
1928,1.4853853147478446e-08,1.7139061614379614e-08
1929,1.8938690837799754e-08,1.4482528287729224e-08
1930,9.453243521306831e-09,1.995684728584024e-08
1931,1.8248570654577634e-08,1.4826963656844327e-08
1932,1.3151444377967891e-08,8.767629289252454e-09
1933,1.7205992852709073e-08,4.3588515019621354e-08
1934,7.188948103475923e-09,5.990790086229936e-09
1935,4.787313656606784e-09,1.555876849579363e-08
1936,9.699771652549316e-09,1.6974600836050513e-08
1937,3.777335444432595e-09,2.2664012888640173e-08
1938,1.2965214457594243e-08,1.5558257571157696e-08
1939,7.647025235257843e-09,2.141167065872196e-08
1940,3.803674397673262e-08,2.2822046474857416e-08
1941,2.066051862925633e-08,8.854508237732261e-09
1942,0.0,2.4273694165799498e-08
1943,2.9032352077962287e-09,1.7419411690866582e-08
1944,1.2852744646352221e-08,1.927911696952833e-08
1945,4.357008087652048e-09,1.9606536394434215e-08
1946,0.0,2.227376683094917e-08
1947,8.344609447874518e-09,1.7881307101674793e-08
1948,8.697510267552389e-09,2.935409715298931e-08
1949,3.9268033269479474e-09,1.2762110479513922e-08
1950,8.508289184305795e-09,2.0207187478860078e-08
1951,1.4925962688039363e-08,3.731490538783078e-08
1952,1.265376459169687e-08,2.7416489301046454e-08
