year,quelles_DET ailes_NOUN,quelles_DET belles_ADJ
1800,0.0,4.7162467708972144e-08
1801,0.0,4.7623650800687756e-08
1802,0.0,1.5664880947952042e-08
1803,1.5602713787643552e-08,2.145373123596528e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,0.0
1806,0.0,0.0
1807,1.4234776024579787e-08,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,2.6672082320544632e-09,2.400487453257938e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,6.293354282149721e-09
1815,0.0,1.6183340889597275e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,3.113746815941454e-09
1818,4.768470951432846e-09,8.34482416500748e-09
1819,0.0,7.24573512300708e-09
1820,0.0,2.0173018810965004e-08
1821,0.0,1.2819934447350079e-08
1822,0.0,8.02049271442229e-09
1823,0.0,4.941343334508019e-09
1824,0.0,3.3684450784221553e-09
1825,8.805443041381977e-10,8.805442819337372e-09
1826,0.0,7.0463874735082754e-09
1827,0.0,1.7512819638909605e-08
1828,0.0,2.2930752408001354e-08
1829,0.0,1.62890345656308e-08
1830,0.0,2.922313946385202e-08
1831,0.0,1.870944776882766e-08
1832,0.0,4.058990810129615e-09
1833,5.791814139399776e-09,2.7800708402025975e-08
1834,0.0,1.8669062740173104e-08
1835,0.0,4.5378527602224494e-09
1836,6.720750067579218e-10,6.048674894287842e-09
1837,2.0873671680021744e-09,4.174734669071256e-09
1838,6.312161904276081e-10,1.1993107174035345e-08
1839,6.9914751765765e-10,1.188550780018005e-08
1840,3.821813254756279e-09,1.528725279698051e-08
1841,0.0,7.704658244733764e-09
1842,1.341653010911159e-09,1.542900962547833e-08
1843,4.13483786099178e-09,1.358589513111852e-08
1844,0.0,1.2074834465636286e-08
1845,5.580227946389016e-10,7.2542965523503256e-09
1846,1.7563503984519002e-09,5.269050973311096e-09
1847,0.0,2.2651539310913904e-08
1848,8.045221711050488e-10,2.172209789819135e-08
