year,petits_ADJ os_NOUN
1800,4.1502971726004034e-07
1801,3.547962137417926e-07
1802,2.976327380110888e-07
1803,5.38293647878163e-07
1804,2.966221188671625e-07
1805,5.714184112548537e-07
1806,2.1612518708025164e-07
1807,2.0782772480743006e-07
1808,1.2916622438297054e-07
1809,2.0557178004310117e-07
1810,2.457133234656794e-07
1811,8.022645658911642e-08
1812,3.707419580223359e-07
1813,3.795979068854649e-07
1814,2.2026739543434815e-07
1815,1.780167480092132e-07
1816,2.0858435334503156e-07
1817,1.71256075987003e-07
1818,2.1577331210664852e-07
1819,2.4635500039948965e-07
1820,1.7918387129611801e-07
1821,2.031466550533878e-07
1822,1.884815787889238e-07
1823,2.450906322337687e-07
1824,2.0968570879631443e-07
1825,2.5447729967709165e-07
1826,1.814444772207935e-07
1827,1.8987581995588698e-07
1828,2.329764470232476e-07
1829,2.0575622272644978e-07
1830,2.1186777132697898e-07
1831,1.216114071667107e-07
1832,1.4882965615470312e-07
1833,2.8959070164091827e-07
1834,2.510988679205184e-07
1835,3.2143123007699614e-07
1836,2.9100849019414454e-07
1837,2.3656829739593377e-07
1838,1.8179025573772378e-07
1839,1.1535934163475758e-07
1840,2.0191913563394337e-07
1841,1.9454262201179517e-07
1842,1.4691100602703955e-07
1843,1.4708209050695586e-07
1844,1.3721403036015545e-07
1845,1.7968334020679322e-07
1846,9.015931823341816e-08
1847,1.2781940483819199e-07
1848,1.2067832244611054e-07
1849,1.4161211936425389e-07
1850,1.3170652835015062e-07
1851,1.1737978411474614e-07
1852,1.8294632297966018e-07
1853,1.6661689983266115e-07
1854,1.2313724084833666e-07
1855,1.4381799928742112e-07
1856,1.5738655179120542e-07
1857,1.5669644426452578e-07
1858,1.2919304026581813e-07
1859,1.1559233570324068e-07
1860,1.0481750933877265e-07
1861,1.0752397372471023e-07
1862,6.641440108978713e-08
1863,8.690640385111692e-08
1864,1.3569079726494238e-07
1865,1.0072646716707823e-07
1866,1.2018064410312945e-07
1867,1.5820165799595998e-07
1868,2.0154686808382394e-07
1869,1.367385351613848e-07
1870,1.588331457469394e-07
1871,1.7206306779371516e-07
1872,1.354603966774448e-07
1873,1.3707949619856663e-07
1874,2.2524275777868752e-07
1875,1.5104831163625931e-07
1876,1.1608348415848013e-07
1877,9.029831460338755e-08
1878,1.0024886876180972e-07
1879,1.2463023324471578e-07
1880,1.2065551402429264e-07
1881,1.1365187191358928e-07
1882,1.0848278009234491e-07
1883,1.2638678015264304e-07
1884,9.04432511106279e-08
1885,1.4502680301120563e-07
1886,1.0325542376676822e-07
1887,1.1621485640489482e-07
1888,1.1539918887137901e-07
1889,1.2843530328154884e-07
1890,8.061895329092295e-08
1891,1.121862709396737e-07
1892,9.277398049789554e-08
1893,1.0777228709457631e-07
1894,7.624862519151065e-08
1895,9.629783193076946e-08
1896,1.1263325205845831e-07
1897,9.905413378419325e-08
1898,6.959776754911218e-08
1899,8.125540063019798e-08
1900,1.1264584998116334e-07
1901,8.438995990900366e-08
1902,5.646826295446772e-08
1903,6.642270733436817e-08
1904,8.545654139879844e-08
1905,7.999176432349486e-08
1906,4.83553357355504e-08
1907,4.4742737514980035e-08
1908,9.233411191189589e-08
1909,6.656190265630357e-08
1910,8.123109296320763e-08
1911,1.2396471049669344e-07
1912,8.126696826593616e-08
1913,9.174172532766534e-08
1914,8.638799187110635e-08
1915,8.128725426104211e-08
1916,7.251725264723063e-08
1917,5.702540661900457e-08
1918,4.3648228142956214e-08
1919,5.340552178267899e-08
