year,as_VERB eu_VERB,as_VERB bu_VERB
1800,2.200915076855381e-07,1.5720821977538435e-08
1801,1.619204113012529e-07,7.143547975374531e-09
1802,1.7231369042747247e-07,1.1189200677108602e-08
1803,1.2677205063482688e-07,5.851017448321727e-09
1804,1.3842365831351344e-07,9.887403784603066e-09
1805,2.5301611117356515e-07,1.1371510844071508e-08
1806,6.916005901302924e-08,0.0
1807,1.537355700520493e-07,1.4234775136401367e-08
1808,1.0423940466353088e-07,0.0
1809,9.93973401364201e-08,0.0
1810,1.591286178381779e-07,7.020380277111826e-09
1811,1.3287507272252697e-07,1.504245972228091e-08
1812,1.6269970615212515e-07,5.3344164641089264e-09
1813,1.0352670187785407e-07,3.163315653864629e-08
1814,7.552024783308298e-08,0.0
1815,8.091670622434322e-08,5.394447111228828e-09
1816,7.879853569647821e-08,0.0
1817,1.214361304846534e-07,0.0
1818,1.2755660350194375e-07,0.0
1819,1.35598753558952e-07,1.5526575580793178e-08
1820,1.3053129066520341e-07,2.0173018810965004e-08
1821,2.169527419937367e-07,2.1695274909916407e-08
1822,2.546506436829077e-07,1.5038423839541792e-08
1823,2.174191138237802e-07,1.8777104315859106e-08
1824,2.450543661325355e-07,5.052667617633233e-09
1825,3.10832149352791e-07,1.7610886970942374e-08
1826,1.418085417981274e-07,0.0
1827,1.1798109511573784e-07,2.7651818612639545e-09
1828,1.2657775982916064e-07,1.9261833017480967e-08
1829,1.2002446680980938e-07,6.858540846366168e-09
1830,1.5655253093882493e-07,5.218417697960831e-09
1831,2.1204040479005926e-07,1.4032085715598441e-08
1832,2.1512651926514081e-07,1.2176972319366541e-08
1833,1.6796261093077192e-07,4.6334514003376626e-09
1834,2.4549817112529126e-07,1.4935249481595747e-08
1835,3.0327981903610635e-07,6.806779140333674e-09
1836,3.0646620530205837e-07,2.2178475944656384e-08
1837,2.1708619613036717e-07,4.87052354003481e-09
1838,1.988331064239901e-07,7.574594285131298e-09
1839,1.8247750688260567e-07,6.9914749545318955e-09
1840,1.840840013755951e-07,1.4013314952876499e-08
1841,2.221509731725746e-07,1.219904177673925e-08
1842,2.743680340699939e-07,9.391571076378114e-09
1843,2.658109963249444e-07,1.8902115428431898e-08
1844,2.1130961158633e-07,8.781698035420504e-09
1845,2.1539679551096924e-07,1.6182660544927785e-08
1846,1.6978053452021413e-07,1.4636253098387897e-08
1847,1.5316754797822796e-07,1.5640349459999925e-08
1848,1.4240042389701557e-07,5.63165514222419e-09
1849,1.0055298105271504e-07,8.379414495607307e-09
1850,1.575047008373076e-07,2.0366988096043315e-08
1851,1.5672135589284153e-07,2.192809134271556e-08
1852,2.0963956615105417e-07,1.5625309046640723e-08
1853,1.9767094272538088e-07,1.1943863675867306e-08
1854,1.7041779187820794e-07,1.610655964157104e-08
1855,2.069705544727185e-07,2.2289135870323662e-08
