year,six_DET ans_NOUN,six_DET bancs_NOUN
1800,6.759953720347767e-06,2.2009151834367913e-08
1801,7.886476510066132e-06,0.0
1802,7.107380127990837e-06,1.5664880947952042e-08
1803,7.389835104731901e-06,0.0
1804,7.1930861622604425e-06,2.4718509905596875e-08
1805,7.68145565643863e-06,5.685755422035754e-09
1806,6.962112436781354e-06,0.0
1807,6.9693459607833574e-06,5.4092147649953404e-08
1808,8.413932434336857e-06,9.064295980465431e-09
1809,9.476632953919761e-06,2.259030518203531e-09
1810,7.1186657208954784e-06,2.3401267590372754e-09
1811,9.504328119191996e-06,0.0
1812,7.758908907362638e-06,1.0668832928217853e-08
1813,8.233248465217002e-06,2.8757416448144113e-09
1814,8.341840668890654e-06,6.293354282149721e-09
1815,8.078184919213527e-06,4.045835311217161e-08
1816,7.103455928358926e-06,0.0
1817,7.508800294431239e-06,0.0
1818,9.274676045833985e-06,2.384235475716423e-09
1819,8.741461670069839e-06,3.1053151161586356e-09
1820,9.78510053073478e-06,0.0
1821,9.401943003695123e-06,3.8459806006585495e-08
1822,8.174887526024577e-06,7.017931125119503e-09
1823,8.049448595670583e-06,9.882686669016039e-09
1824,8.182794758226919e-06,5.052667617633233e-09
1825,8.92431688725992e-06,4.4027217427355936e-09
1826,8.252200728975367e-06,1.3211976401805714e-08
1827,8.277110993049064e-06,4.608636583469661e-09
1828,8.341290694602321e-06,3.668920500743411e-09
1829,8.215674355938063e-06,2.5719527840806222e-08
1830,7.826583114933783e-06,1.0436836062055477e-08
1831,8.09495422515738e-06,4.677361609140007e-09
1832,8.316872239788609e-06,1.8941957335982806e-08
1833,8.112014782568622e-06,2.548398292390175e-08
1834,8.397344146260366e-06,1.6802156110884425e-08
1835,7.983595736504867e-06,1.739510224751939e-08
1836,9.062259721304144e-06,3.36037508930076e-09
1837,9.680513755938591e-06,1.2524203896191466e-08
1838,8.56118555248031e-06,3.787297142565649e-09
1839,8.098225379171708e-06,1.5381244722334486e-08
1840,8.282506257728528e-06,1.8472096741106725e-08
1841,8.23692136009413e-06,1.2841097074556274e-09
1842,8.677811962343185e-06,5.366612043644636e-09
1843,9.178749195370983e-06,6.4976020675011625e-09
1844,8.18783567524406e-06,5.488561161115513e-09
1845,8.483620376864565e-06,2.511102659141784e-08
1846,8.659393159859974e-06,6.439951683034906e-09
1847,8.745651399522103e-06,2.480882876909618e-08
1848,9.116845689050024e-06,1.930853166243196e-08
1849,7.959606250551587e-06,0.0
1850,8.359969399407419e-06,1.6972489191857676e-08
1851,7.934099699014041e-06,6.449438760824933e-09
1852,8.295086217913195e-06,6.510545436100301e-10
1853,8.6885632697431e-06,1.7915794847667144e-08
1854,8.29332003604577e-06,9.871762074453727e-09
1855,8.936351576949164e-06,1.6982198758341838e-08
