year,ses_DET os_NOUN,ses_DET bosses_NOUN
1800,8.552127290784028e-07,3.144164484325529e-09
1801,9.072305573454287e-07,0.0
1802,7.563899941942509e-07,0.0
1803,9.08858091008824e-07,3.900678446910888e-09
1804,9.689655620093163e-07,1.2359254952798437e-08
1805,9.864785930346898e-07,0.0
1806,8.443290759885258e-07,0.0
1807,6.120953521815409e-07,2.8469551160981155e-09
1808,6.752900318929278e-07,2.039466595604722e-08
1809,5.512034633170515e-07,2.259030518203531e-09
1810,6.248138575415396e-07,2.106114038724627e-08
1811,6.342904299572183e-07,1.0028307073639553e-08
1812,9.948686425786946e-07,9.335229123053068e-08
1813,5.607696256237915e-07,4.3136125782439194e-08
1814,6.167487032193719e-07,0.0
1815,7.255531357941436e-07,8.091670444798638e-09
1816,7.50903652146917e-07,1.8540831092650478e-08
1817,8.126879436076706e-07,7.784366928831332e-09
1818,9.513099641367262e-07,1.1921176934492905e-08
1819,6.6246719043761e-07,1.035105001712111e-09
1820,8.342136208483453e-07,1.1866481131050932e-09
1821,8.530187258770638e-07,0.0
1822,9.664693578770311e-07,0.0
1823,8.014859353977499e-07,1.7788837070042973e-08
1824,1.1099026053784655e-06,6.736890156844311e-09
1825,1.1226939804487301e-06,1.4088708866211164e-08
1826,8.552552621665654e-07,1.0569580766173203e-08
1827,5.834533851611923e-07,9.217273055917019e-10
1828,9.906085551847355e-07,1.559291185060374e-08
1829,7.827309715935371e-07,3.429270423183084e-09
1830,8.088547573947835e-07,2.400472176589119e-08
1831,8.24774804897288e-07,1.5591206548037917e-08
1832,8.726830209582204e-07,2.705993829010822e-08
1833,1.0170425888134105e-06,2.548398292390175e-08
1834,1.210688665764792e-06,3.080395316601425e-08
1835,1.101941954573249e-06,1.5126175867408165e-08
1836,1.413373730940748e-06,2.016225053580456e-08
1837,1.0075026182221336e-06,6.957891152126194e-09
1838,9.77753888520283e-07,1.3886756633496589e-08
1839,7.389989367112548e-07,8.38977065598101e-09
1840,1.0427180185956786e-06,8.280594876453051e-09
1841,9.784915988575449e-07,8.988768396278601e-09
1842,9.525736395232798e-07,3.3541325272778977e-09
1843,9.8881692522923e-07,1.3585895075607368e-08
1844,9.69828791497207e-07,2.085653250105679e-08
1845,9.413844423988849e-07,2.7901139176833567e-09
1846,7.786486833083472e-07,4.6836010625384006e-09
1847,7.000404274037919e-07,4.853901280910122e-09
1848,6.162640051599055e-07,1.206783295515379e-08
1849,7.960444108334741e-07,2.513824481908955e-09
1850,8.404777069870306e-07,1.6972490080036096e-08
1851,8.971169123128675e-07,7.094382636907426e-09
1852,6.705861785860634e-07,1.3021090872200602e-09
1853,8.856375011134787e-07,5.971932059978258e-09
1854,9.284652158214612e-07,5.195664454227256e-09
1855,8.936882238685939e-07,3.1841622671890946e-09
1856,8.381869101015127e-07,6.212626857404757e-09
1857,8.977095333762009e-07,6.345961645060072e-09
1858,8.16754530674757e-07,2.5936482739297162e-08
1859,8.677063121353967e-07,2.444243274446478e-08
1860,7.30060826015233e-07,1.876645328025006e-08
1861,9.214993141881678e-07,6.13075279431996e-09
1862,8.828145059425196e-07,1.490935552794781e-08
1863,8.440909287088516e-07,2.9967726078439227e-09
1864,9.690144935348144e-07,1.2466292331758666e-08
1865,8.444078716252079e-07,2.3063536858103362e-08
1866,8.587806696880307e-07,2.2868380966656332e-08
1867,9.987086322382766e-07,7.279217228983725e-09
1868,7.093659117884954e-07,1.2843672791973404e-08
1869,8.096875028229533e-07,2.0022428826038663e-08
1870,8.297168356818929e-07,1.3188312220080434e-08
1871,1.0047634111387538e-06,3.18635318130589e-09
1872,7.565221338268202e-07,1.4513614310374123e-08
1873,6.63847885107316e-07,1.1972009161809183e-08
1874,6.6796130759883e-07,2.5690820137924675e-08
1875,6.368059501937751e-07,1.2015207495608138e-08
1876,6.680846080797664e-07,2.418405919968336e-09
1877,6.716710103660262e-07,4.329371194877751e-09
1878,6.03304947333072e-07,9.662541877730746e-09
1879,6.976849711293198e-07,2.504823370941267e-08
1880,5.564272607117005e-07,2.3104245627791897e-08
1881,4.929562908984053e-07,1.5339516323820135e-08
1882,6.628763546956407e-07,3.0614770718528916e-08
1883,6.104481347080082e-07,2.1485751844352308e-08
1884,5.558629077029309e-07,5.281357573494461e-09
1885,5.356323349303693e-07,2.1270597949651915e-08
1886,5.653234165237109e-07,2.0651084398082276e-08
1887,5.373304947653423e-07,1.3057849024278312e-08
1888,5.62412552085334e-07,9.510921827882157e-09
1889,5.538380651870511e-07,1.1903759755682586e-08
1890,4.961670612146918e-07,1.9663159545046938e-08
1891,4.347218087730198e-07,5.099376032546843e-09
1892,5.058689342973821e-07,1.8805536683430546e-08
1893,4.920574685485235e-07,1.970693297437265e-08
1894,3.875446683565542e-07,2.6466464575491955e-08
1895,3.767652572150837e-07,2.5278181325916194e-08
1896,4.2340667505413876e-07,1.592197840238896e-08
1897,4.1894070257342264e-07,1.981082675683865e-08
1898,4.158890973826601e-07,1.697506513131941e-08
1899,4.206487194124975e-07,1.879376654301268e-08
1900,4.261854495979378e-07,1.1939421895590385e-08
1901,3.6159140126557077e-07,7.824234593556412e-09
1902,4.483089188767053e-07,8.838511089681589e-09
1903,4.098767121263336e-07,2.1600881083827517e-08
1904,3.8159837956186493e-07,1.827372564378038e-08
1905,3.46803011197494e-07,2.0126961097766127e-08
1906,3.8890034659289086e-07,2.4692086042499284e-08
1907,4.433131088887876e-07,1.491424583832668e-08
1908,4.1353896307327886e-07,1.8663278922304016e-08
1909,3.9992150124845693e-07,1.4302557360679202e-08
