year,des_DET arts_NOUN,des_DET barres_NOUN
1800,4.483578486258466e-06,7.545994535895773e-07
1801,3.931332472006943e-06,8.096020707171192e-07
1802,4.428685599577875e-06,6.042168365638645e-07
1803,3.526213344429152e-06,7.255262062244583e-07
1804,3.3913795363105237e-06,6.72343437368994e-07
1805,3.223823284770333e-06,7.960057355482775e-07
1806,3.5992048168509427e-06,4.841204326311299e-07
1807,4.011359820310645e-06,9.053317455709475e-07
1808,3.7050310908171014e-06,5.846471129444808e-07
1809,3.1671608553551778e-06,8.26805149012344e-07
1810,3.896311042694833e-06,7.886227226805431e-07
1811,3.387060658610608e-06,8.875051618062457e-07
1812,3.6300704806535578e-06,1.7443542299488968e-06
1813,3.255339500185528e-06,7.275626165981208e-07
1814,3.2410774721824964e-06,8.024026421082908e-07
1815,3.331071116718931e-06,4.774085649028592e-07
1816,3.1287652859646187e-06,7.671268598130609e-07
1817,3.2118297426109166e-06,6.274199551015158e-07
1818,2.9159198788875074e-06,8.154085486822282e-07
1819,2.927277048314636e-06,7.690830117201841e-07
1820,2.876435104326447e-06,6.752027923440096e-07
1821,2.9022359342434356e-06,4.4278082977911026e-07
1822,3.4929246055526164e-06,6.79736757547289e-07
1823,2.9173692723816202e-06,9.843155943656257e-07
1824,2.833704328963904e-06,7.317946870699643e-07
1825,3.2941162402266855e-06,7.405377662195178e-07
1826,2.9453898733322603e-06,8.896064294106054e-07
1827,3.0260306473905985e-06,8.489108580533866e-07
1828,2.8287376423463684e-06,6.970949186779762e-07
1829,3.052907935341409e-06,5.66686925829174e-07
1830,2.933794661430511e-06,9.956741910954747e-07
1831,2.5101842915375983e-06,8.169792220513727e-07
1832,2.9278854398739895e-06,7.049113985857502e-07
1833,3.0430191131358697e-06,1.146779179173052e-06
1834,2.6426057289086202e-06,8.37307432277612e-07
1835,2.160017992025587e-06,6.799215910291423e-07
1836,2.150639986098213e-06,6.59977682282431e-07
1837,2.4992744016572033e-06,6.276017856521321e-07
1838,2.1499224018839413e-06,6.577272433361259e-07
1839,2.275725186962063e-06,8.809258762454419e-07
1840,2.2172886460225527e-06,5.828265252638687e-07
1841,2.300482588424302e-06,5.585877058678079e-07
