year,plus_ADV avare_ADJ,plus_ADV bavard_ADJ
1800,2.389564883742423e-07,1.8864987794131594e-08
1801,3.0717254162482277e-07,1.904946067554647e-08
1802,1.4993528907325526e-07,4.475680270843441e-09
1803,2.3599105247740226e-07,1.950339267864365e-08
1804,2.076354803648428e-07,2.7190360185613827e-08
1805,1.5635826855486812e-07,5.685755422035754e-09
1806,3.198652791525092e-07,5.76333825108577e-09
1807,1.8505208565500197e-07,1.4234775136401367e-08
1808,1.9941451512295316e-07,9.064295980465431e-09
1809,1.9427662523163747e-07,1.3554183553310395e-08
1810,2.1295153906919495e-07,2.8081521108447305e-08
1811,2.3817229077849333e-07,2.5070767684098882e-09
1812,1.7070132685148565e-07,2.6672082320544632e-09
1813,2.5881675469463516e-07,1.4378708002027452e-08
1814,2.171207285073251e-07,3.1466771410748606e-09
1815,1.726223075593225e-07,0.0
1816,1.6454987239455932e-07,1.3905623319487859e-08
1817,1.5880108927834868e-07,1.8682481339737933e-08
1818,3.0160578035065555e-07,3.814776761146277e-08
1819,2.090912047947313e-07,1.7596784473994376e-08
1820,2.5394268732270575e-07,1.6613073583471305e-08
1821,2.3174497698619234e-07,6.903042049088981e-08
1822,2.0652768739637395e-07,2.4061478143266868e-08
1823,1.2056877984889525e-07,1.087095569118901e-08
1824,2.4000172516025486e-07,1.3473780313688621e-08
1825,2.3598587972628593e-07,1.0566531649658373e-08
1826,1.8056367423469055e-07,3.8755132436563144e-08
1827,2.1199728611476232e-07,1.474763688946723e-08
1828,1.4125344210969004e-07,2.8434133270138773e-08
1829,2.3233307233638811e-07,3.0006116702452346e-08
1830,2.4526564468274614e-07,3.444155893816969e-08
1831,2.822008227099104e-07,4.2096257146795324e-08
1832,2.665404024160267e-07,1.6235963684607668e-08
1833,1.8997150164068444e-07,2.7800709290204395e-08
1834,2.6510068096285977e-07,2.5203233278148218e-08
1835,1.9058981592934288e-07,2.117664621437143e-08
1836,1.3374292961998435e-07,1.4113575197427508e-08
1837,1.9551673069440056e-07,2.852735292435682e-08
1838,1.5843525957848215e-07,3.029837714052519e-08
1839,1.4961756655829106e-07,2.23727205650448e-08
1840,2.3121969688899568e-07,2.2930879195470766e-08
1841,1.4125207314918953e-07,2.632424944692957e-08
1842,1.4758183697338723e-07,2.4149754196400863e-08
1843,1.4117518093437198e-07,3.2488010504039266e-08
1844,1.9100193071608373e-07,1.4270259696136378e-08
1845,1.4843406859199604e-07,1.1160455670733427e-08
1846,1.5924243812470706e-07,2.86870562860031e-08
1847,1.0139260098185332e-07,2.6966118227278457e-08
1848,1.2148284156410227e-07,1.206783295515379e-08
1849,1.1396004229169421e-07,8.379414495607307e-09
1850,1.4256891933683846e-07,2.1724787302446202e-08
1851,1.1673484423546654e-07,3.031236062156495e-08
1852,1.1328349103223445e-07,1.3672145193766028e-08
1853,2.0662884026023676e-07,2.9262466227919504e-08
1854,1.6730039131829244e-07,1.8704392701351935e-08
1855,1.8043585470195467e-07,3.237231638308913e-08
1856,1.54797962614861e-07,1.9155599773057475e-08
1857,1.9379591575940935e-07,4.393358210563747e-08
1858,1.5855510948625806e-07,3.425573069648635e-08
1859,2.505349243620003e-07,3.8700519233714203e-08
1860,1.8446050473186482e-07,2.7920821210614122e-08
1861,1.6694511373316345e-07,2.9238975685075275e-08
1862,1.9788779329066308e-07,1.3102160245637151e-08
1863,1.0938219957568052e-07,4.2454278315062766e-08
1864,1.5199287728417943e-07,1.7740493851725603e-08
1865,1.6379818190692674e-07,1.2708479601997169e-08
1866,1.2066720123105057e-07,4.330395597662573e-08
1867,1.0433544694876673e-07,1.6014277903764196e-08
1868,1.0373735648272486e-07,1.4819621974027086e-08
1869,1.2013456840431758e-07,3.41846337903462e-08
1870,1.462182379619037e-07,2.695002976338401e-08
1871,1.1046024184224734e-07,1.911811864374613e-08
1872,9.978109716257677e-08,2.4189358072135292e-08
1873,1.0655087834265942e-07,1.6162211291526063e-08
1874,1.0276327450098321e-07,1.3144139998644278e-08
1875,1.396052577429252e-07,1.716458086775674e-08
1876,9.492243435715864e-08,1.813804395567331e-08
1877,1.1812998224058902e-07,3.154256233983688e-08
1878,8.213160640480055e-08,1.69094480639842e-08
1879,1.2096464274691243e-07,3.0546626561545054e-08
1880,1.3477477378565084e-07,3.401458670282409e-08
1881,1.0737661626514239e-07,1.5339516323820135e-08
1882,1.3710094037833187e-07,4.6587697255517924e-08
1883,1.1753970446948259e-07,3.791603475633565e-08
1884,9.176358872764467e-08,1.8484751507230612e-08
1885,8.766064496512627e-08,9.023890079618013e-09
1886,8.647641486225766e-08,2.452316216761119e-08
1887,1.0642147429962279e-07,1.8933882017790893e-08
1888,1.1856949555522078e-07,3.9311810695608074e-08
1889,7.392861078869828e-08,3.445825286219062e-08
1890,9.503860098902805e-08,2.3595791986963377e-08
1891,9.30636131490914e-08,2.6134301833735663e-08
1892,9.277398049789554e-08,3.57305189879753e-08
1893,8.929703909643649e-08,2.8328715373504565e-08
1894,8.759139547009909e-08,2.3945849747519787e-08
1895,6.801034024839225e-08,2.6481902892783182e-08
1896,5.248355705589347e-08,3.184395541699914e-08
1897,6.875522018390257e-08,2.7385553380554484e-08
1898,7.638779209173663e-08,2.4896761985360172e-08
1899,6.854197209804624e-08,2.819064981451902e-08
1900,7.47511634813236e-08,1.661137005726232e-08
1901,7.265360624231221e-08,2.794369535763508e-08
1902,3.633610035080892e-08,1.718599307309887e-08
1903,6.210253644667318e-08,2.9161189019077938e-08
