year,serons_VERB à_ADP,serons_VERB a_ADP
1800,4.244622004989651e-07,3.144164484325529e-09
1801,3.905139465132379e-07,0.0
1802,3.6924362234458386e-07,0.0
1803,2.652461432717246e-07,1.950339223455444e-09
1804,3.781931923185766e-07,4.943701892301533e-09
1805,2.3311596919484145e-07,0.0
1806,1.7578182109900808e-07,2.881669125542885e-09
1807,1.9643989901396708e-07,0.0
1808,2.2660739773527894e-07,2.2660739951163578e-09
1809,1.965356517530381e-07,0.0
1810,2.971960952891095e-07,0.0
1811,1.1031137603367824e-07,0.0
1812,2.2404549326893175e-07,0.0
1813,2.904499183387088e-07,2.8757416448144113e-09
1814,2.580275122454623e-07,0.0
1815,1.8341120266995858e-07,0.0
1816,2.3871319854151807e-07,2.3176038865813098e-09
1817,3.5496714190230705e-07,4.670620334934483e-09
1818,3.326008481963072e-07,1.1921177378582115e-09
1819,2.5463583597229444e-07,1.449147024601416e-08
1820,2.7174240813110373e-07,0.0
1821,3.609304712881567e-07,0.0
1822,3.6794011748497724e-07,2.0051231786055723e-09
1823,2.2532526600116398e-07,0.0
1824,3.4442351193320064e-07,5.894778887238772e-09
1825,3.927227680833312e-07,8.805443041381977e-10
1826,2.4310037360919523e-07,8.807984341885344e-10
1827,3.272132005349704e-07,0.0
1828,2.5132104042313586e-07,9.172301251858528e-10
1829,3.154928833737358e-07,8.57317605795771e-10
1830,3.4963400707965775e-07,3.1310507520032616e-09
1831,2.853190608220757e-07,3.1182412207897414e-09
1832,3.0171833031999995e-07,4.058990921151917e-09
1833,3.092828819717397e-07,3.475088550253247e-09
1834,3.0990642585493333e-07,7.467624518753269e-09
1835,3.524398834997555e-07,3.781543966852041e-09
1836,2.822715146066912e-07,1.3441500135158435e-09
1837,3.089303675096744e-07,3.478945576063097e-09
1838,3.067710565574089e-07,1.2624323808552163e-09
1839,3.544678008893243e-07,6.9914751765765e-10
1840,3.541546789165295e-07,4.458782232319436e-09
1841,3.2616387102279987e-07,2.5682194149112547e-09
1842,3.2468003041685733e-07,2.0124795163667386e-09
1843,3.047966004032787e-07,2.953455480181333e-09
1844,2.8869831680822244e-07,1.6465684371524958e-09
1845,3.498802811918722e-07,2.7901139176833567e-09
1846,3.4307376495235076e-07,2.9272506640865004e-09
1847,2.933913663127896e-07,2.1572894581822766e-09
1848,3.0813200169177435e-07,2.413566457803995e-09
1849,3.510974977416481e-07,3.3517659758786067e-09
1850,3.2179841014112753e-07,2.0366988096043315e-09
1851,2.8828992526541697e-07,3.8696632564949596e-09
1852,2.6107286998922064e-07,1.9531636308300904e-09
1853,3.7085698068040074e-07,2.9859659189668264e-09
1854,2.7381150857763714e-07,1.558699391779328e-09
1855,3.3858259484986775e-07,3.714855978387277e-09
1856,2.65589818582157e-07,2.0708756931497874e-09
1857,2.9435500437102746e-07,5.3696598834029885e-09
1858,3.366849057329091e-07,3.4255731584664773e-09
1859,3.2131615057551244e-07,3.5645213447565993e-09
1860,3.5061228231825226e-07,2.746310373558103e-09
1861,3.013500702309102e-07,2.3579818653196583e-09
1862,3.153554359869304e-07,4.9697850279528666e-09
1863,2.687106075427437e-07,1.4983863039219614e-09
1864,3.38028314672556e-07,2.8768367688059016e-09
1865,4.090247784915846e-07,3.765475486972036e-09
1866,2.9680239777007955e-07,2.432806400776144e-09
1867,3.02815436725723e-07,2.426405742994575e-09
1868,3.3689940437398036e-07,1.4819622196071691e-09
1869,3.491716142889345e-07,6.348574776993132e-09
1870,4.0310362692252966e-07,2.8670243956696595e-09
1871,3.228837783808558e-07,3.18635318130589e-09
1872,3.7493504123631283e-07,3.023669647994609e-09
1873,3.6873788644697925e-07,2.3944017879529156e-09
1874,3.602689275794546e-07,3.5847653734322193e-09
1875,4.39985427647116e-07,1.716458086775674e-09
1876,3.4885505328929867e-07,6.04601479992084e-10
1877,3.5315298418936436e-07,4.329371083855449e-09
1878,2.5303782535957e-07,6.039088673581716e-10
1879,3.2745984412940743e-07,7.33119043250241e-09
1880,3.3180265290866373e-07,1.2835692508872398e-09
1881,3.6466215647124045e-07,6.972507571312292e-10
