year,leurs_DET ailes_NOUN,leurs_DET belles_ADJ
1800,3.4522926029012524e-06,7.545994962221414e-07
1801,1.7620751542324342e-06,7.667407899702994e-07
1802,2.1975589561407105e-06,7.205844951840845e-07
1803,4.489680804908858e-06,6.026548362569883e-07
1804,2.5385909694364273e-06,6.599842243826259e-07
1805,2.385174301622328e-06,4.776034643327876e-07
1806,1.9566533921988594e-06,4.898837628886099e-07
1807,1.6341522410812104e-06,4.128085038246354e-07
1808,1.7539412908718077e-06,6.005096206962435e-07
1809,1.7010500101832804e-06,6.664140101975136e-07
1810,2.8877163060769817e-06,5.592902834195002e-07
1811,1.4215125077043922e-06,7.270522814906144e-07
1812,1.1015570251515783e-06,4.774302659882323e-07
1813,8.569710274741738e-07,6.067814741772537e-07
1814,1.0635769132072426e-06,3.4613449884091096e-07
1815,1.1409255260552698e-06,4.2616133555384295e-07
1816,2.825159100439123e-06,6.790579458737511e-07
1817,4.413736178321415e-06,7.379580013733289e-07
1818,2.4569545473696053e-06,5.722165177246552e-07
1819,1.7420817108870779e-06,5.320439981915115e-07
1820,1.5556956753925988e-06,5.399248763637843e-07
1821,1.3687746118762334e-06,6.015507957313204e-07
1822,1.7073624434260637e-06,5.754703238380898e-07
1823,1.2106290903091121e-06,6.07785256789839e-07
1824,1.1831662796168985e-06,5.684251291881992e-07
1825,1.563846630858734e-06,6.049339100755446e-07
1826,1.3423367697384947e-06,5.927773658598312e-07
1827,1.0046827334520003e-06,4.64550555134835e-07
1828,1.5776358353036812e-06,5.41165756207107e-07
1829,1.7403547758476634e-06,4.903856574145493e-07
1830,1.8368831220527682e-06,6.721322227676296e-07
1831,1.4297136132768173e-06,4.5370410539646855e-07
1832,2.076850371679484e-06,5.41198784009822e-07
1833,1.8858147647904389e-06,6.718504366176603e-07
1834,2.2188179116255924e-06,6.086114217040972e-07
1835,2.1380850228069903e-06,4.840376206516339e-07
1836,2.1338382509838993e-06,6.082278538599439e-07
1837,1.6497159265327355e-06,6.895269792916991e-07
1838,1.690396977949149e-06,7.145367093563948e-07
1839,1.6248188430267874e-06,5.684069570577321e-07
1840,1.2720268749433217e-06,5.261362741038056e-07
1841,1.935153328247452e-06,7.223117362009646e-07
1842,1.292682714648663e-06,5.628234518439967e-07
1843,1.7041438127307629e-06,5.410730650190487e-07
1844,1.4506267653757732e-06,4.961659461066859e-07
1845,1.447511102981025e-06,5.468623318627408e-07
1846,1.3980549091741068e-06,4.7304370287548636e-07
1847,1.2102393611712614e-06,3.823795458046675e-07
1848,1.0861049020149949e-06,4.6903643435847187e-07
1849,1.3851173079615364e-06,4.968992850518106e-07
1850,1.4134689720890492e-06,5.329361858485981e-07
1851,1.140905682817106e-06,4.772584691892234e-07
1852,1.950559401109331e-06,4.2644074005337984e-07
1853,1.7300686501187101e-06,5.792774011581514e-07
1854,1.2105898470338161e-06,5.216447316325201e-07
1855,1.4949642093142756e-06,5.036283354797888e-07
1856,1.3512463645781736e-06,5.555123894218639e-07
1857,1.6509264142428037e-06,5.50146056266243e-07
1858,1.1876952132894303e-06,4.6098427297636135e-07
1859,1.4202071376701042e-06,5.947658605620632e-07
1860,1.8098185421422386e-06,5.391922641706515e-07
1861,1.3992264236151186e-06,5.310175179573662e-07
1862,1.2681987335838585e-06,4.883943214295527e-07
1863,1.1837251800983495e-06,4.480174977672391e-07
1864,1.270123478391838e-06,5.288585080975849e-07
1865,1.1249357605436217e-06,5.078684890413854e-07
1866,1.3424226068536882e-06,4.685585279773363e-07
1867,1.6868373222678201e-06,4.925603906968945e-07
1868,1.3357419881288024e-06,5.043611555066718e-07
1869,1.3122015865008052e-06,4.6832948008557196e-07
1870,1.3056429537527947e-06,4.753526390288698e-07
1871,1.0345026453251194e-06,3.207595398180274e-07
1872,1.2245861533699554e-06,4.1484746748921e-07
1873,1.2887867715249968e-06,3.938791066637748e-07
1874,1.3550413271445905e-06,3.8118005019072143e-07
1875,1.06992552773022e-06,4.188157838314055e-07
1876,1.0810274275740994e-06,4.927501962015413e-07
1877,1.2994297975410518e-06,4.817971746007288e-07
1878,1.3769121807172269e-06,4.2334012029243695e-07
1879,1.0892927093664184e-06,4.997428248998403e-07
1880,1.084615977475778e-06,4.383388860773607e-07
1881,1.1525554803881732e-06,4.2392846832939313e-07
1882,1.0728481072419527e-06,4.4058650550127254e-07
1883,1.0313161062924792e-06,4.164444302734438e-07
1884,1.0127002880722102e-06,4.350518310047846e-07
1885,1.1254080440892267e-06,4.0543049117935936e-07
1886,1.129356160589623e-06,4.065682230880441e-07
1887,1.0459337431711901e-06,3.3493383799765297e-07
1888,1.0702957666808288e-06,3.893137447974482e-07
1889,9.523007769018932e-07,4.141255462997151e-07
1890,9.595621754954209e-07,3.4541616855676693e-07
1891,8.898411021363017e-07,4.417334507067494e-07
1892,8.136529094926459e-07,4.061996095039433e-07
1893,9.132931513278209e-07,3.6088320687355235e-07
1894,9.433404528635947e-07,3.944763506957827e-07
1895,8.32976233766658e-07,3.906080738858009e-07
1896,8.356090113181835e-07,4.228169698805573e-07
1897,7.883543489128897e-07,3.292093077034153e-07
1898,7.548245584132474e-07,3.6722722596138624e-07
1899,9.131559792763255e-07,3.5597605219095385e-07
1900,7.937120471979142e-07,3.9400094165031874e-07
1901,8.014251644539172e-07,3.1241049658348174e-07
1902,9.246064607282278e-07,3.09347871763066e-07
1903,8.678153768926222e-07,3.331935936046193e-07
1904,8.056562901259667e-07,3.4612587374027726e-07
1905,9.304848802571541e-07,3.080973032254519e-07
1906,9.300685839264133e-07,3.251124480740941e-07
1907,9.349689484849932e-07,3.455990866818581e-07
1908,9.120449426802679e-07,3.320099080106331e-07
1909,1.0127311131924444e-06,3.900197302897368e-07
1910,1.113186586465531e-06,4.2646323272776954e-07
1911,9.810770045248773e-07,3.697659973767031e-07
1912,9.845806303587779e-07,3.6257572544329264e-07
1913,1.0579464735371857e-06,3.3673984400905965e-07
1914,8.9066694108908e-07,3.535880739313768e-07
1915,9.80159395425062e-07,3.5224477867856763e-07
1916,1.0207352731939068e-06,2.977602253650957e-07
1917,1.0703230444164546e-06,3.2679944972358044e-07
1918,9.947202119775511e-07,3.5263174336108705e-07
1919,9.91685304541079e-07,3.802841259670231e-07
1920,9.525867525894682e-07,3.8542659996920747e-07
1921,9.60224394219722e-07,3.475891054982583e-07
1922,1.2358042376092726e-06,3.334826779166633e-07
1923,1.020192602396719e-06,3.418335356997204e-07
1924,1.0390649265445973e-06,3.4549554639440316e-07
1925,1.0822206597538298e-06,3.7943713593335815e-07
1926,9.541094705411979e-07,3.6447872009404136e-07
1927,1.040222681325531e-06,3.2109768399735117e-07
1928,1.058051392277548e-06,3.1421612467497084e-07
1929,8.411006682251809e-07,3.308700746718074e-07
1930,8.339860961825707e-07,3.266620645092644e-07
1931,8.371531841078195e-07,3.136472992437689e-07
1932,8.153895088014451e-07,3.6385660262538977e-07
1933,8.339171202464968e-07,2.6841349320960717e-07
1934,7.596321651703875e-07,2.4562238287728633e-07
1935,8.377798934589009e-07,3.470802285576724e-07
1936,9.20265847526025e-07,2.76443497426726e-07
1937,7.227301619394666e-07,3.1225971985904266e-07
1938,8.025467757022398e-07,2.1781560999301064e-07
1939,7.723495745182163e-07,2.171755149049659e-07
1940,5.959089808271756e-07,2.1807733219247893e-07
1941,9.91704826702744e-07,2.951502588999233e-07
1942,1.201547846108042e-06,3.6410539894227156e-07
1943,1.0741970033478765e-06,3.600011533322345e-07
1944,1.2306503300862914e-06,3.2774499736376583e-07
1945,1.0522174740401624e-06,2.8538404350797464e-07
1946,9.814378501005194e-07,2.8677475061300584e-07
1947,9.417487873975006e-07,2.6106708173045945e-07
1948,1.1067581375812097e-06,2.4787903729617256e-07
1949,9.659936104355893e-07,2.1008397332877848e-07
1950,9.061327865822477e-07,1.9569064901858724e-07
1951,8.422507349337138e-07,2.505429361754352e-07
1952,8.404208493573151e-07,2.066781563669906e-07
