year,divers_DET os_NOUN
1800,0.0
1801,7.143547975374531e-09
1802,1.5664880947952042e-08
1803,5.851017448321727e-09
1804,2.2246657849223084e-08
1805,0.0
1806,0.0
1807,2.2775640928784924e-08
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,2.9339290108509886e-08
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,1.449147024601416e-08
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,2.5064039732569654e-08
1823,1.087095569118901e-08
1824,9.263223965660927e-09
1825,2.0252519661312363e-08
1826,9.688782665051576e-09
1827,1.566936447261469e-08
1828,1.834460228167245e-08
1829,7.715858174606183e-09
1830,7.305785310052215e-09
1831,1.091384405071949e-08
1832,1.8941957335982806e-08
1833,1.6217080123226424e-08
1834,2.5203233944282033e-08
1835,3.100866052818674e-08
1836,2.419469957715137e-08
1837,1.0436836284100082e-08
1838,1.7674053776062237e-08
1839,6.9914751765765e-10
1840,5.7327197988676915e-09
1841,1.6051371787284552e-08
1842,5.366612043644636e-09
1843,1.3585895075607368e-08
1844,6.586273748609983e-09
1845,1.5066614622583074e-08
1846,1.3465353498887112e-08
1847,1.833696039454935e-08
1848,1.287235473768078e-08
1849,6.703531951757213e-09
1850,6.1100964288129944e-09
1851,1.2898877521649865e-08
1852,1.4323199959420663e-08
1853,5.3747388761848924e-09
1854,1.0391328908454511e-09
1855,1.0613874223963649e-08
1856,6.212626857404757e-09
1857,1.0739319655783675e-08
1858,4.893676130990343e-09
1859,2.4442431856286362e-08
1860,4.2567808833382514e-08
1861,1.4147891302940252e-08
1862,3.162590411776023e-09
1863,4.5950510507708486e-08
1864,1.3904710938206222e-08
1865,4.1890913848874334e-08
1866,2.9680237823015432e-08
1867,1.94112459439566e-08
1868,2.865126891293812e-08
1869,4.8835191446272574e-09
1870,1.6055336615750093e-08
1871,9.559059321873065e-09
1872,2.4794091668667306e-08
1873,2.1549615425442425e-08
1874,1.4936523129449597e-08
1875,2.4602566539577708e-08
1876,2.7207066821688386e-08
1877,2.6594708657512456e-08
1878,2.174071933591648e-08
1879,3.360128797424977e-08
1880,1.2835692508872398e-08
1881,5.5780060570498335e-09
1882,2.595600223642691e-08
1883,2.717315822353683e-08
1884,3.366865364284877e-08
1885,2.707166979476483e-08
1886,2.1296431285122708e-08
1887,1.6322312390570914e-08
1888,2.2192152115962926e-08
1889,2.5060547415023393e-08
1890,1.7696843102044113e-08
1891,1.466070642663908e-08
1892,1.3163876211308434e-08
1893,2.278614141815183e-08
1894,1.9534772022211655e-08
1895,9.629783193076946e-09
1896,5.897029087265082e-09
1897,1.2818770045441852e-08
1898,1.810673566637888e-08
1899,1.5477219506010442e-08
1900,4.671947717582725e-09
1901,5.58873880507349e-09
1902,1.129365245766678e-08
1903,1.4580594953628179e-08
1904,9.674325340824907e-09
1905,2.37394921498435e-08
1906,1.8519063615940468e-08
1907,1.6457098239719414e-08
1908,1.2278472905080662e-08
1909,7.151278402783845e-09
1910,2.244543306773039e-08
1911,1.5429084676554794e-08
1912,1.0418842677495377e-08
1913,1.113627856597077e-08
1914,8.036092347118995e-09
1915,3.06299816621447e-08
1916,1.7579938837997133e-08
1917,6.57985488317081e-09
1918,3.44591288836682e-09
1919,5.524709134618888e-09
1920,1.4387239843927091e-08
1921,3.7863738810983705e-09
