year,vos_DET boîtes_NOUN
1914,5.357394972094198e-09
1915,1.1780761921542648e-09
1916,5.493730803607377e-09
1917,4.386569774084137e-09
1918,1.378365155346728e-08
1919,3.6831393490643904e-09
1920,1.4387240288016301e-08
1921,8.330022005509363e-09
1922,4.426761179843197e-09
1923,1.8047112249064412e-08
1924,1.0313299547703991e-08
1925,5.499089184013428e-09
1926,5.57306911730393e-09
1927,3.3447675740205796e-09
1928,3.4278122562625413e-09
1929,1.2254447234738564e-08
1930,1.0503603875555712e-08
1931,4.5621426636444085e-09
1932,6.575721855917038e-09
1933,5.735331320977366e-09
1934,8.38710612072191e-09
1935,2.393656828303392e-09
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,2.1239483061208375e-08
1943,1.4516176038981143e-08
1944,0.0
1945,4.357008087652048e-09
1946,1.2528993842408909e-08
1947,1.3112957830685446e-08
1948,9.784699050996437e-09
1949,0.0
1950,1.1698897850465073e-08
1951,4.264560704569931e-09
1952,4.2179215675730575e-09
1953,5.386913581872932e-09
1954,9.772536557761669e-09
1955,5.631364707880948e-09
1956,6.976913269340912e-09
1957,9.718541527092839e-09
1958,5.790570245522986e-09
1959,1.2401196514133517e-08
1960,1.2457499920515147e-08
1961,5.55852741612739e-09
1962,1.0147130247162295e-08
1963,7.1126584622049904e-09
1964,3.041984220075733e-09
1965,4.377634699181954e-09
1966,4.431259803538978e-09
1967,1.2818872185960117e-08
1968,6.737123747768692e-09
1969,4.995933444718048e-09
1970,9.197449912790034e-09
1971,3.5968783507200897e-09
1972,1.1286323153836264e-08
1973,9.37244681864513e-09
1974,4.500457340128605e-09
1975,8.567220266542108e-09
1976,9.141642998145016e-09
1977,6.464460078348111e-09
1978,9.504946163474415e-09
1979,3.511183899185255e-09
1980,1.1938816379952755e-08
1981,1.8976649140967083e-09
1982,5.586751949948621e-09
1983,4.420721011477724e-09
1984,5.219107812592938e-09
1985,4.812446441349039e-09
1986,3.5966913891627428e-09
1987,4.277571630240118e-09
1988,1.3792074149421296e-08
1989,8.780995486290522e-09
1990,1.9615143953544134e-08
1991,3.5168792322792797e-09
1992,6.060938473329003e-09
1993,3.323524566667402e-09
1994,7.3848970827405935e-09
1995,9.760411145975922e-09
1996,5.3380921904988554e-09
1997,1.342570443707558e-08
1998,1.0489884516573511e-08
1999,3.1991407301035224e-09
2000,6.627047355323157e-09
2001,9.200544492937723e-09
2002,6.571832411594869e-09
2003,6.667076668520622e-09
2004,1.2773894830786503e-08
2005,1.3060874270998113e-08
2006,1.5647981743693862e-08
2007,1.797515772339331e-08
2008,1.702975893635994e-08
2009,1.764231316592202e-08
2010,2.267420740054149e-08
2011,3.097417433650662e-08
2012,3.2680826933528806e-08
2013,1.7292574483462886e-08
2014,2.2953718759044506e-08
2015,3.435691908748595e-08
2016,4.0391129996208974e-08
2017,2.9181090654972763e-08
2018,2.1684320117287825e-08
2019,2.7550666970022064e-08
