year,avais_VERB eu_VERB,avais_VERB bu_VERB
1800,1.320549074534938e-07,3.144164484325529e-09
1801,5.9529565277216534e-08,2.3811825844433088e-09
1802,1.0741632650024258e-07,0.0
1803,5.070882025393075e-08,0.0
1804,1.8291696335381857e-07,2.4718509461507665e-09
1805,1.051864728651708e-07,0.0
1806,1.9019016406218725e-07,2.881669125542885e-09
1807,9.964342950752325e-08,0.0
1808,9.744118045773575e-08,0.0
1809,1.5587310997489112e-07,0.0
1810,1.8018975822542416e-07,0.0
1811,1.0279014617253779e-07,5.0141535368197765e-09
1812,1.1735716043403954e-07,0.0
1813,1.4091133948568313e-07,0.0
1814,1.541871768040437e-07,0.0
1815,1.9150287755564932e-07,0.0
1816,6.257530316133852e-08,4.6352077731626196e-09
1817,1.9149543106777855e-07,0.0
1818,1.6928072454902576e-07,3.5763532135746345e-09
1819,6.314140676977331e-08,0.0
1820,1.4239776646718383e-07,8.306536791735653e-09
1821,2.1793889004584344e-07,0.0
1822,2.666813827545411e-07,2.0051231786055723e-09
1823,2.1346603773508832e-07,9.882686891060644e-10
1824,2.4168593881768174e-07,0.0
1825,1.2767893053933221e-07,2.641632912414593e-09
1826,1.4621254251778737e-07,9.688783109140786e-09
1827,1.769716391208931e-07,9.217273055917019e-10
1828,2.1463185362335935e-07,7.337841001486822e-09
1829,2.5976723350140674e-07,1.714635211591542e-09
1830,3.0162456710058905e-07,1.1480519646056564e-08
1831,1.2784788339104125e-07,9.354723218280014e-09
1832,1.7994858581005246e-07,1.3529969367098715e-09
1833,2.884323464513727e-07,8.108539617524002e-09
1834,2.4176435431400023e-07,9.334530925997342e-10
1835,2.3521204184362432e-07,2.2689263801112247e-09
1836,1.4852857077585213e-07,2.016224964762614e-09
1837,2.3239356039539416e-07,2.7831563720326358e-09
1838,1.5843527023662318e-07,1.8936485712828244e-09
1839,1.587064843988628e-07,3.4957374772659477e-09
1840,1.9554944685751252e-07,6.369688665408546e-10
1841,1.5024083666048682e-07,1.926164561183441e-09
1842,2.0594373495441687e-07,4.695785538189057e-09
1843,1.890211507316053e-07,6.497602011990011e-09
1844,1.531308555513533e-07,3.2931368743049916e-09
1845,1.4229581779545697e-07,3.348136878855712e-09
1846,1.299699334822435e-07,2.9272506640865004e-09
1847,1.5424619448367594e-07,3.235934187273415e-09
1848,1.5527277241744741e-07,8.045221711050488e-10
1849,1.1814974953949786e-07,8.379414939696517e-10
1850,2.0570658421092958e-07,6.788996032014438e-10
1851,1.883236109279096e-07,1.2898877521649865e-09
1852,1.386746220077839e-07,6.510545436100301e-10
1853,1.409375869343421e-07,9.555090940693844e-09
1854,1.3093074358039303e-07,2.5978321716024766e-09
1855,1.6610712805231742e-07,6.8990182455763716e-09
1856,1.7861303547306306e-07,2.5885946719483854e-09
1857,1.8403289914203924e-07,2.9289055625270066e-09
1858,1.888958962581455e-07,2.936205500958522e-09
1859,1.7109702810103045e-07,6.110608019582742e-09
1860,2.5128738911917026e-07,2.746310290291376e-09
1861,2.1882071621348587e-07,1.0846716413936974e-08
1862,2.2544750777342415e-07,8.584174260306554e-09
1863,1.8579989102818217e-07,0.0
1864,2.2295485280210414e-07,6.233146443435089e-09
1865,2.0145293433415645e-07,3.294791106611683e-09
1866,1.761351882123563e-07,5.838735717134114e-09
1867,2.309938338385109e-07,7.279217228983725e-09
1868,1.9710097376446356e-07,1.4819622196071691e-09
1869,2.2659529008706158e-07,1.6115613732381462e-08
1870,2.1846726383500936e-07,3.4404292748035914e-09
1871,2.2623108009156567e-07,3.18635318130589e-09
1872,2.648734493959637e-07,2.4189357183956872e-09
1873,2.603912037102418e-07,2.3944017879529156e-09
1874,2.945482435734448e-07,2.3898436563030145e-09
1875,2.1913449188559753e-07,0.0
1876,2.73884467105745e-07,3.02300739996042e-09
1877,1.94203224168632e-07,1.1132669008873108e-08
1878,2.5424563432352443e-07,4.831270938865373e-09
1879,2.7614149189503223e-07,3.665595160740054e-09
1880,2.400274468072894e-07,4.492492600149944e-09
1881,2.635607927459205e-07,6.972507571312292e-10
1882,2.715397044994461e-07,5.989846840748214e-09
1883,2.2244073250021756e-07,3.791603475633565e-09
1884,2.1587548815205082e-07,5.281357573494461e-09
1885,1.9659188410514616e-07,5.80107206715752e-09
1886,2.458769756685797e-07,8.38950331427668e-09
1887,2.448346663186385e-07,5.223139698529167e-09
1888,2.2001933075443958e-07,3.1703073499755874e-09
1889,2.518584949484648e-07,5.012109394186837e-09
1890,2.457894936469529e-07,3.9326319978272295e-09
1891,2.1672347827461635e-07,1.9122659011827636e-09
1892,2.60143252717171e-07,5.014809900671935e-09
1893,2.2355051498834655e-07,3.695050043717174e-09
1894,2.476504903370369e-07,1.2603078580752936e-09
1895,2.6301344746570976e-07,6.018614495673091e-09
1896,2.5652076374171884e-07,5.897029087265082e-09
1897,2.0043894721766264e-07,2.330685422435863e-09
1898,2.540601258260722e-07,5.092519295146758e-09
1899,1.9788730298841983e-07,1.1607914629507832e-08
1900,2.211388618889032e-07,5.191053142894475e-10
1901,2.0566558589507622e-07,7.265360757457984e-09
1902,2.170345396734774e-07,4.419255628107521e-09
1903,1.7172700950141007e-07,4.860198465905796e-09
1904,2.079979992686276e-07,4.837162670412454e-09
1905,2.0333391148597002e-07,1.0321518084666081e-09
1906,1.7798878104713367e-07,8.745113966313056e-09
1907,1.9439947607224894e-07,9.771402353919711e-09
1908,1.7582772215973819e-07,3.929111258571538e-09
1909,1.6447940254238347e-07,6.0510818578052294e-09
1910,2.062842128225384e-07,3.740905363258662e-09
1911,2.11218846857264e-07,3.7242617878519013e-09
1912,2.0212554829868168e-07,1.5628263128064646e-09
1913,1.8984702876423398e-07,1.060597942803554e-09
1914,1.553644608520699e-07,3.3483718020477227e-09
1915,1.5668413766434242e-07,1.1780761921542648e-09
1916,1.648119365427192e-07,4.394984820521586e-09
1917,1.7436614996313438e-07,4.386569774084137e-09
1918,1.7689019671252026e-07,3.44591288836682e-09
1919,1.6113735057388112e-07,8.287063479883727e-09
1920,1.915774561211947e-07,2.2716695191604686e-09
1921,1.885614153707138e-07,0.0
1922,2.257648219483599e-07,9.591316185719734e-09
1923,2.717682718866854e-07,6.369568872344189e-09
1924,2.552541502609529e-07,1.0313299547703991e-08
1925,2.188637466815635e-07,5.499089184013428e-09
1926,2.831119161328388e-07,8.916910765321973e-09
1927,2.5197249442499015e-07,1.0034302277972529e-08
1928,2.570859294337424e-07,4.570416489713125e-09
1929,2.707118653688667e-07,7.798284684668033e-09
1930,2.4578432089583657e-07,8.402882833991043e-09
1931,1.9503160331169056e-07,1.3686427990933225e-08
1932,2.564531484949839e-07,2.1919073223131136e-09
1933,2.213837859699197e-07,1.1470662197865522e-09
1934,1.941016023465636e-07,4.7926320689839486e-09
1935,2.1901959712522512e-07,2.393656828303392e-09
1936,1.7217094239185826e-07,6.0623572828433225e-09
1937,1.9768054926316836e-07,2.5182236296217297e-09
