year,certains_DET aveux_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,9.751696339321825e-09
1804,0.0
1805,0.0
1806,0.0
1807,1.9928686256776018e-08
1808,2.039466551195801e-08
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,1.4378708002027452e-08
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,9.341240669868967e-09
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,1.4239777357261119e-08
1821,0.0
1822,9.023054303725075e-09
1823,9.882686891060644e-10
1824,5.052667617633233e-09
1825,8.805443485471187e-09
1826,7.927186018719112e-09
1827,8.295545583791863e-09
1828,9.172301140836225e-09
1829,1.5431716349212365e-08
1830,1.0436835395921662e-08
1831,4.677361609140007e-09
1832,1.352996914505411e-08
1833,4.6334514003376626e-09
1834,2.333632664885954e-08
1835,5.294161553592858e-09
1836,1.2769425516978572e-08
1837,2.7831563720326358e-09
1838,6.943378316748294e-09
1839,9.088918062616358e-09
1840,6.369688554386244e-09
1841,1.2841097074556274e-08
1842,4.024959032733477e-09
1843,1.4176587015413133e-08
1844,1.0977122322231025e-08
1845,1.674068350610014e-08
1846,1.9905304293743598e-08
1847,6.47186837454683e-09
1848,1.045878850192139e-08
1849,5.02764896381791e-09
1850,4.752297222410107e-09
1851,1.0319102017319892e-08
1852,7.812654523320361e-09
1853,4.180352064508952e-09
1854,2.338049043260071e-08
1855,9.021793090369101e-09
1856,1.0872097000458325e-08
1857,6.8341128311999455e-09
1858,1.4191660291373864e-08
1859,9.675129142294736e-09
1860,1.327383358784573e-08
1861,1.839225838295988e-08
1862,6.325180823552046e-09
1863,1.6482248454963155e-08
1864,2.01378568265298e-08
1865,1.9298061815220535e-08
1866,1.1190909532388105e-08
1867,9.220341823379385e-09
1868,9.87974857480367e-09
1869,7.325278494896281e-09
1870,1.204150201772336e-08
1871,1.274541272522356e-08
1872,4.233137618214755e-09
1873,2.6338419445437466e-08
1874,1.9118749250424116e-08
1875,9.154443425529735e-09
1876,2.1765654167893445e-08
1877,8.658742167710898e-09
1878,1.8117265909722846e-08
1879,1.710611030603104e-08
1880,1.9253538763308597e-09
1881,4.183504653809678e-09
1882,9.983077475794744e-09
1883,1.4534479397809719e-08
1884,1.386356363042296e-08
1885,1.0957580731663086e-08
1886,2.2587123726935943e-08
1887,1.2404956617473317e-08
1888,1.521747527988282e-08
1889,3.195219688834072e-08
1890,2.6217546356122057e-08
1891,2.103492580118882e-08
1892,1.5044429257926595e-08
1893,1.601188270861087e-08
1894,1.3233232287745977e-08
1895,2.888934913514163e-08
1896,1.7691086817706037e-08
1897,1.806281169081103e-08
1898,2.8857609635224435e-08
1899,1.879376654301268e-08
