year,six_DET eaux_NOUN,six_DET beaux_ADJ
1800,3.144164484325529e-09,4.0874139628499506e-08
1801,0.0,9.048494042929178e-08
1802,0.0,6.489736392722989e-08
1803,0.0,9.16659450567181e-08
1804,0.0,3.213406074564773e-08
1805,0.0,1.7057266488151868e-08
1806,5.76333825108577e-09,3.7461697743879085e-08
1807,2.8469550272802735e-08,3.98573707371952e-08
1808,4.5321479902327155e-09,4.985362700438145e-08
1809,2.259030518203531e-09,4.0662548883574345e-08
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,2.5070767684098882e-09,3.008492077682945e-08
1812,0.0,1.600324850414836e-08
1813,0.0,2.5881674803329702e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,2.6972235778188747e-08
1816,0.0,4.4034473845044886e-08
1817,7.784366928831332e-09,1.401186056071424e-08
1818,0.0,2.7418708414828075e-08
1819,0.0,4.450951429646466e-08
1820,9.493184904840746e-09,4.034603584557317e-08
1821,0.0,7.889190412058156e-09
1822,0.0,2.3058916553964082e-08
1823,0.0,6.028438837013539e-08
1824,1.6842225392110777e-09,5.642145417539268e-08
1825,1.7610886082763955e-09,3.522177305370633e-08
1826,5.284790383086602e-09,6.694067966606099e-08
1827,1.8434546111834038e-09,2.4886637361998254e-08
1828,0.0,2.109629315683037e-08
1829,0.0,4.629515226728387e-08
1830,1.1480518979922749e-08,3.235419132607831e-08
1831,3.1182412207897414e-09,4.67736174236677e-08
1832,1.2176972319366541e-08,1.2176972430388844e-08
1833,4.6334514003376626e-09,2.3167256557599103e-08
1834,0.0,4.2005387612675804e-08
1835,4.5378527602224494e-09,2.7227116561334697e-08
1836,0.0,2.5538850312312178e-08
1837,1.3915781860163179e-09,3.270208637218275e-08
1838,0.0,3.9135404250600914e-08
1839,2.7965900706306e-09,4.1249702320556025e-08
1840,4.458782232319436e-09,3.121147429396842e-08
1841,6.420548537278137e-09,2.6966304744746594e-08
1842,0.0,3.8237111255057243e-08
1843,0.0,3.8394921131335025e-08
1844,0.0,3.0735943123971765e-08
1845,3.9061593959388574e-09,5.5802278353667134e-08
1846,3.5127007969038004e-09,4.390875929516369e-08
1847,1.0786447290911383e-09,2.8584084432736745e-08
1848,3.218088684420195e-09,2.333114235142375e-08
1849,6.703531951757213e-09,1.1731180915575123e-08
1850,2.7155984128057753e-09,3.8018377779280854e-08
1851,6.449438760824933e-10,4.772584594192608e-08
1852,1.9531636308300904e-09,2.018269151804475e-08
1853,4.777545470346922e-09,2.448492031348337e-08
1854,3.63696517347023e-09,3.740878506963696e-08
1855,3.714855978387277e-09,4.0332722051061864e-08
1856,4.1417513307884235e-09,2.692138334481342e-08
1857,1.171562147295191e-08,4.881509152454555e-08
1858,2.4468380654951716e-09,2.2021542589456544e-08
1859,4.582956236731661e-09,3.360834321952666e-08
1860,5.950338888283113e-09,2.1970483210509428e-08
1861,2.8295783494058924e-09,2.735258980424149e-08
1862,1.490935552794781e-08,3.117410596331638e-08
1863,9.989241656072068e-10,5.344244291549671e-08
1864,1.438418395505181e-08,3.787835112234461e-08
1865,6.118897832863013e-09,1.8827377212815577e-08
1866,1.9462451650298362e-09,2.5301186923343266e-08
1867,2.91168689159349e-09,3.299911632836938e-08
1868,3.4579118457500613e-09,3.112120694481746e-08
1869,6.836927024522765e-09,2.6371003603031795e-08
1870,5.160643912205387e-09,4.0711747750776794e-08
1871,1.3807530452325523e-08,2.0180236148803488e-08
1872,1.2094678591978436e-09,2.237515595027162e-08
1873,1.5563611288627044e-08,2.1549615425442425e-08
1874,1.1949218059470468e-08,3.465273312741601e-08
1875,3.4329162346136144e-08,4.3483607381489264e-08
1876,3.023007311142578e-08,1.0278225159865428e-08
1877,1.7935966489801558e-08,4.638611805773962e-08
1878,9.662542099775351e-09,3.200716935936043e-08
1879,2.1993571408529533e-08,4.215434512566674e-08
1880,7.059630879879819e-09,2.7596738449986447e-08
1881,2.5101027978369217e-08,4.9504802035471585e-08
1882,3.3276926103553706e-08,2.2628309670480462e-08
1883,3.4756364897248204e-08,2.5277355319985872e-08
1884,1.3203393933736152e-08,5.94152735899911e-08
1885,3.158361505661844e-08,3.351730637479733e-08
1886,3.355801270199521e-08,4.194751679342801e-08
1887,2.350412819929204e-08,1.566941915109865e-08
1888,8.242799331981132e-09,1.8387782851903012e-08
1889,2.568706025662948e-08,2.06749512510207e-08
1890,1.507508856635198e-08,3.8015439685068486e-08
1891,1.5935549768641977e-08,1.2748440525456317e-08
1892,9.402768785804483e-09,5.20286516092483e-08
1893,3.695049988206023e-09,4.310891643655168e-08
1894,6.9316934414587195e-09,2.772677198947804e-08
1895,1.023164486468886e-08,4.032471689896511e-08
1896,4.717623069971921e-09,2.240871044278947e-08
1897,1.0488084178916779e-08,3.262959635819129e-08
1898,1.5277557885440274e-08,1.98042420240796e-08
1899,4.9748205555033564e-09,1.6029977345510815e-08
1900,7.26747462209687e-09,1.6092264409905965e-08
1901,1.2854099562531474e-08,1.788396475355114e-08
1902,4.4192554615740676e-09,1.620393641488249e-08
1903,3.7801541896698154e-09,1.566063878577495e-08
1904,8.599400302955473e-09,3.708491380649548e-08
1905,2.3223416079076742e-08,1.8578732330354342e-08
1906,7.716276506641861e-09,1.5946971465563564e-08
1907,8.228549286393161e-09,1.4399961223432456e-08
1908,9.331639239107403e-09,1.5225305904920106e-08
1909,7.70137675853988e-09,1.8153246017504898e-08
1910,6.947395769785203e-09,1.4963622230190765e-08
1911,1.4365010514438836e-08,2.181353409014264e-08
1912,6.251305473270463e-09,3.4903121726159725e-08
1913,1.113627856597077e-08,1.4848371199249755e-08
1914,5.357394972094198e-09,2.9465671680384276e-08
1915,1.1780761921542648e-09,3.7698437260758055e-08
1916,0.0,3.845611873387611e-08
1917,6.579854550103903e-09,2.3029492091097836e-08
1918,9.189101035644853e-09,2.6418664589300533e-08
1919,5.524709134618888e-09,2.394040587994084e-08
1920,4.543339038320937e-09,9.086678076641874e-09
1921,7.572747429129834e-09,2.0446417892117097e-08
1922,2.21338064543275e-09,2.5084979871081714e-08
1923,5.307974060286824e-09,2.5478276377555176e-08
1924,1.9337436318878076e-08,2.0626598873363378e-08
1925,1.9796719818998554e-08,2.639562701745035e-08
1926,1.4489979882625903e-08,2.4521504493613122e-08
1927,6.689534814974252e-09,3.1217829654650586e-08
1928,9.140832757381645e-09,2.5137290915466792e-08
1929,1.559656870320225e-08,2.7851015271807e-08
1930,1.470504518152893e-08,2.730937009864931e-08
1931,2.5091784650044247e-08,1.596749932275543e-08
1932,4.383814644626227e-09,8.767629400274757e-09
1933,1.261772863969668e-08,1.9500125736371388e-08
1934,8.38710612072191e-09,2.516131836216573e-08
1935,1.795242621227544e-08,7.180970484910176e-09
1936,2.424942913137329e-09,2.182448666232517e-08
1937,6.295559185076627e-09,1.888667666705146e-08
1938,1.2965214457594243e-09,1.1668692678767911e-08
1939,4.588215141154706e-09,7.647025235257843e-09
1940,0.0,2.5357829613881222e-08
1941,5.9030051957620344e-09,1.1806010391524069e-08
1942,6.068423541449874e-09,1.8205270180260413e-08
1943,2.9032352077962287e-09,2.0322646676618206e-08
1944,0.0,2.2492303131116387e-08
1945,2.178504043826024e-09,1.9606535950345005e-08
1946,1.3921104269343232e-09,1.9489545977080525e-08
1947,1.1920870957027319e-09,1.3112957830685446e-08
1948,7.61032148410834e-09,7.610321706152945e-09
1949,3.9268033269479474e-09,1.3743811866362421e-08
1950,4.2541445921528975e-09,7.444753258312176e-09
1951,4.264560815592233e-09,1.2793682113709792e-08
1952,7.381362632230548e-09,1.370824520563474e-08
1953,1.0773827385790469e-09,1.8315506888910704e-08
1954,9.772536113672459e-09,8.795282502305213e-09
1955,2.815682353940474e-09,9.385607846468247e-09
1956,2.093073958597813e-08,6.104799332717903e-09
1957,1.7670075402875796e-09,5.3010225653515874e-09
1958,4.1361216673863055e-09,1.8198935525237658e-08
1959,5.425523363911111e-09,9.300897829689347e-09
1960,5.536666680683311e-09,5.536666680683311e-09
1961,5.558527582660844e-09,1.876002952982958e-08
1962,3.805173787174709e-09,1.2049717224016376e-08
1963,5.1728425987107585e-09,8.405869333927285e-09
1964,7.30076216148845e-09,1.6426714100070683e-08
1965,6.019247544841733e-09,1.915215097625378e-08
1966,8.862519607077957e-09,1.1078149175780538e-08
1967,3.944268356370628e-09,2.218650951846257e-08
1968,5.838840466676487e-09,2.155879541554384e-08
1969,9.083515495333927e-09,1.1808570121729645e-08
1970,9.197450051567913e-09,1.2876429700270364e-08
1971,1.4387512958791149e-08,8.735275613958038e-09
