year,ces_DET os_NOUN,ces_DET bosses_NOUN
1800,1.9242286555254395e-06,1.509198996885175e-07
1801,2.133539481974367e-06,2.3811825400343878e-08
1802,1.6492882082275173e-06,4.699464284385613e-08
1803,2.6836667075258447e-06,6.631153492975272e-08
1804,1.7327675152500888e-06,1.9774808235339947e-08
1805,3.3545957194291987e-06,3.695740957709859e-08
1806,2.9738825446656847e-06,7.492339904047185e-08
1807,2.3003397870979825e-06,0.0
1808,1.1330370455198135e-06,4.98536292248275e-08
1809,1.1114430265024566e-06,1.3554183553310395e-08
1810,1.2870697361222483e-06,1.6380887757350138e-08
1811,5.289931870322562e-07,4.011322740637979e-08
1812,3.790102823586494e-06,1.4136203674297576e-07
1813,1.5701548932156584e-06,9.489947316865255e-08
1814,1.3750978880011644e-06,6.293354282149721e-09
1815,2.0876509765344053e-06,6.473336533474594e-08
1816,1.7266148404360138e-06,3.7081662185300956e-08
1817,1.1443020042634089e-06,3.113746738225842e-08
1818,2.4509941738415364e-06,1.907388313959757e-08
1819,1.79797741850507e-06,2.070210003424222e-09
1820,1.7087733255038984e-06,2.254631414899677e-08
1821,2.14191521763496e-06,3.944595206029078e-08
1822,2.3129095865215277e-06,4.110502516141423e-08
1823,1.8243440536025446e-06,5.138997138942614e-08
1824,1.4273786064222804e-06,1.2631669044083083e-08
1825,2.463762996285368e-06,4.3146671124816294e-08
1826,1.3423367732912084e-06,3.435113882233054e-08
1827,1.6167096674735149e-06,3.686909388900261e-08
1828,2.415984155845763e-06,2.6599674129990092e-08
1829,2.4965087845885137e-06,3.429270423183084e-08
1830,1.508122792870381e-06,3.9659974859773683e-08
1831,1.701000627463145e-06,2.8064171431196883e-08
1832,1.339467004868311e-06,2.3000947368956304e-08
1833,2.5449231770835468e-06,5.6759780875381693e-08
1834,2.481118414721095e-06,3.640467172161266e-08
1835,2.6478369932192436e-06,5.8235777089521434e-08
1836,1.684892055209275e-06,1.68018754465038e-08
1837,2.2265251971020916e-06,5.218418319685725e-08
1838,1.3848882787215189e-06,2.840472923537618e-08
1839,1.4968748729415893e-06,2.4470163229040054e-08
1840,1.0006781110405427e-06,4.0766005682257855e-08
1841,1.5197438614222847e-06,4.17335659363971e-08
1842,9.61294389867362e-07,5.366612043644636e-08
1843,1.4158865440094814e-06,3.071593779324644e-08
1844,9.989181748437659e-07,5.2690188656612236e-08
1845,1.6556536479583883e-06,3.12492769438677e-08
1846,1.3336554047782556e-06,2.985795699572691e-08
1847,9.421961877364993e-07,1.6179670936367074e-08
1848,8.664703941008156e-07,3.2985409736951965e-08
1849,1.1756318798461507e-06,2.513824481908955e-09
1850,1.0719824672378309e-06,1.6972490080036096e-08
1851,9.69350622881393e-07,4.450112900400427e-08
1852,1.2402588680515692e-06,3.3854837155899986e-08
1853,1.1513884743408198e-06,3.2248432368930935e-08
1854,1.0542003252567156e-06,1.6106559475037585e-08
1855,1.1712410525888117e-06,3.3964397516683675e-08
1856,7.827910266655635e-07,6.73034605824796e-09
1857,9.611691211830475e-07,4.100467743128888e-08
1858,6.816890447680635e-07,8.31924928945682e-09
1859,6.482336587509963e-07,2.7497736532211547e-08
1860,8.554756547596298e-07,8.238931398230065e-09
1861,8.021854256412553e-07,2.216503003360515e-08
1862,7.346245496364645e-07,2.4397126985320483e-08
1863,6.862609254199015e-07,2.6471489888990618e-08
1864,1.2686849544252254e-06,1.4384183621984903e-08
1865,1.0477435665734447e-06,1.88273783230386e-08
1866,8.651060028341817e-07,5.352174259343201e-09
1867,1.3587871876552526e-06,2.038180824115443e-08
1868,1.2497881840545233e-06,1.2843673014018009e-08
1869,1.1232094436763873e-06,2.002242827092715e-08
1870,1.1462363858072422e-06,4.4152174805134337e-08
1871,1.4253620150839197e-06,2.2304472047096624e-08
1872,1.3080395007136758e-06,1.6932549362635996e-08
1873,1.1463198674732666e-06,2.813422161906942e-08
1874,1.39566868995189e-06,2.7483202380551575e-08
1875,9.28031703040233e-07,2.6891177951071654e-08
1876,9.758267793813502e-07,1.2092029377797076e-08
1877,9.15352742936193e-07,4.576763856789512e-08
1878,7.566978084128095e-07,2.8987624745013818e-08
1879,8.381994405226578e-07,3.421222061206208e-08
1880,7.18156982770779e-07,1.4119262203848848e-08
1881,6.191586692239071e-07,1.6036767080951364e-08
1882,8.126225026217071e-07,2.2628309892525067e-08
1883,7.204046283959542e-07,3.033282736097931e-08
1884,7.024205572747633e-07,3.6309332429596e-08
1885,7.683197793539875e-07,2.4493415351489745e-08
1886,6.847125035847057e-07,1.5488313243050555e-08
1887,5.353718250944439e-07,9.793386546164129e-09
1888,6.055286831951889e-07,3.29711959956569e-08
1889,6.020796519123905e-07,3.007265680921023e-08
1890,5.033768815110307e-07,1.6385966361553983e-08
1891,6.087379986752239e-07,1.2748440081367107e-08
1892,4.6449675750181996e-07,2.6327752422616868e-08
1893,6.521763182831819e-07,2.0322774796355247e-08
1894,4.5938222115182725e-07,1.764431045714332e-08
1895,4.321365132398114e-07,2.2268873411945833e-08
1896,3.980494618360808e-07,2.4177817969928128e-08
1897,5.092547752383325e-07,2.2141511735185304e-08
1898,4.4587835645870655e-07,2.6028433075531154e-08
1899,4.377842053315817e-07,1.1607914629507832e-08
1900,4.1839887643391194e-07,2.5955266158561585e-08
1901,3.319711012750304e-07,2.2913829500481597e-08
1902,3.319351833397377e-07,4.1246383641890816e-08
1903,4.843997558623414e-07,2.9161189463167148e-08
1904,3.547252589441996e-07,1.3974025492302644e-08
1905,3.277081930264103e-07,2.167518831086568e-08
1906,4.058761611247519e-07,4.012463827862689e-08
1907,3.7645613559789126e-07,3.239991386294605e-08
1908,4.267997084639319e-07,2.6030361421902626e-08
1909,3.8396864354695026e-07,2.9155213354670195e-08
1910,3.0942631212838023e-07,2.1911018444065178e-08
1911,3.5859320490772006e-07,1.0640748393520028e-08
1912,3.5111498775108885e-07,2.70889900511051e-08
1913,3.372701478099316e-07,3.075734023028076e-08
1914,4.1318908472476323e-07,3.4823067984746103e-08
1915,4.7358663834984327e-07,2.4739600146261864e-08
1916,2.351316901183509e-07,2.5271162051865304e-08
1917,3.202195983931233e-07,3.9479127189601115e-08
1918,4.2155000556931554e-07,1.4932289182922887e-08
1919,2.0257266619694292e-07,2.0257266752921055e-08
1920,3.097042728938959e-07,1.3630016670873601e-08
1921,3.05181711013347e-07,1.8931868517313433e-08
1922,2.5158760053045626e-07,1.9920426641562017e-08
1923,2.4841319046231547e-07,4.4586981218230903e-08
1924,2.0368766229239554e-07,1.1602461880144688e-08
1925,2.8045354838468484e-07,1.9796720707176974e-08
1926,3.243526265350738e-07,1.8948435376309192e-08
1927,2.642366254690387e-07,1.4493992228636898e-08
1928,2.159521805822351e-07,1.3711249802206282e-08
1929,2.0164135605682532e-07,3.676334037194806e-08
1930,1.8066198670396716e-07,1.3654684494213143e-08
1931,2.3152874106813215e-07,2.167017765231094e-08
1932,2.5535720382663385e-07,1.9727166122862627e-08
1933,2.1450138731893276e-07,1.3764795081527836e-08
1934,2.7437818062026054e-07,4.912447693072863e-08
1935,2.6449907153391905e-07,1.795242621227544e-08
1936,1.8187071759712126e-07,8.487300195980652e-09
1937,2.883366079231564e-07,1.5109341999774983e-08
1938,2.3467038712254862e-07,3.111651514231539e-08
1939,2.202343321044964e-07,1.988226472349197e-08
1940,2.966866041731464e-07,3.803674442082183e-08
1941,3.6893783317282214e-07,5.607854980382854e-08
1942,2.3060009013420313e-07,2.730790527039062e-08
1943,3.774205836748479e-07,3.4838823381733164e-08
1944,2.6669444608273807e-07,6.4263723231761105e-09
1945,2.6577749423495334e-07,4.1391576832694454e-08
1946,1.8654279543284247e-07,1.1136883415474585e-08
1947,2.3364907875134122e-07,2.0265480182857232e-08
1948,2.6309968959026264e-07,3.696441863709765e-08
1949,1.452917253175201e-07,1.472551192094329e-08
1950,2.244061256817531e-07,4.041437207114029e-08
1951,3.283711720314386e-07,2.1322803078760444e-08
1952,5.13531958290514e-07,3.585233332437099e-08
1953,2.294825200976902e-07,3.770839640537815e-08
1954,2.277000916706129e-07,1.2704297169818801e-08
1955,3.2380345516003217e-07,2.815682398349395e-08
1956,2.4070350335136936e-07,2.4419195998603982e-08
1957,2.685851470118905e-07,1.943708272111877e-08
1958,2.705023653959415e-07,1.9853384713997002e-08
1959,2.356227284394663e-07,3.95288145549344e-08
1960,1.3634041451382473e-07,2.7683332515238135e-08
1961,2.2789961917624169e-07,2.709782132015448e-08
1962,1.953322623649001e-07,2.663621634368951e-08
1963,1.357871219909157e-07,2.9743844720542256e-08
1964,1.6974270877767594e-07,2.0685492874150668e-08
1965,1.8495506637350445e-07,2.736021775806563e-08
1966,2.570130632761902e-07,1.9940669115925402e-08
1967,2.06088021315054e-07,2.465167892040654e-08
