year,ces_DET ans_NOUN,ces_DET bancs_NOUN
1800,6.288328968651058e-09,8.143386196479696e-07
1801,2.3811825844433088e-09,8.143644194547051e-07
1802,2.2378401354217203e-08,5.773627549388038e-07
1803,7.801356893821776e-09,1.1624021709621957e-06
1804,4.943701892301533e-09,5.709975425816083e-07
1805,1.1371510844071508e-08,4.918178362345316e-07
1806,2.0171682990621775e-08,5.475171285240776e-07
1807,5.693910232196231e-09,9.5372995190246e-07
1808,2.7192887053217873e-08,8.656402883389092e-07
1809,1.581321384946932e-08,5.195770071964034e-07
1810,4.680253518074551e-09,4.469642149729225e-07
1811,2.2563691359778204e-08,1.0404368708805123e-06
1812,1.0668832928217853e-08,8.96181973075727e-07
1813,1.1502966579257645e-08,6.067814837251717e-07
1814,6.293354282149721e-09,7.080023323169371e-07
1815,3.776112933451259e-08,7.336447964689796e-07
1816,4.6352077731626196e-09,7.856676944584251e-07
1817,1.71256075987003e-08,9.481359057872396e-07
1818,1.1921177378582115e-09,4.3631509782926514e-07
1819,1.0351050350188018e-08,5.44465237339864e-07
1820,1.0679833017945839e-08,3.3463476611927945e-07
1821,2.1695273910715684e-08,4.772960444654473e-07
1822,5.413832582235045e-08,8.922798429011891e-07
1823,7.510842370272997e-08,4.1902590908193815e-07
1824,1.2631669044083083e-08,4.96003536909484e-07
1825,4.402721520690989e-09,6.269475463227536e-07
1826,1.7615968683770689e-09,5.980621153867105e-07
1827,6.452091305675367e-09,5.336800938948727e-07
1828,1.0089531543577834e-08,5.475863815718185e-07
1829,8.57317605795771e-10,6.85854104176542e-07
1830,3.7572609246083744e-08,5.281038966131746e-07
1831,1.5591206103948707e-09,5.082733061101408e-07
1832,2.3000947813045514e-08,6.129076055572114e-07
1833,1.50587169400751e-08,7.90003440442888e-07
1834,1.1201437333241415e-08,7.028901798378229e-07
1835,3.2521278114927554e-08,7.510146389222427e-07
1836,1.6801875613037254e-08,4.933030517406678e-07
1837,1.1132625044041333e-08,5.378449827730947e-07
1838,6.122797135965641e-08,4.82249170374871e-07
1839,3.845311480343838e-08,6.25037856138988e-07
1840,1.5287252685958208e-08,4.5734363851579474e-07
1841,1.8619591202195807e-08,5.727129419597077e-07
1842,4.293289501688946e-08,5.400153284540465e-07
1843,5.316220019757623e-09,5.03859503453441e-07
1844,1.152597861597826e-08,5.033010808119798e-07
1845,1.0044410192477926e-08,6.227534541380919e-07
1846,1.3465352610708692e-08,6.486787711423858e-07
1847,1.1325769655456952e-08,5.900186508256411e-07
1848,7.401603796530765e-08,1.352401824306071e-06
1849,9.217356433666168e-09,1.7362148270194666e-06
1850,1.0862393651223101e-08,8.737437724448682e-07
1851,1.6768540778144825e-08,1.0119169644440262e-06
1852,2.864639925270751e-08,4.6550400867317876e-07
1853,1.7915795735845563e-08,5.374738591967798e-07
