year,ces_DET eaux_NOUN,ces_DET beaux_ADJ
1800,5.684649579507095e-06,3.952214740365889e-06
1801,5.643402516852802e-06,4.933810487273149e-06
1802,6.4516930251556914e-06,3.999020350420324e-06
1803,6.761826284673589e-06,3.5379152478753895e-06
1804,5.571551923821971e-06,4.441915962161147e-06
1805,5.142765701293683e-06,4.707805658199504e-06
1806,5.339733093023824e-06,4.694238953106833e-06
1807,6.146575913135166e-06,3.752286772851221e-06
1808,5.429513464605407e-06,3.7526186247305304e-06
1809,5.292908269893815e-06,2.8463784929044778e-06
1810,5.354210145469551e-06,4.287112460588105e-06
1811,7.263001293722482e-06,4.708290248345293e-06
1812,6.075900216728769e-06,3.5340509469961034e-06
1813,5.115944532008143e-06,3.706831080307893e-06
1814,6.104553847308125e-06,3.401557975735159e-06
1815,9.742371503307368e-06,3.1395681219237304e-06
1816,5.126539804223285e-06,3.2261046953863115e-06
1817,4.107031941202877e-06,4.186432732922185e-06
1818,4.881721963556629e-06,3.979288948130488e-06
1819,4.499601629959216e-06,3.955136122613112e-06
1820,3.7462481827787997e-06,3.832873431974804e-06
1821,3.828229665714389e-06,4.012639550410313e-06
1822,5.578252512350446e-06,3.918010648362724e-06
1823,3.3670313541733776e-06,3.619040015223618e-06
1824,3.2926551227774326e-06,4.452242393426786e-06
1825,3.863828311523321e-06,4.015282030422895e-06
1826,5.975336648589291e-06,3.1268345423995925e-06
1827,4.558863054171525e-06,2.986396452797635e-06
1828,3.9239105262822704e-06,2.832406579500457e-06
1829,4.626085683412384e-06,3.4712790011326433e-06
1830,4.214394380142039e-06,3.181147562258957e-06
1831,5.174721195544407e-06,3.143187186083196e-06
1832,3.6436207437873236e-06,3.394669192857691e-06
1833,6.72777133559066e-06,3.7855298558042705e-06
1834,3.985844699627705e-06,3.414571523308041e-06
1835,4.484911244162504e-06,3.414734294437949e-06
1836,3.472611638244416e-06,3.817386016180535e-06
1837,4.68266074449275e-06,3.26046777843203e-06
1838,4.6318646127474494e-06,3.378269113341048e-06
1839,3.5265000803974544e-06,3.0475839309929142e-06
1840,4.054306941725372e-06,3.230069225423904e-06
1841,3.982024338711199e-06,3.5113980345613527e-06
1842,3.382978036370332e-06,3.044210686198312e-06
1843,3.3887948802657775e-06,3.0639148320688037e-06
1844,3.5006043503926776e-06,3.2102594218486047e-06
1845,3.841986853103663e-06,3.1751496862852946e-06
1846,4.366872587979742e-06,3.2627136761220754e-06
1847,3.4074387258442584e-06,2.6335110732134126e-06
1848,4.2366138472971215e-06,2.9727094386089448e-06
1849,4.424331052632624e-06,2.921063924077316e-06
1850,3.560828531590232e-06,2.828974544399898e-06
1851,4.572652017031942e-06,2.9886699337566824e-06
1852,4.258547846802685e-06,3.0775349415534947e-06
1853,4.6945356189098675e-06,3.2361897694954678e-06
1854,4.657913279970671e-06,3.632288979815712e-06
1855,4.0794425331114326e-06,3.5991646996080817e-06
