year,serez_VERB à_ADP,serez_VERB a_ADP
1800,2.389564883742423e-07,0.0
1801,4.071822274909209e-07,2.3811825844433088e-09
1802,2.886813774694019e-07,0.0
1803,3.3155765777337365e-07,0.0
1804,4.894264975519036e-07,0.0
1805,5.628897952192347e-07,0.0
1806,3.8326200524352316e-07,0.0
1807,3.188589801084163e-07,0.0
1808,1.8128591250388126e-07,4.5321479902327155e-09
1809,3.162642769893864e-07,0.0
1810,5.429093903330795e-07,0.0
1811,2.1811567307850055e-07,0.0
1812,3.173977916048898e-07,0.0
1813,3.105801056335622e-07,0.0
1814,2.8320093292677484e-07,9.440031423224582e-09
1815,2.939973740012647e-07,0.0
1816,3.4995818509742094e-07,0.0
1817,5.044269641985011e-07,3.113746815941454e-09
1818,5.030736929256818e-07,1.1921177378582115e-09
1819,3.9955054376150656e-07,0.0
1820,4.153268378104258e-07,1.1866481131050932e-09
1821,7.189024699982838e-07,2.9584464877885353e-09
1822,5.363704644878453e-07,3.0076847679083585e-09
1823,4.2693207547017664e-07,1.1859224713361982e-08
1824,3.4694983241934096e-07,1.6842225392110777e-09
1825,4.050503719099652e-07,4.402721520690989e-09
1826,4.0516727040085243e-07,2.6423953025656033e-09
1827,4.1201209910468606e-07,0.0
1828,3.210305408174463e-07,9.172301251858528e-10
1829,2.571952677499212e-07,2.571952817387313e-09
1830,3.078866654959711e-07,2.0873671680021744e-09
1831,4.3031730001530377e-07,1.5591206103948707e-09
1832,3.7342715586419217e-07,0.0
1833,4.343860666722321e-07,5.791814139399776e-09
1834,2.931042786258331e-07,9.334530925997342e-10
1835,3.350448025685182e-07,3.025235173481633e-09
1836,3.676250344142318e-07,3.36037508930076e-09
1837,3.6668086522695376e-07,0.0
1838,3.6168688666293747e-07,3.1560809521380406e-09
1839,3.915226045592135e-07,1.3982950353153001e-08
1840,3.605243819038151e-07,3.821813088222825e-09
1841,2.998396269049408e-07,3.852329122366882e-09
1842,3.6492963317869e-07,2.0124795163667386e-09
1843,3.231080256682617e-07,4.725528968130277e-09
1844,2.7497691235112143e-07,5.488561272137815e-10
1845,3.0691253982695343e-07,1.674068439427856e-09
1846,3.1028858415993454e-07,6.439951460990301e-09
1847,2.03324532321858e-07,1.0786447290911383e-09
1848,2.0756671403887594e-07,2.413566457803995e-09
1849,1.6088476684217312e-07,0.0
1850,2.3557815609365207e-07,2.7155984128057753e-09
1851,2.902247331348917e-07,4.514607132577453e-09
1852,2.8711505706269236e-07,5.208436348880241e-09
1853,2.60376225469372e-07,0.0
1854,3.403160349080281e-07,1.0391329130499116e-08
1855,3.5397269471104664e-07,3.714855978387277e-09
1856,2.6817841103365936e-07,5.177189232874468e-10
1857,3.636724272837455e-07,2.440754542920587e-09
1858,3.954090175284364e-07,3.425573102955326e-09
1859,2.85161718238669e-07,2.036869339860914e-09
1860,3.272686512900691e-07,3.2040287090140396e-09
1861,3.2068552968667063e-07,2.8295781828724387e-09
1862,4.3869647470273776e-07,0.0
1863,3.7060087265672337e-07,9.989241656072068e-10
