year,pouvez_VERB ôter_VERB
1800,9.432493897065797e-09
1801,3.333655484993869e-08
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,2.842877711017877e-09
1806,1.152667650217154e-08
1807,0.0
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,1.600324850414836e-08
1813,0.0
1814,1.8880061958270744e-08
1815,1.6183340889597275e-08
1816,2.5493642752394408e-08
1817,2.1796227045456362e-08
1818,4.768470951432846e-09
1819,6.210630232317271e-09
1820,8.306536791735653e-09
1821,3.155676253641104e-08
1822,2.105379337535851e-08
1823,2.9648061783404955e-09
1824,1.431589158329416e-08
1825,1.1447076175841175e-08
1826,7.927186018719112e-09
1827,9.217273055917019e-10
1828,2.7516904310687096e-09
1829,2.571952872898464e-09
1830,1.1480519646056564e-08
1831,2.3386808933878456e-08
1832,1.3529969367098715e-09
1833,1.1583628278799551e-08
1834,1.120143711119681e-08
1835,1.9664028627630614e-08
1836,1.008112526790228e-08
1837,2.0873671680021744e-09
1838,6.943378316748294e-09
1839,9.088918062616358e-09
1840,5.095750932326837e-09
1841,0.0
1842,8.049918065466954e-09
1843,1.1813821920725331e-08
1844,8.781698035420504e-09
1845,1.1160455670733427e-08
1846,1.2294452567118697e-08
1847,7.550513103637968e-09
1848,5.63165514222419e-09
1849,1.0893239199560867e-08
1850,1.4935791270431764e-08
1851,1.9348316726564008e-08
1852,5.859490670445666e-09
1853,1.1943863675867306e-08
1854,8.313063126763609e-09
1855,9.021793090369101e-09
1856,4.659470143053568e-09
1857,1.0739319655783675e-08
1858,1.3212924976357954e-08
1859,1.5276520048956854e-09
1860,6.408057640072684e-09
1861,7.073945429425521e-09
1862,9.487771457372673e-09
1863,1.6981710260211003e-08
1864,4.794728170054441e-09
1865,1.882737743486018e-09
1866,4.379051787850585e-09
1867,2.91168689159349e-09
1868,5.433861360870651e-09
1869,3.906815315701806e-09
