year,deux_DET os_NOUN,deux_DET bosses_NOUN
1800,7.608878007658859e-07,1.540640539587912e-07
1801,5.500531772284489e-07,1.5239568051939045e-07
1802,4.923248297927785e-07,2.618272958443413e-07
1803,6.241085461766716e-07,4.3492564927305466e-07
1804,4.844827983241373e-07,1.5819846055364906e-07
1805,1.4157531182945604e-06,2.7291625315228885e-07
1806,8.356840730527892e-08,9.509508025473679e-08
1807,2.5053205376934784e-07,1.4804166426074516e-07
1808,1.6995554297238868e-07,1.1103762576070153e-07
1809,1.7168632382436044e-07,1.1521055398588942e-07
1810,3.486788768825022e-07,1.1700633706368535e-07
1811,1.6797414570390856e-07,6.267691787797958e-08
1812,7.334822456073198e-07,1.360276229434021e-07
1813,2.933256455506239e-07,6.614205716459765e-08
1814,1.604805350829963e-07,1.5733386149463513e-08
1815,1.537417375629957e-07,1.9150287755564932e-07
1816,3.406877606693115e-07,3.082413115862437e-07
1817,3.004765680714172e-07,1.7904044113947748e-07
1818,4.792313212931276e-07,1.9789153782312496e-07
1819,3.498654805866863e-07,7.866798235056649e-08
1820,1.886770490955314e-07,9.255855104584043e-08
1821,1.913128704345013e-07,4.339054981983281e-08
1822,2.997659294123878e-07,5.81485721795616e-08
1823,2.3323140396769304e-07,7.412015179397713e-08
1824,2.9137050461258696e-07,5.136878655775945e-08
1825,4.631663088616733e-07,1.2063456722444243e-07
1826,2.7921311485101796e-07,8.896063974361823e-08
1827,4.488811948810678e-07,9.493790997794349e-08
1828,4.962215118808899e-07,5.77854990524429e-08
1829,3.7893438431524373e-07,1.0373542702613037e-07
1830,2.744887726002787e-07,8.766942305449277e-08
1831,3.6171597361800423e-07,4.521449681327283e-08
1832,2.43539444610974e-07,5.817886972181441e-08
1833,3.7415120957007275e-07,1.01935931695607e-07
1834,3.9298374154839166e-07,1.0267984151823839e-07
1835,7.464767790565929e-07,1.1117739262545001e-07
1836,4.838939915430274e-07,6.31750530777353e-08
1837,5.454986435893261e-07,8.766942727334026e-08
1838,2.3986214614524215e-07,9.405120948713375e-08
1839,3.1811213307975095e-07,7.410963764886702e-08
1840,2.280348478933547e-07,5.987507023519356e-08
1841,2.985555092038794e-07,9.630822717099363e-08
1842,2.1466448174578545e-07,6.976596012009395e-08
1843,2.9593624351065273e-07,6.261326035428283e-08
1844,2.4533869158460675e-07,7.90352807644723e-08
1845,2.5780651924378617e-07,6.807878155656866e-08
1846,2.125184055401519e-07,6.205771541090144e-08
1847,1.1325769389003426e-07,4.853901369727964e-08
1848,1.3676876697843454e-07,1.0700144770225961e-07
1849,2.6897923088853304e-07,7.457679629396807e-08
1850,2.0638548114959576e-07,4.3449575493070824e-08
1851,2.5475282683373734e-07,7.868315066161813e-08
1852,2.350306909093547e-07,4.296959943417278e-08
1853,2.9561061332117333e-07,1.2123022186116827e-07
1854,2.0418960744450487e-07,6.28675422831293e-08
1855,2.9028946357811947e-07,7.907336296852918e-08
1856,1.7757759529501982e-07,7.714012129067527e-08
1857,1.747580249400471e-07,7.07818808565186e-08
