year,leurs_DET aveux_NOUN
1800,2.263798393187244e-07
1801,1.6192042195939393e-07
1802,6.937304419807333e-08
1803,1.7358018800095465e-07
1804,1.829169686828891e-07
1805,6.112187198592522e-07
1806,1.8442683025199358e-07
1807,1.366538526781369e-07
1808,9.064295625194063e-08
1809,1.4683698168482806e-07
1810,1.4976811257838563e-07
1811,1.3036799373367103e-07
1812,9.068507722531649e-08
1813,3.5084048488620567e-07
1814,1.5104050588021778e-07
1815,1.483472962249266e-07
1816,1.413738370814599e-07
1817,1.292204867553437e-07
1818,2.4796049746811377e-07
1819,1.2007218685994303e-07
1820,1.6375743427943235e-07
1821,1.2326860909794846e-07
1822,2.0652768739637395e-07
1823,7.313188243873725e-08
1824,2.1052781828956313e-07
1825,1.681839592038159e-07
1826,2.862594907782068e-07
1827,1.7420646258869965e-07
1828,1.0548146178734896e-07
1829,1.5517449014623708e-07
1830,1.7429516407929668e-07
1831,1.138158063351824e-07
1832,1.4206467646715737e-07
1833,1.1467791960484419e-07
1834,9.61456718684417e-08
1835,1.1722786297241328e-07
1836,1.4987272800581763e-07
1837,1.6698938631876103e-07
1838,1.780029619258272e-07
1839,1.8107921029297813e-07
1840,1.5159858968161188e-07
1841,1.3611563076665334e-07
1842,1.2812786875926463e-07
1843,1.2936134763386065e-07
1844,1.7288967590900484e-07
1845,1.5624637983435719e-07
1846,1.2879902300255708e-07
1847,1.2296550178092502e-07
1848,1.1343762501558885e-07
1849,1.3407064147763492e-07
1850,1.3645882734891757e-07
1851,1.0835057118185887e-07
1852,1.7057628731720342e-07
1853,1.0570318997871198e-07
1854,1.6314386108717827e-07
1855,1.767209987235674e-07
1856,2.0294581304369785e-07
1857,1.654831569553039e-07
1858,1.047246679375391e-07
1859,2.041961506549228e-07
1860,1.3777323137897923e-07
1861,1.9901366354879713e-07
1862,1.4276836446391883e-07
1863,1.683187229595262e-07
1864,1.3904711071432985e-07
1865,1.5438449807447796e-07
1866,8.90407179099384e-08
1867,8.638004800332055e-08
1868,1.4177438600881942e-07
1869,1.299016068045944e-07
1870,1.3245652130677854e-07
1871,8.92178886324757e-08
1872,1.6267342672904306e-07
1873,1.3408650012536327e-07
1874,9.678866907947281e-08
1875,1.0012672424508651e-07
1876,1.3724452951890953e-07
1877,8.906134951747191e-08
1878,1.0870359878900615e-07
1879,1.3562702361191725e-07
1880,1.2322264808517502e-07
1881,6.693607423891024e-08
1882,1.2312462693842008e-07
1883,8.467913925613857e-08
1884,8.054070121943369e-08
1885,9.539540896108534e-08
1886,7.42148377197438e-08
1887,8.422313080291843e-08
1888,1.2427605255993512e-07
1889,9.209751228311802e-08
1890,1.245333463018028e-07
1891,1.0772431835448515e-07
1892,8.58786204371853e-08
1893,1.0961981367074713e-07
1894,9.830401381805132e-08
1895,7.101965060485327e-08
1896,5.01247472417532e-08
1897,1.0196748845281434e-07
1898,8.827033992631073e-08
1899,9.783813403885233e-08
1900,8.098043180471137e-08
1901,1.04509414677878e-07
1902,7.119911282771341e-08
1903,1.0206416156677278e-07
1904,9.351848095917603e-08
1905,9.599011674410463e-08
1906,9.722508909071337e-08
1907,1.0645685488697154e-07
1908,1.0510372749905628e-07
1909,1.3037330504062083e-07
1910,8.924731698112254e-08
1911,1.0853563203738759e-07
1912,9.689523405853606e-08
1913,1.0765069036189345e-07
1914,1.3125618236742298e-07
1915,8.953378827225578e-08
1916,9.22946812309533e-08
1917,1.3050044955775775e-07
1918,8.729646250316137e-08
1919,8.379142268921669e-08
1920,6.360674387195786e-08
1921,7.724202710779338e-08
1922,8.115728711288739e-08
1923,1.1465223925810619e-07
1924,9.281969282071145e-08
1925,5.609070807821581e-08
1926,1.1257600185388128e-07
1927,5.351628074024006e-08
1928,8.798051664982154e-08
1929,8.243900539994797e-08
1930,8.717990773732254e-08
1931,6.386999995555698e-08
1932,5.2605777511871565e-08
1933,7.226516940406214e-08
1934,8.387105943086226e-08
1935,7.420336523011883e-08
1936,6.66859278908305e-08
1937,8.43604892608596e-08
1938,9.85356276572702e-08
1939,4.5882150523368637e-08
1940,8.36808391468935e-08
1941,7.37875680556499e-08
1942,6.371844563091145e-08
1943,4.935499831049128e-08
1944,6.105053529381621e-08
1945,8.06046500656521e-08
1946,6.264497098840138e-08
1947,5.960435367491357e-08
1948,6.196975887995393e-08
1949,6.773735572451756e-08
1950,9.040057036280302e-08
1951,6.290226917116115e-08
1952,7.275914803983596e-08
1953,7.64941776587591e-08
1954,5.2771695902009697e-08
1955,5.162084359966457e-08
1956,5.5815306154727296e-08
1957,7.068030294377081e-08
1958,4.384289153946952e-08
1959,6.200598190453377e-08
1960,3.8064584872987695e-08
1961,6.531269497456194e-08
1962,7.546927793811165e-08
1963,6.983337241805998e-08
1964,5.779770062552814e-08
1965,4.815398080282307e-08
1966,6.148372966308102e-08
1967,5.7684927445844636e-08
1968,8.937917239659754e-08
1969,6.812636477171452e-08
1970,7.633883525315355e-08
1971,6.57714843699253e-08
1972,5.797066005008844e-08
1973,7.056900841462266e-08
1974,6.863197166140367e-08
1975,6.39685748815566e-08
1976,7.084773118171128e-08
1977,6.111853156909319e-08
1978,7.009897851073532e-08
1979,8.134242790447388e-08
1980,4.718674895265451e-08
1981,3.795329694966654e-08
1982,5.4005269478629714e-08
1983,3.410270821291306e-08
1984,5.277097603340053e-08
1985,7.218669650921328e-08
1986,4.435919120915344e-08
1987,4.766437133874035e-08
1988,4.977139755890647e-08
1989,8.835876674773147e-08
1990,6.15697552941441e-08
1991,6.38899733118592e-08
1992,5.069148500957965e-08
1993,8.474987156503744e-08
1994,6.751906012070208e-08
1995,5.530899915839882e-08
1996,6.13880586364246e-08
1997,6.616954095761685e-08
1998,6.913787586881881e-08
1999,5.347135489941479e-08
2000,4.550572274553133e-08
2001,7.36043612725723e-08
2002,1.0295870200849322e-07
2003,6.333722701867828e-08
2004,6.607186922580333e-08
2005,8.106748994318735e-08
2006,9.553504543013958e-08
2007,5.152878657099791e-08
2008,5.875266717580985e-08
2009,7.00924269736447e-08
2010,6.518834505531146e-08
2011,5.69771807512609e-08
2012,6.672335639557048e-08
2013,5.968727467831059e-08
2014,6.474680880330652e-08
2015,7.979671234892294e-08
2016,6.607574665196125e-08
2017,6.66637012258775e-08
2018,6.505295768732822e-08
2019,5.8927817514486946e-08
