year,tes_DET os_NOUN
1800,1.2576657937302116e-08
1801,5.000483582762172e-08
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,3.213406252200457e-08
1805,2.2743021688143017e-08
1806,2.881669125542885e-09
1807,1.1387820464392462e-08
1808,0.0
1809,2.259030518203531e-09
1810,1.8721014072298203e-08
1811,5.0141535368197765e-09
1812,1.0668832928217853e-08
1813,5.751483289628823e-09
1814,9.440030979135372e-09
1815,2.1577788444915313e-08
1816,2.3176038865813098e-08
1817,3.113746815941454e-09
1818,3.5763532135746345e-09
1819,3.0018044272495104e-08
1820,8.306536791735653e-09
1821,3.35290586406245e-08
1822,2.606660132187244e-08
1823,7.906149512848515e-09
1824,3.3684450784221553e-09
1825,1.4969252504215547e-08
1826,1.2331177856594877e-08
1827,6.452091305675367e-09
1828,1.5592912405715253e-08
1829,1.628903412154159e-08
1830,1.461157062010443e-08
1831,4.365537620287796e-08
1832,2.570694235259907e-08
1833,4.749287541017111e-08
1834,1.4001795944906803e-08
1835,1.9664028627630614e-08
1836,3.8980350947070974e-08
1837,5.496733812559995e-08
1838,2.4617431648721322e-08
1839,2.3771015378315496e-08
1840,2.675269317187201e-08
1841,1.9903699577383804e-08
1842,2.4820581145945653e-08
1843,4.134837727765017e-08
1844,1.811225303072206e-08
1845,1.7298706467272496e-08
1846,9.952652035849496e-09
1847,2.1033571329098777e-08
1848,9.65426583121598e-09
1849,1.1731181359664333e-08
1850,1.0862393651223101e-08
1851,1.805842941848823e-08
1852,1.7578472011337e-08
1853,1.134667093616315e-08
1854,2.7017455384026334e-08
1855,3.874064091746732e-08
1856,3.7793480345271746e-08
1857,2.8312752586856504e-08
1858,2.5447114415655392e-08
1859,3.360834455179429e-08
1860,4.5314121427386667e-08
1861,3.3954937750380054e-08
1862,1.8975543136789952e-08
1863,2.4973104917336286e-08
1864,2.9727313499705588e-08
1865,2.353422146050832e-08
1866,3.259960568158249e-08
1867,3.396968040192405e-08
1868,2.420538258718352e-08
1869,3.613804100410789e-08
1870,2.408300536771435e-08
1871,7.434824311758348e-09
1872,2.4189357850090687e-08
1873,2.2746817762708815e-08
1874,2.3898436563030145e-08
1875,3.032409434666761e-08
1876,1.3301232337781244e-08
1877,2.288381928394756e-08
1878,6.6429977074733415e-09
1879,2.7491963816572706e-08
1880,2.6954954712721246e-08
1881,2.8587280598291187e-08
1882,1.1314154946262533e-08
1883,1.579834751908038e-08
1884,2.5746617282607076e-08
1885,2.3204288490674685e-08
1886,1.677900574037494e-08
1887,1.5669419317632105e-08
1888,2.2826212697779624e-08
1889,2.2554492828952277e-08
1890,1.4419650029573461e-08
1891,1.211101796627645e-08
1892,1.7551833764173352e-08
1893,2.401782439598321e-08
1894,2.8987080291642542e-08
1895,3.009307159018704e-08
1896,1.6511681300013237e-08
1897,1.8645483379486905e-08
1898,1.1882545614128048e-08
1899,2.3768587098516036e-08
1900,1.9206896517687255e-08
1901,8.383108485165991e-09
1902,1.7677021180162455e-08
1903,1.5120616758679262e-08
1904,1.6123875568041512e-08
1905,2.219126360447632e-08
1906,2.263441234440222e-08
1907,2.4685648525313297e-08
1908,1.6698723293018247e-08
1909,2.7504917454734823e-08
1910,5.1838262793424406e-08
1911,1.8089271303090015e-08
1912,2.6568048538955225e-08
1913,9.545381873810044e-09
1914,1.6072185360371805e-08
1915,1.1780762143587253e-08
1916,5.493730803607377e-09
1917,3.070598852961126e-08
1918,1.2635013924011673e-08
1919,8.287063479883727e-09
1920,3.028892647805037e-08
1921,8.330022505109724e-09
1922,3.2462917132214386e-08
1923,3.715581797791856e-08
1924,1.0313299436681689e-08
1925,3.079489729884699e-08
1926,3.232380096918064e-08
1927,4.682674437095358e-08
1928,2.5137291359556002e-08
1929,1.8938690837799754e-08
1930,2.1007207084977608e-08
1931,2.2810714206400462e-08
1932,1.2055490161699822e-08
1933,1.7205992852709073e-08
1934,1.0783422155213884e-08
1935,2.0346083040578833e-08
1936,1.2124714565686645e-08
1937,3.651424385076041e-08
1938,2.9819993585533666e-08
1939,6.117620188206274e-09
1940,1.5214697723919812e-08
1941,2.6563522936839945e-08
1942,2.4273694165799498e-08
1943,1.7419411024732767e-08
1944,3.213186161588055e-08
1945,2.6142048081823077e-08
1946,2.9234318965620787e-08
1947,2.2649655262441115e-08
1948,2.3918154123947488e-08
1949,2.5524221403117053e-08
1950,3.40331576254016e-08
1951,1.5992101864981123e-08
1952,2.4253048458433568e-08
1953,2.3702419582605216e-08
1954,4.69081733456278e-08
1955,1.0324168631115072e-08
1956,1.9186510602509088e-08
1957,2.2971097912716232e-08
1958,2.7298403537656668e-08
1959,2.40273188012452e-08
1960,2.4222917505145602e-08
1961,2.709782176424369e-08
1962,2.1562651664197574e-08
1963,4.4615768413081014e-08
1964,3.40702219769895e-08
1965,2.6813012810045223e-08
1966,3.9881337343672385e-08
1967,3.352628064057228e-08
1968,2.290622158618305e-08
1969,2.043791091921321e-08
1970,3.403056614281752e-08
1971,2.9288864888954436e-08
1972,2.565073486948677e-08
1973,3.7489786497424404e-08
1974,2.0814614976050194e-08
1975,2.056132863970106e-08
1976,1.7711933197883667e-08
1977,2.2331770932471073e-08
1978,1.9603952239322098e-08
1979,2.5163485517509798e-08
1980,1.8760997255728995e-08
1981,2.6567308575309312e-08
1982,2.8554510422829082e-08
1983,3.789189539915583e-08
1984,3.7113656148335394e-08
1985,2.8874679092183442e-08
1986,2.697518486360906e-08
1987,2.1998940280543167e-08
1988,1.5591039514983862e-08
1989,1.207386890467177e-08
1990,2.5063794206747758e-08
1991,3.223805888907805e-08
1992,2.314176583695371e-08
1993,2.1602909683338112e-08
1994,2.7957110293463927e-08
1995,1.7894087434022765e-08
1996,2.2953796419145078e-08
1997,3.404375226168099e-08
1998,2.4794271524797296e-08
1999,3.473352827576548e-08
2000,2.25319604085783e-08
2001,2.4972907075593298e-08
2002,4.162160527343417e-08
2003,2.8751768799128996e-08
2004,1.8059643919210444e-08
2005,2.1167622321627277e-08
2006,2.9648807131632537e-08
2007,2.6763011723440755e-08
2008,3.1505053454949916e-08
2009,2.7655516543489966e-08
2010,3.542844917436838e-08
2011,5.5829991241207466e-08
2012,5.651059420408444e-08
2013,6.414987296921026e-08
2014,7.037696692080431e-08
2015,6.405902919226492e-08
2016,5.841178829513183e-08
2017,5.634969468815143e-08
2018,6.556925535861069e-08
2019,6.913176897604956e-08
