year,leurs_DET oeufs_NOUN,leurs_DET boeufs_NOUN
1800,6.697070347172485e-07,3.8044390038294296e-07
1801,1.050101520405633e-06,3.809892135109294e-08
1802,9.60033418095918e-07,1.0517848636482086e-07
1803,4.40191568773507e-06,1.5602713787643552e-08
1804,1.1741291841005363e-06,1.2359254952798437e-08
1805,3.7810272224270136e-07,1.9900143755080535e-08
1806,1.3832012424330742e-07,3.458002950651462e-08
1807,3.046241943138739e-07,2.562259560079383e-08
1808,1.3596443526608937e-07,2.4926814390369145e-08
1809,9.713831361501946e-08,3.614448917943491e-08
1810,2.1529165650235882e-07,1.1700633351097167e-08
1811,4.512738271955641e-08,2.5070768572277302e-08
1812,6.13457871168066e-08,1.0668832484128643e-08
1813,7.476928232108548e-08,1.4378708002027452e-08
1814,1.541871768040437e-07,9.440031423224582e-09
1815,9.170560133497929e-08,1.6183340889597275e-08
1816,2.410307988753857e-07,2.3176038865813098e-09
1817,3.3005717270384594e-07,6.227493631882908e-09
1818,2.873003861481038e-07,1.0729059862768509e-08
1819,3.1363681074481065e-07,5.175524897538253e-09
1820,4.2719332071783356e-08,7.119888678630559e-09
1821,3.944595405869222e-08,8.875339574387908e-09
1822,3.709477880420309e-08,5.012807946513931e-09
1823,9.882686669016039e-08,0.0
1824,6.315834522041541e-08,1.8526447931321854e-08
1825,1.2415675021415495e-07,1.0566531649658373e-08
1826,5.901349608983253e-08,6.1655889282974385e-09
1827,1.0415518819639757e-07,6.452091305675367e-09
1828,9.997808075867809e-08,1.0089530988466322e-08
1829,5.915491319008481e-08,1.628903412154159e-08
1830,8.453836830568662e-08,6.262101504006523e-09
1831,6.704218602493484e-08,6.236482441579483e-09
1832,4.329590330698352e-08,8.117981842303834e-09
1833,5.096796640291501e-08,2.0850531967653296e-08
1834,6.627516802026889e-08,2.8003592777992026e-09
1835,1.096647750387092e-07,9.075705520444899e-09
1836,8.736975087852983e-08,4.704525213838906e-09
1837,8.140732621342295e-08,8.349468672008697e-09
1838,8.07956750392691e-08,5.049729523420865e-09
1839,6.571986876924285e-08,7.690622361167243e-09
1840,2.802663096046487e-08,9.554533164646273e-09
1841,5.393260860131477e-08,2.5682194149112547e-09
1842,1.4154439176294886e-07,1.0062397137744483e-08
1843,3.780423196708682e-08,3.5441465873198297e-09
1844,7.080243868973213e-08,4.9397050894128824e-09
1845,7.868121487675239e-08,2.7901139176833567e-09
1846,6.732676283149885e-08,1.1709002656346001e-09
1847,9.114547694366593e-08,2.1572894581822766e-09
1848,6.597081636527946e-08,2.413566457803995e-09
1849,1.1144621780978525e-07,0.0
1850,2.9192682049483665e-08,6.1100964288129944e-09
1851,3.5471913850670944e-08,3.2247193804124663e-09
1852,6.445440137170522e-08,2.6042181744401205e-09
1853,5.912212475145395e-08,3.5831591027601917e-09
