year,premiers_ADJ ans_NOUN,premiers_ADJ bancs_NOUN
1800,3.804439074883703e-07,1.8864987794131594e-08
1801,2.881230898310605e-07,4.7623651688866175e-09
1802,2.842056971985585e-07,4.699464284385613e-08
1803,3.101039283137652e-07,4.290746247193056e-08
1804,4.968420626028092e-07,9.887403784603066e-09
1805,4.264316544322355e-07,1.421438877713399e-08
1806,2.305335300434308e-07,8.645007376628655e-09
1807,3.046241943138739e-07,5.4092147649953404e-08
1808,3.172503681980743e-07,3.6257183921861724e-08
1809,1.9427662323323602e-07,3.388545621874073e-08
1810,3.5101902540191077e-07,9.360507036149102e-09
1811,2.8329966994533606e-07,7.019814773912003e-08
1812,3.2273220540446346e-07,8.001624962616916e-08
1813,3.077043686516845e-07,7.189353823378042e-08
1814,1.9824065589091333e-07,5.349351184236184e-08
1815,2.2926400333744823e-07,6.47333635583891e-08
1816,2.9201808615653135e-07,1.1588019432906549e-08
1817,2.6778221240419953e-07,2.9580593974287694e-08
1818,2.4319200520039885e-07,3.2187177367859476e-08
1819,3.6332184549792146e-07,4.5544620519422097e-08
1820,4.177001358129928e-07,6.645229433388522e-08
1821,3.0176153131833416e-07,1.2819934447350079e-08
1822,3.5089655625597516e-07,5.81485721795616e-08
1823,3.4787058211804833e-07,2.8659792761231984e-08
1824,3.8989750805740186e-07,1.0105335235266466e-08
1825,2.9057960659883975e-07,2.6416328680056722e-08
1826,2.563123473464657e-07,2.7304752237000685e-08
1827,2.1199727484599862e-07,1.935627302884768e-08
1828,2.2472137573004147e-07,2.2930752408001354e-08
1829,1.997550072019294e-07,2.5719527840806222e-08
1830,2.3587249131651333e-07,2.1917355041978226e-08
1831,2.1983601072861347e-07,4.2096257146795324e-08
1832,1.9618455837644433e-07,4.8707889277466165e-08
1833,2.8959070164091827e-07,5.09679658478035e-08
1834,2.4549817112529126e-07,5.974099792638299e-08
1835,2.1706063080273452e-07,5.7479468296151026e-08
1836,2.8025527853969834e-07,5.511014933290426e-08
1837,2.3100197665826272e-07,4.800944708449606e-08
1838,1.881024189742675e-07,3.408567295082321e-08
1839,1.4821927152297576e-07,5.733009800223954e-08
1840,1.5542040898708365e-07,2.993753511759678e-08
1841,1.8105946253399452e-07,3.4028907691663335e-08
1842,1.9722298816304829e-07,5.634942823462552e-08
1843,1.1518476839000868e-07,4.0757687003178944e-08
1844,1.51484286448067e-07,3.1833653935109396e-08
1845,1.25555132513e-07,4.2409730838244286e-08
1846,1.5514429207996727e-07,2.2247105491146613e-08
1847,8.359496916909848e-08,2.2651539310913904e-08
1848,1.1906928421012708e-07,9.412909207640041e-08
1849,1.340706319297169e-07,6.452149392544015e-08
1850,1.5954140053509036e-07,8.486244951200206e-08
1851,1.1157528945204831e-07,7.416854685970975e-08
1852,1.7578472011336999e-07,3.711010876372711e-08
1853,1.528814550511015e-07,4.060913738612726e-08
1854,1.917200194156976e-07,2.234135720868835e-08
1855,1.57085338514662e-07,2.865746040470185e-08
1856,1.7809530561407882e-07,8.438818355216426e-08
1857,1.6206610098379315e-07,7.273448687783457e-08
1858,1.5757636617763637e-07,4.991549573674092e-08
1859,1.537836311626961e-07,3.1571474323754956e-08
1860,1.5242022755046492e-07,4.3025529805618135e-08
1861,1.4006411674927222e-07,1.9335450573976232e-08
1862,1.396057740521428e-07,4.201727321628823e-08
1863,1.423466926553374e-07,6.093437576737415e-08
1864,1.5918496387712366e-07,3.8837296045812764e-08
1865,1.1814179146085735e-07,2.447559133145205e-08
1866,1.591055394101204e-07,4.184427027098536e-08
1867,1.1258522647494829e-07,3.396968040192405e-08
1868,1.3337660220713587e-07,5.680855252876427e-08
1869,1.3185501757106977e-07,6.788091866383184e-08
1870,1.61126777697973e-07,6.422134646300037e-08
1871,2.0605084216640535e-07,7.965883241922711e-08
1872,1.30622524352475e-07,4.535504416480762e-08
1873,1.1792428722401382e-07,4.3697831131339626e-08
1874,1.2666171755881805e-07,6.631815807622843e-08
1875,9.898241870587299e-08,4.1194994082616176e-08
1876,1.0217765122888522e-07,2.7207066821688386e-08
1877,2.1461310950599e-07,3.5253449937044934e-08
1878,1.5218503790492832e-07,3.38188961279684e-08
1879,9.713826898405387e-08,6.659164597522249e-08
1880,1.367001232210896e-07,6.482024872411785e-08
1881,1.2132163362821302e-07,5.508281120114589e-08
1882,1.024929332515967e-07,7.320923600673268e-08
1883,9.984555759956493e-08,5.371438049905919e-08
1884,8.648223115415021e-08,6.799747609420592e-08
1885,9.732909944659696e-08,1.5598438096731115e-07
1886,1.1099957930582605e-07,4.711028722681476e-08
1887,7.573552807116357e-08,7.704131377295198e-08
1888,9.827952851537702e-08,7.291706793921549e-08
1889,1.0650732207295732e-07,8.019375030698939e-08
1890,8.455158706510701e-08,5.767860145056147e-08
1891,8.159001652074949e-08,7.457837369884146e-08
1892,9.402768341715273e-08,7.020733505669341e-08
1893,1.0346139589501036e-07,6.158416709922676e-08
1894,8.192001388351855e-08,6.427570298228602e-08
1895,9.810341339289153e-08,5.2963805785566365e-08
1896,6.250850503874972e-08,8.196870027177283e-08
1897,6.059782009515402e-08,5.8267136893164206e-08
1898,8.940200757479033e-08,4.4701003787395166e-08
1899,7.793885714590942e-08,6.411990938204326e-08
1900,9.291984781611973e-08,6.904100757765264e-08
1901,8.662545525339738e-08,4.135666742399735e-08
1902,7.365425602756659e-08,4.370152595356558e-08
1903,7.34429974613704e-08,4.968202560462487e-08
1904,6.449550227216605e-08,3.923476299405593e-08
1905,1.0682771289793891e-07,5.883265430384199e-08
1906,1.033981078535362e-07,6.944649300066885e-08
1907,9.925688004841504e-08,6.274268571360153e-08
1908,6.090122184332358e-08,5.746325371092098e-08
1909,1.1222006435218645e-07,5.611003217609323e-08
1910,9.13849760308949e-08,9.191938943331479e-08
1911,8.24657959697106e-08,5.3203741856577835e-08
1912,1.2190045595161791e-07,8.335074141996301e-08
1913,9.863560990197584e-08,7.052976513932663e-08
1914,7.567320636781005e-08,5.022557658662663e-08
1915,4.7123048574349014e-08,2.4739600590351074e-08
1916,7.031975712834537e-08,2.197492321442951e-08
1917,4.496234140560773e-08,1.5352993543160665e-08
1918,7.236417332023848e-08,2.756730310693456e-08
1919,1.2154359296800976e-07,6.537572261322566e-08
1920,8.708066445706208e-08,7.117898093156327e-08
1921,1.029893681447902e-07,3.1048266180278006e-08
1922,9.443757420513066e-08,3.9103056792555435e-08
1923,8.068120394000289e-08,5.095655097875351e-08
1924,1.2118127301619097e-07,5.0277336072213075e-08
1925,1.033828738172815e-07,1.1658068643782826e-07
