year,des_DET oeufs_NOUN,des_DET boeufs_NOUN
1800,6.75995366794524e-07,1.0187092542857101e-06
1801,7.643596244832906e-07,1.0167649524550626e-06
1802,7.272980724337685e-07,5.773627265170944e-07
1803,2.5042354536708444e-06,3.6081277055011185e-07
1804,7.020056649320594e-07,2.39769534671197e-07
1805,6.368045848414994e-07,2.2743022043414385e-07
1806,1.930718314113733e-07,7.492339904047185e-08
1807,2.4483813554354583e-07,1.366538477931556e-07
1808,1.8808413937421165e-07,2.6513066586630885e-07
1809,2.2816208944398397e-07,2.1234886760090887e-07
1810,2.854954681552613e-07,1.6848913109157593e-07
1811,1.4791753022436183e-07,1.5543875520052097e-07
1812,1.3069320115022265e-07,8.001624385300943e-08
1813,3.0770436332261397e-07,1.6966875193702435e-07
1814,1.0195234145804477e-06,1.0069366851439554e-07
1815,1.75319526007911e-07,1.1058616378178954e-07
1816,1.5064425440414198e-07,8.806894413737609e-08
1817,2.55327228915192e-07,9.02986549977669e-08
1818,2.8730037815449805e-07,1.0490635782289814e-07
1819,2.2461777915427916e-07,7.245734734429021e-08
1820,8.781196214613374e-08,8.425201869499688e-08
1821,1.0650407566981102e-07,6.607196922914227e-08
1822,1.1830226753772877e-07,6.215881853677274e-08
1823,9.685033042217128e-08,6.127265717026376e-08
1824,1.389483594849139e-07,6.315834610859383e-08
1825,1.3384273800376434e-07,5.1071568529792444e-08
1826,1.4268934023231594e-07,8.896064485064414e-08
1827,3.235262795442395e-07,4.977327350275118e-08
1828,1.48591282056465e-07,5.13648868438743e-08
1829,1.4488668137468963e-07,6.601345409196213e-08
1830,1.5863989943909473e-07,9.288783808791834e-08
1831,1.65266789364793e-07,8.73107515175775e-08
1832,1.4341767085035428e-07,8.659180672498934e-08
1833,1.3437008417049867e-07,9.961920821588421e-08
1834,1.3068343962530093e-07,7.00089788363556e-08
1835,1.376482003934143e-07,7.033671778344797e-08
1836,1.3508707175091672e-07,6.384712702978135e-08
1837,1.3498307982473534e-07,8.627784786607862e-08
1838,1.899960706541748e-07,5.428459104450667e-08
1839,1.22350813480665e-07,6.292327914270146e-08
1840,8.216898089719038e-08,7.643626531717018e-08
1841,8.218302083307094e-08,3.9165346521485844e-08
1842,1.2276124916610343e-07,3.018719274550108e-08
1843,9.687334251440305e-08,3.544146498501988e-08
1844,1.2459034215428488e-07,3.2931367854871496e-08
1845,1.0323421739677485e-07,2.7901140453590045e-08
1846,8.840296894518929e-08,3.161430783826802e-08
1847,1.5047094237274905e-07,3.28986633491013e-08
1848,1.0619692353275312e-07,3.137636589434223e-08
1849,1.4245005330870697e-07,2.7652069745087715e-08
1850,8.7578046148451e-08,3.055048125588655e-08
1851,1.1866967120077732e-07,3.611685728266423e-08
1852,8.789236183304183e-08,3.5156944022674e-08
1853,8.599581535762013e-08,5.1358613362140204e-08
1854,6.234797461646124e-08,3.2213118672519414e-08
1855,1.2948926197964283e-07,3.237231638308913e-08
1856,7.248064709530766e-08,4.038207546130934e-08
1857,8.103304849349513e-08,4.0028373615719204e-08
1858,5.62772732859429e-08,2.300027807100591e-08
1859,7.129042822739962e-08,4.328347213977679e-08
1860,2.0643099157835465e-07,2.471679277915584e-08
1861,8.630213615967719e-08,2.2636625574001812e-08
1862,7.138418592345097e-08,3.524029440482579e-08
1863,6.642845851168033e-08,3.096664874524535e-08
