year,les_DET oeufs_NOUN,les_DET boeufs_NOUN
1800,1.050150927994764e-06,9.809793226622787e-07
1801,1.750169179359773e-06,1.3596552950190244e-06
1802,1.635861167414987e-06,9.219901073720393e-07
1803,5.74569926703461e-06,1.2404157492262868e-06
1804,1.4015394937949566e-06,4.993139057773988e-07
1805,1.4356532724857374e-06,5.060322294525577e-07
1806,3.0257525018839715e-07,2.5935023018064385e-07
1807,3.387876525984268e-07,2.3060336928892866e-07
1808,3.172503699744311e-07,4.1242547865749657e-07
1809,3.004510509274638e-07,2.462343238196496e-07
1810,4.937667354987241e-07,2.223120389999167e-07
1811,1.6797414126301646e-07,1.7048121314644504e-07
1812,2.0270783229747735e-07,2.1871107369619835e-07
1813,3.911008619184031e-07,2.041776525629757e-07
1814,5.349350913341766e-07,3.020810144249708e-07
1815,2.2656678222432447e-07,1.8071397689389812e-07
1816,3.963102610526903e-07,1.5527945862459092e-07
1817,6.196355881726845e-07,1.229929975643529e-07
1818,4.828076922702706e-07,2.0981271831033155e-07
1819,5.775886062764357e-07,8.28083965842552e-08
1820,2.7174242323013686e-07,1.0917162551749016e-07
1821,1.2425475581778755e-07,1.1735170957205554e-07
1822,1.9349438673543773e-07,8.221005032282847e-08
1823,1.8678277735606486e-07,1.4922856905741355e-07
1824,2.147383737494124e-07,9.010590495961424e-08
1825,1.9107811288776588e-07,1.0478477130426711e-07
1826,1.6030530847199742e-07,9.512623211360705e-08
1827,6.756261352047765e-07,7.189473033575311e-08
1828,3.1460993210608024e-07,8.71368587285204e-08
1829,1.7746473929269868e-07,1.0802201577675419e-07
1830,2.0143092882562996e-07,8.766941816951146e-08
1831,1.7773974980705987e-07,1.0913844405990858e-07
1832,1.9483155533350782e-07,1.8400758783343463e-07
1833,1.8997151052246863e-07,2.0734695194146724e-07
1834,2.240287466648283e-07,1.0828055740930154e-07
1835,1.8680827196249083e-07,9.907645193152348e-08
1836,2.083432480426417e-07,9.27463505995263e-08
1837,2.866651082067406e-07,1.0575994036088332e-07
1838,2.9793404321409866e-07,7.195864659692575e-08
1839,2.0415107082616402e-07,1.0766871949563495e-07
1840,1.1911317832069557e-07,1.2293498918847234e-07
1841,1.5280905474313045e-07,5.457466167868574e-08
1842,2.8912622784815767e-07,7.84867011383028e-08
1843,1.7720733613835193e-07,6.67480954952282e-08
1844,2.2064016780287687e-07,7.903528542740901e-08
1845,1.8414752256390443e-07,5.357018939555758e-08
