year,petits_ADJ oeufs_NOUN,petits_ADJ boeufs_NOUN
1800,4.7162465932615305e-08,0.0
1801,5.2386017301842e-08,9.524730337773235e-09
1802,2.9091921760482364e-08,0.0
1803,4.095712213825209e-08,0.0
1804,2.7190360185613827e-08,2.4718509461507665e-09
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-08,2.881669125542885e-09
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,0.0
1818,2.1458118837358597e-08,3.5763532135746345e-09
1819,1.449147024601416e-08,1.035105001712111e-09
1820,4.746592452420373e-09,3.5599443393152796e-09
1821,2.9584463767662328e-09,0.0
1822,7.017931125119503e-09,0.0
1823,9.882686891060644e-10,0.0
1824,6.736890156844311e-09,0.0
1825,3.522177216552791e-09,8.805443041381977e-10
1826,1.4973572604048968e-08,0.0
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,4.586150570418113e-09,0.0
1829,5.143905745796928e-09,0.0
1830,4.174734336004349e-09,5.218417697960831e-09
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,2.705993873419743e-09
1833,5.791814139399776e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,7.563087933704082e-10,1.5126175867408165e-09
1836,1.3441500135158435e-09,0.0
1837,7.653680356156656e-09,6.957890930081589e-10
1838,6.312161904276081e-10,0.0
1839,4.194885327990505e-09,0.0
1840,0.0,0.0
1841,1.926164561183441e-09,6.420548537278137e-10
1842,5.366612043644636e-09,1.341653010911159e-09
1843,5.31621990873532e-09,0.0
1844,2.7442805805577564e-09,5.488561272137815e-10
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,5.854501328173001e-10,0.0
1847,2.6966118227278457e-09,0.0
1848,0.0,0.0
1849,1.6758829879393033e-09,0.0
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,3.2247193804124663e-09,1.2898877521649865e-09
1852,5.208436348880241e-09,0.0
1853,4.180352064508952e-09,1.1943863675867306e-09
1854,1.558699391779328e-09,0.0
1855,0.0,1.0613874223963649e-09
1856,1.5531567143511893e-09,5.177189232874468e-10
1857,0.0,4.881509085841174e-10
1858,9.787352039936081e-10,4.893676019968041e-10
1859,2.036869339860914e-09,0.0
1860,4.577183909670879e-10,0.0
1861,1.4147891747029462e-09,4.715963730639317e-10
1862,0.0,0.0
1863,9.989241656072068e-10,0.0
1864,4.794727948009836e-10,0.0
1865,4.706844358715045e-10,4.706844358715045e-10
1866,3.8924903300596725e-09,0.0
1867,3.396968040192405e-09,0.0
1868,4.93987406535723e-10,0.0
1869,0.0,0.0
1870,1.7202146374017957e-09,0.0
1871,0.0,0.0
1872,3.0236697590169115e-09,0.0
1873,1.7958012854535355e-09,0.0
1874,1.1949218281515073e-09,0.0
1875,4.005069165202713e-09,0.0
1876,0.0,6.04601479992084e-10
1877,1.8554447978047506e-09,1.2369631985365004e-09
1878,0.0,1.2078177347163432e-09
1879,6.10932526790009e-10,0.0
1880,1.9253538763308597e-09,0.0
1881,6.972507571312292e-10,0.0
1882,1.9966155395678697e-09,3.3276925659464496e-09
1883,6.319338941018771e-10,6.319338941018771e-10
