year,mes_DET aveux_NOUN
1800,5.0306631749208464e-08
1801,1.6668277424969347e-08
1802,4.4756802708434407e-08
1803,3.90067853572873e-08
1804,1.4831105232815389e-08
1805,4.8328921309348516e-08
1806,2.881669125542885e-08
1807,1.4234775136401367e-08
1808,1.5862518409903714e-08
1809,1.355418288717658e-08
1810,4.44624070894406e-08
1811,4.011322829455821e-08
1812,2.6672082320544632e-09
1813,1.7254450312975678e-08
1814,2.8320094713762956e-08
1815,4.045835311217161e-08
1816,6.025770460382773e-08
1817,2.1796227045456362e-08
1818,5.6029534789558966e-08
1819,1.1386155129855524e-08
1820,5.102586797534059e-08
1821,2.3667571014129862e-08
1822,6.316138012607553e-08
1823,3.755420951989663e-08
1824,4.884245363712125e-08
1825,2.1133063299316746e-08
1826,4.580151979904912e-08
1827,5.991227425283796e-08
1828,5.4116578329654885e-08
1829,4.8009784592295546e-08
1830,3.339787468803479e-08
1831,5.6128342862393765e-08
1832,2.0294953273491956e-08
1833,3.59092489077284e-08
1834,5.227337163127288e-08
1835,4.310960122211327e-08
1836,3.36037508930076e-08
1837,3.826840000442644e-08
1838,2.019891809368346e-08
1839,2.586845804231075e-08
1840,1.9746034585210737e-08
1841,2.953452238330101e-08
1842,2.1466448618667755e-08
1843,2.8353174030826267e-08
1844,2.0856532945146e-08
1845,2.9575207727283725e-08
1846,4.0981508409032585e-08
1847,2.3190860787281053e-08
1848,2.413566591030758e-08
1849,2.3462361387061037e-08
1850,2.1045888587423178e-08
1851,1.4188765051770247e-08
1852,3.906327283864641e-08
1853,2.6276499198729653e-08
1854,2.8576155441939477e-08
1855,2.600399184871094e-08
1856,2.7439102101567414e-08
1857,3.758762023853279e-08
1858,4.942612696900994e-08
1859,3.920973368209957e-08
1860,4.211009174692748e-08
1861,3.584132307610233e-08
1862,2.8463313511695176e-08
1863,3.096664996649068e-08
1864,1.6781548595190543e-08
1865,3.0123804117820896e-08
1866,1.6056523222118813e-08
1867,2.329349513274792e-08
1868,1.630158441567886e-08
1869,1.70923168951731e-08
1870,3.7271316699616364e-08
1871,1.3807530452325523e-08
1872,1.3304146229131675e-08
1873,1.7958013742713774e-08
1874,4.301718625754347e-08
1875,2.2313956460351392e-08
