year,suis_VERB au_ADP,suis_VERB beau_ADJ
1800,8.17482771253708e-07,0.0
1801,1.4953826621422195e-06,2.1430643926123594e-08
1802,7.742926868559152e-07,2.2378401354217203e-09
1803,8.932553896556783e-07,0.0
1804,2.1455666683323216e-06,0.0
1805,1.2195945373605355e-06,0.0
1806,1.6339064359272015e-06,5.76333825108577e-09
1807,8.512395766047121e-07,0.0
1808,7.070150900290173e-07,0.0
1809,1.0504492138352362e-06,0.0
1810,1.6825511011120398e-06,1.1700633351097167e-08
1811,1.2410030194587307e-06,0.0
1812,1.1895748457391164e-06,0.0
1813,1.1675510904751718e-06,2.8757416448144113e-09
1814,8.873629440131481e-07,0.0
1815,9.763949719854281e-07,5.394447111228828e-09
1816,7.972557227731158e-07,1.8540831092650478e-08
1817,1.3716054354517837e-06,2.0239355080775567e-08
1818,1.6379697171942098e-06,4.768470951432846e-09
1819,9.440157668905158e-07,0.0
1820,1.5485758240174619e-06,0.0
1821,1.876641249509703e-06,2.465372084259343e-08
1822,1.5389319969472126e-06,1.2030739071633434e-08
1823,1.5535583770542871e-06,8.894418535021487e-09
1824,1.3069567330603604e-06,1.431589158329416e-08
1825,1.4159152215142967e-06,5.283265824829186e-09
1826,7.909570172159874e-07,8.807984341885344e-10
1827,9.291011338063981e-07,8.295545583791863e-09
1828,9.851052027443075e-07,4.586150570418113e-09
1829,9.216164471581578e-07,3.429270423183084e-09
1830,1.1637072248049662e-06,9.39315203396518e-09
1831,1.3268116845210898e-06,1.5591206103948707e-09
1832,1.2758761158693233e-06,2.705993873419743e-09
1833,1.0958112852677004e-06,2.3167257001688313e-09
1834,9.334530659543816e-07,1.213489042584115e-08
1835,1.1208496744075092e-06,1.5126175867408165e-09
1836,1.0901056839429657e-06,4.032449929525228e-09
1837,9.379236871609464e-07,4.87052354003481e-09
1838,8.849651180753426e-07,3.1560809521380406e-09
1839,7.704605877734139e-07,1.3982950353153e-09
1840,7.611777732563496e-07,1.4013314952876499e-08
1841,7.878012979745108e-07,3.852329122366882e-09
1842,9.042741453413328e-07,1.1404051036834062e-08
1843,9.492405865785258e-07,8.269675610961258e-09
1844,7.497374667764234e-07,6.037417232818143e-09
1845,8.152712780429283e-07,6.696273757711424e-09
1846,7.429362085531466e-07,4.0981511517657054e-09
1847,6.196813728820416e-07,2.1572894581822766e-09
1848,8.600342198405997e-07,3.218088684420195e-09
1849,6.728670314259944e-07,5.02764896381791e-09
1850,7.780189434924978e-07,6.1100964288129944e-09
1851,6.907349074936064e-07,1.3543821175687754e-08
1852,8.053544888753095e-07,6.510545436100301e-09
1853,8.127799446810968e-07,5.971931837933653e-09
1854,7.996127351361793e-07,6.754363734984281e-09
1855,1.0937596925941762e-06,5.837630823180007e-09
1856,9.298231589127681e-07,6.73034605824796e-09
1857,9.489653507444018e-07,4.881508974818871e-09
1858,1.0076079206555733e-06,1.6149130033227266e-08
