year,plus_ADV eu_VERB,plus_ADV bu_VERB
1800,6.382653623404622e-07,4.4018303668735825e-08
1801,8.857999205247324e-07,3.333655484993869e-08
1802,9.689847502158955e-07,3.5805442166747525e-08
1803,7.547812970187806e-07,3.705644502360883e-08
1804,7.909923169791e-07,3.707776485839531e-08
1805,9.324638767793658e-07,4.8328921309348516e-08
1806,6.656655955339374e-07,4.610670600868616e-08
1807,8.512395766047121e-07,3.4163463169534225e-08
1808,9.562832019582856e-07,3.6257183921861724e-08
1809,1.070780513146019e-06,3.162642769893864e-08
1810,9.313704367741593e-07,9.360507036149102e-09
1811,1.0153661378353718e-06,3.259199843341776e-08
1812,9.735309731695452e-07,3.7340914360584065e-08
1813,1.1502966117404867e-06,3.4508900625951355e-08
1814,7.898159424257756e-07,4.090680150170556e-08
1815,1.1652006151052774e-06,1.8880564667256294e-08
1816,9.502176112619054e-07,3.9399267848239106e-08
1817,9.590339686837979e-07,4.0478710161551135e-08
1818,1.0097237463924102e-06,3.2187177367859476e-08
1819,9.057168881554389e-07,2.794783426907088e-08
1820,9.88477836472157e-07,3.559944161679596e-08
1821,9.930519127010484e-07,2.3667571014129862e-08
1822,8.712260068932665e-07,1.9048670196752937e-08
1823,1.0485530310688773e-06,1.1859224713361982e-08
1824,8.783220550867554e-07,2.189489300974401e-08
1825,9.589127785147866e-07,2.4655239627691117e-08
1826,8.78156015460263e-07,1.9377566218281572e-08
1827,9.632050250729662e-07,1.6591091167583727e-08
1828,1.0337183766750968e-06,1.4675682002973645e-08
1829,1.0176360092373216e-06,3.257806824308318e-08
1830,9.372278668706713e-07,1.6698937344017395e-08
1831,9.167629286821466e-07,2.6505050598757407e-08
1832,9.268028975384368e-07,2.4353944638733083e-08
1833,9.417490218766034e-07,1.2741991461950875e-08
1834,9.297193059865094e-07,1.9602515166639023e-08
1835,9.408481673744973e-07,1.739510224751939e-08
1836,1.0034079878096236e-06,1.2097349788575684e-08
1837,1.0235057743557263e-06,1.2524203896191466e-08
1838,8.319429412040336e-07,1.0730675015224733e-08
1839,1.0095690186062711e-06,9.088918062616358e-09
1840,1.0573683084658114e-06,7.64362617644565e-09
1841,1.1409314311094931e-06,5.778493683550323e-09
1842,1.0236811931463308e-06,7.379091560011375e-09
1843,9.557381872582482e-07,1.1813821920725331e-08
1844,8.6938808863124e-07,9.330554107123135e-09
1845,8.911624149732233e-07,1.2276501593078137e-08
1846,8.816879244477605e-07,1.1123552745573306e-08
1847,9.448928040001192e-07,7.011190739092399e-09
1848,1.034615479511558e-06,7.24069959545659e-09
1849,1.0139092410099693e-06,5.865590679832167e-09
1850,9.647163778936374e-07,8.146795238417326e-09
1851,1.1060787983296905e-06,1.0319102017319892e-08
1852,1.0241087693430018e-06,1.4974254725075298e-08
1853,1.0856972494366346e-06,7.166318205520383e-09
1854,1.0271828614349943e-06,8.313063126763609e-09
1855,9.579021025274415e-07,6.8990182455763716e-09
1856,1.029225245474663e-06,1.1389816201301528e-08
1857,1.1129840231660637e-06,7.322263684272912e-09
1858,9.753096037456999e-07,5.872411001917044e-09
