year,des_DET arts_NOUN,des_DET bars_NOUN
1800,4.483578486258466e-06,0.0
1801,3.931332472006943e-06,1.904946067554647e-08
1802,4.428685599577875e-06,0.0
1803,3.526213344429152e-06,1.950339223455444e-09
1804,3.3913795363105237e-06,0.0
1805,3.223823284770333e-06,2.842877711017877e-09
1806,3.5992048168509427e-06,0.0
1807,4.011359820310645e-06,1.1387820464392462e-08
1808,3.7050310908171014e-06,0.0
1809,3.1671608553551778e-06,0.0
1810,3.896311042694833e-06,2.3401267590372754e-09
1811,3.387060658610608e-06,5.0141535368197765e-09
1812,3.6300704806535578e-06,0.0
1813,3.255339500185528e-06,0.0
1814,3.2410774721824964e-06,0.0
1815,3.331071116718931e-06,0.0
1816,3.1287652859646187e-06,0.0
1817,3.2118297426109166e-06,0.0
1818,2.9159198788875074e-06,0.0
1819,2.927277048314636e-06,0.0
1820,2.876435104326447e-06,0.0
1821,2.9022359342434356e-06,0.0
1822,3.4929246055526164e-06,1.0025615893027862e-09
1823,2.9173692723816202e-06,0.0
1824,2.833704328963904e-06,1.6842225392110777e-09
1825,3.2941162402266855e-06,0.0
1826,2.9453898733322603e-06,7.0463874735082754e-09
1827,3.0260306473905985e-06,1.2904182611350734e-08
1828,2.8287376423463684e-06,2.7516904310687096e-08
1829,3.052907935341409e-06,1.714635211591542e-09
1830,2.933794661430511e-06,0.0
1831,2.5101842915375983e-06,7.795603274018958e-09
1832,2.9278854398739895e-06,4.058990921151917e-09
1833,3.0430191131358697e-06,6.950176989484191e-09
1834,2.6426057289086202e-06,2.8003592777992026e-09
1835,2.160017992025587e-06,3.781543966852041e-09
1836,2.150639986098213e-06,5.376600054063374e-09
1837,2.4992744016572033e-06,6.957890930081589e-10
1838,2.1499224018839413e-06,4.418513555037862e-09
1839,2.275725186962063e-06,6.9914751765765e-10
1840,2.2172886460225527e-06,6.369688665408546e-10
1841,2.300482588424302e-06,0.0
1842,2.4116211712055247e-06,4.695785538189057e-09
1843,2.311964927059762e-06,2.953455480181333e-09
1844,1.9797239900753993e-06,0.0
1845,1.9748427249055567e-06,5.022205318283568e-09
1846,2.3014045282820916e-06,5.854501328173001e-10
1847,2.3638499619949016e-06,1.0786447290911383e-09
1848,1.978319961182251e-06,0.0
1849,2.097367545417228e-06,2.513824481908955e-09
1850,2.3530659802872833e-06,0.0
1851,1.8658225933165795e-06,3.2247193804124663e-09
1852,2.4668457729859483e-06,4.557382027314816e-09
1853,2.176172033685475e-06,2.388772735173461e-09
1854,2.1624355373006665e-06,8.832629738719788e-09
1855,1.946053803436598e-06,7.960405667972736e-09
1856,2.319380863369247e-06,1.5531567698623405e-09
1857,2.2210867385297206e-06,7.322263573250609e-09
1858,2.2501123346785334e-06,1.9574704079872163e-09
1859,2.1977820203744614e-06,2.5460866748261424e-09
1860,2.1380026424822063e-06,4.577183909670879e-10
1861,2.0915298755141976e-06,7.545541969022906e-09
1862,1.912915438495588e-06,3.162590411776023e-09
1863,2.378937921321267e-06,1.1487628237549785e-08
1864,2.125023428334316e-06,4.794727948009836e-10
1865,1.7387083470765674e-06,3.765475486972036e-09
1866,2.080049533503825e-06,8.271541895865653e-09
1867,2.040121913182702e-06,1.261730986357179e-08
1868,1.9966971045448645e-06,1.4819622196071691e-09
1869,1.9040840726347597e-06,4.395167230164532e-09
1870,2.326877021729956e-06,4.587239033071455e-09
1871,1.7227549875542536e-06,7.434824311758348e-09
1872,1.712606495729574e-06,4.23313739617015e-09
1873,1.6521372550037938e-06,7.781805422268917e-09
1874,1.4345035985741106e-06,7.766991494406739e-09
1875,1.7805392893421867e-06,5.721527251978387e-09
1876,1.9171912626347876e-06,7.255217759905008e-09
1877,1.8981200753387384e-06,9.27722432209066e-09
1878,1.9288849166798627e-06,7.246906574831513e-09
1879,1.7234407145849673e-06,3.665595160740054e-09
1880,1.8367876002400862e-06,9.626769159609694e-09
1881,1.6594567648908765e-06,6.275256869692214e-09
1882,1.6225828964877564e-06,9.317539406694664e-09
1883,1.997543050080708e-06,8.847074628448581e-09
