year,tes_DET ans_NOUN,tes_DET bancs_NOUN
1800,3.45858084394024e-08,0.0
1801,5.0004833385131064e-08,2.3811825844433088e-09
1802,2.0140561218795483e-08,4.475680270843441e-09
1803,2.7304748684287006e-08,1.950339223455444e-09
1804,6.92118238276862e-08,9.887403784603066e-09
1805,5.685755510853596e-08,0.0
1806,1.498467980809437e-07,2.881669125542885e-09
1807,1.1387820464392462e-08,5.693910232196231e-09
1808,6.798221985349073e-09,1.1330369531492579e-08
1809,3.6144488291256494e-08,0.0
1810,3.978215445954447e-08,0.0
1811,3.760615285841595e-08,2.5070767684098882e-09
1812,7.20146218213813e-08,5.3344164641089264e-09
1813,4.6011867427253605e-08,1.1502966579257645e-08
1814,5.97868634599763e-08,3.1466771410748606e-09
1815,4.8550024445148665e-08,0.0
1816,3.708166040894412e-08,6.952811659743929e-09
1817,5.449056961204235e-08,4.670620334934483e-09
1818,2.8610826152686286e-08,0.0
1819,7.659776724011635e-08,2.070210003424222e-09
1820,1.0561168295453172e-07,1.1866481131050932e-09
1821,3.8459806006585495e-08,8.875339574387908e-09
1822,3.709477880420309e-08,4.010246357211145e-09
1823,3.557767347395213e-08,0.0
1824,6.989523360090288e-08,8.421112696055388e-10
1825,3.698286188402733e-08,8.805443041381977e-10
1826,3.8755132436563144e-08,3.5231937367541377e-09
1827,3.2260455640198415e-08,0.0
1828,4.402704451011985e-08,2.7516904310687096e-09
1829,3.257806824308318e-08,8.57317605795771e-10
1830,1.1480518979922749e-08,1.0436835840010872e-09
1831,1.7150327380477393e-08,0.0
1832,4.735489356200162e-08,1.3529969367098715e-09
1833,6.023486831541192e-08,2.3167257001688313e-09
1834,3.080395205579123e-08,1.8669061851994684e-09
1835,3.1764969321557146e-08,2.2689263801112247e-09
1836,3.22596004909137e-08,2.016224964762614e-09
1837,3.1310509740478665e-08,6.957890930081589e-10
1838,3.3454458758797045e-08,1.2624323808552163e-09
1839,2.7965900262216792e-08,0.0
1840,2.930056863803543e-08,1.2739377330817092e-09
1841,2.760835826620678e-08,7.0626033910059505e-09
1842,3.4212152222323766e-08,2.683306021822318e-09
1843,1.5357968674578615e-08,7.678984559333912e-09
1844,1.701454005464953e-08,4.390849017710252e-09
1845,2.17628883802945e-08,1.674068439427856e-09
1846,2.2247105713191218e-08,0.0
1847,1.887628275909492e-08,7.011190739092399e-09
1848,1.2067832455553429e-08,4.82713291560799e-09
1849,2.262441967104678e-08,4.1897072478036534e-09
1850,1.6972489191857676e-08,4.073397619208663e-09
1851,1.3543821397732358e-08,2.579775504329973e-09
1852,2.539112786692499e-08,2.6042181744401205e-09
1853,2.9262466672008713e-08,1.7915795513800958e-09
1854,2.3380490266067255e-08,2.5978321716024766e-09
1855,3.874064091746732e-08,2.1227748447927297e-09
1856,2.381507024917795e-08,1.5531567143511893e-09
1857,4.7838790040444223e-08,2.4407544874094356e-09
1858,2.055343872875426e-08,1.468102750479261e-09
1859,4.328347347204442e-08,2.5460866748261424e-09
1860,1.8308735055816427e-08,9.154367819341758e-10
1861,2.9710572058139206e-08,1.8863854922557266e-09
1862,3.840288445577933e-08,1.8071945051545413e-09
1863,2.2475794225762513e-08,7.991393324857654e-09
1864,3.0206785961439664e-08,1.9178911792039344e-09
