year,ses_DET arrières_NOUN,ses_DET barrières_NOUN
1800,1.5720821977538435e-08,1.131899196593622e-07
1801,1.1905912700171939e-08,9.048493865293494e-08
1802,8.951360541686881e-09,9.175144555229053e-08
1803,1.950339267864365e-08,1.4237475687295387e-07
1804,2.2246657849223084e-08,4.69651695311768e-08
1805,3.695740935505398e-08,7.107194477384837e-08
1806,2.0171682990621775e-08,1.440834580535011e-07
1807,2.2775640928784924e-08,8.256169792275614e-08
1808,2.7192887941396293e-08,8.384473915157287e-08
1809,2.9367397402779716e-08,9.93973401364201e-08
1810,0.0,6.786367379163494e-08
1811,2.5070768572277302e-08,3.008491944456182e-08
1812,6.66802022486479e-08,6.668020802180763e-08
1813,3.163315653864629e-08,1.7254450312975678e-08
1814,3.1466772298927026e-08,1.0698702368472368e-07
1815,3.506390555685357e-08,1.348611817775236e-07
1816,2.3176038865813098e-09,6.257530316133852e-08
1817,2.6466848268569265e-08,6.694555310104988e-08
1818,4.6492591110336434e-08,9.060094652291184e-08
1819,4.140420006848444e-09,9.833497327527141e-08
1820,2.254631326081835e-08,1.1629151153158546e-07
1821,8.875339574387908e-09,8.480879720718093e-08
1822,8.02049271442229e-09,5.3135764233047666e-08
1823,1.4824030003524058e-08,4.941343334508019e-08
1824,2.0210670470532932e-08,9.347435270257165e-08
1825,2.641632912414593e-09,9.245715215655537e-08
1826,2.642395191543301e-09,5.10863092939573e-08
1827,6.452091305675367e-09,8.479891278057039e-08
1828,1.8344602503717056e-09,4.219258542548232e-08
1829,7.715858174606183e-09,6.344150449422159e-08
1830,5.218417920005436e-09,1.0228099256437417e-07
1831,6.236482441579483e-09,7.483778574624012e-08
1832,4.058990921151917e-09,6.088486081967659e-08
1833,0.0,1.0772774317047151e-07
1834,3.733812370398937e-09,8.77445902602858e-08
1835,1.2100940693926532e-08,6.655517381659593e-08
1836,5.376600054063374e-09,8.468145401563376e-08
1837,1.2524203896191466e-08,5.775049416456568e-08
1838,5.680945491803868e-09,7.13274284080967e-08
1839,6.292327547896548e-09,9.22874718867206e-08
1840,1.46502836528839e-08,6.879263869663532e-08
1841,6.420548537278137e-10,8.089890846108005e-08
1842,6.708265054555795e-09,9.056157779241403e-08
1843,2.3627644285539873e-09,8.32874462730615e-08
1844,3.2931368743049916e-09,7.57421432240335e-08
1845,7.812318791877715e-09,8.593551115154696e-08
1846,1.7563503984519002e-09,1.2762812673372537e-07
1847,2.1572894581822766e-09,7.172987803727437e-08
1848,0.0,1.0941501216166216e-07
1849,1.005529792763582e-08,6.871120206142223e-08
1850,4.752297222410107e-09,8.554135177973876e-08
1851,1.2253934089656582e-08,1.0319101861888669e-07
1852,9.114764054629632e-09,6.640756566866912e-08
1853,5.971931837933653e-09,8.480143520728234e-08
1854,4.676098175337984e-09,8.261106643203675e-08
1855,1.5920811335945473e-09,8.650307847801741e-08
1856,2.5885946719483854e-09,6.316170697573398e-08
1857,4.393358121745905e-09,7.517523764599687e-08
1858,1.4191660291373864e-08,6.214968356621497e-08
1859,1.2221215817120878e-08,7.129042911557804e-08
1860,3.661747127736703e-09,7.369266086243442e-08
1861,4.2443675241088386e-09,8.818852137437716e-08
1862,8.584174260306554e-09,9.081152541057236e-08
1863,4.994620828036034e-10,8.141231688796324e-08
1864,7.1920918109924514e-09,6.281093334337129e-08
1865,1.882737743486018e-09,5.64821323600917e-08
1866,1.9462451650298362e-09,6.714545719432863e-08
1867,5.338092634588065e-09,6.890992310104593e-08
1868,8.891772984576107e-09,5.9278487896108345e-08
1869,6.8369265804335555e-09,5.078859888207887e-08
1870,5.734048791339319e-10,8.199689460752779e-08
1871,4.248470908407853e-09,4.991953161948004e-08
1872,1.1489944995446422e-08,3.688877114882416e-08
1873,4.788803575905831e-09,5.5071240012694034e-08
1874,4.182226565063729e-09,4.660195074279727e-08
1875,7.437985338754061e-09,3.318485752856759e-08
1876,2.418405919968336e-09,4.474050996350343e-08
1877,4.329371083855449e-09,6.988841894095543e-08
1878,3.0195443923020093e-09,4.166971123709118e-08
1879,6.10932526790009e-10,6.659164353273184e-08
1880,1.0910338410496934e-08,4.299956879449951e-08
1881,2.7890030285249168e-09,6.623881887435346e-08
1882,1.3310770263785798e-09,4.592215674392719e-08
1883,4.423537092179686e-09,4.486730631469982e-08
1884,5.941527270181268e-09,5.0172896948197376e-08
1885,1.933690763067375e-09,6.316722789279083e-08
1886,2.5813855497602844e-09,3.6784744139595205e-08
1887,3.264462256069578e-09,4.83140425444617e-08
1888,1.268122939990235e-09,6.467426771905593e-08
1889,1.8795409673089125e-09,5.826577265111155e-08
1890,1.0487018364813139e-08,5.571228456346944e-08
1891,1.9122659011827636e-09,4.6531805963923034e-08
1892,2.5074049503359674e-09,5.829716442917743e-08
1893,2.463366621796581e-09,3.633465800456648e-08
1894,2.520615716150587e-09,4.096000538744704e-08
1895,1.2639090662958097e-08,3.49079627426363e-08
1896,5.89702897624278e-10,3.2433661090180976e-08
1897,2.9133566670225264e-09,2.2141511735185304e-08
1898,3.3950129374460403e-09,4.979352230538581e-08
1899,4.4220627160029835e-09,4.698441813388854e-08
1900,5.710158568206225e-09,4.671947806400567e-08
1901,1.676621730339889e-09,3.7444550626819506e-08
1902,7.365425602756659e-09,5.008489623037349e-08
1903,7.560307935250421e-09,4.806195974538241e-08
