year,aux_ADP ailes_NOUN,aux_ADP belles_NOUN
1800,1.0155650898013846e-06,3.5843476275942976e-07
1801,5.738650088460417e-07,3.738456577639937e-07
1802,6.646384917985415e-07,3.983355441050662e-07
1803,1.7045964568751515e-06,4.1542224837876063e-07
1804,8.280700711793543e-07,4.869546401664593e-07
1805,7.192480744322438e-07,5.088750982817913e-07
1806,7.146539608982039e-07,4.26487041238488e-07
1807,3.843389322355506e-07,5.807788570066919e-07
1808,5.121327149026911e-07,4.6454516855476413e-07
1809,1.549694939484425e-06,4.156616171258065e-07
1810,4.844062466702326e-07,6.084329555733348e-07
1811,8.950263961082783e-07,4.7634458111289746e-07
1812,8.001624749454095e-07,4.6942863729526607e-07
1813,5.521424046861512e-07,5.693968505582347e-07
1814,4.940283133691992e-07,3.3040108604609486e-07
1815,3.803085348863533e-07,1.7531953355742758e-07
1816,1.3627510337954618e-06,3.2446453346324233e-07
1817,1.782620030699178e-06,4.5149328542493095e-07
1818,9.715759921036238e-07,3.2664027393991546e-07
1819,6.29343835711893e-07,3.798835290780289e-07
1820,7.440283944504245e-07,4.354998708322455e-07
1821,5.828139575392299e-07,4.4080852290573347e-07
1822,6.456496350892849e-07,3.909990198280866e-07
1823,8.726412743520484e-07,3.043867558005786e-07
1824,5.81056774251465e-07,3.9831863940520407e-07
1825,9.210493430167332e-07,3.398900951800954e-07
1826,7.980033958077115e-07,3.6112736356841424e-07
1827,5.428974076404636e-07,4.1477728102146116e-07
1828,7.007637954359325e-07,3.8798834089970313e-07
1829,7.398650723189348e-07,2.812001607122028e-07
1830,6.71088552950394e-07,3.851192382775537e-07
1831,8.107427404979717e-07,3.726298254402849e-07
1832,1.148694348973578e-06,3.3419025236014477e-07
1833,8.988895814354692e-07,3.8110137845492886e-07
1834,1.3255034332360083e-06,3.677805249235888e-07
1835,9.332850510190838e-07,3.244564581450504e-07
1836,1.0786803619211582e-06,3.441024158945538e-07
1837,8.913058202608681e-07,3.005808767442275e-07
1838,9.878533031582037e-07,3.206578320646969e-07
1839,9.669210536689121e-07,3.1181978465966154e-07
1840,9.242418399502128e-07,2.573354206947265e-07
1841,1.0221512800612231e-06,2.895667363667087e-07
1842,8.821368764344584e-07,3.9042101906971993e-07
1843,8.358279046660755e-07,3.23698735427147e-07
1844,8.123070762700024e-07,2.7442807648547785e-07
1845,8.102491011463542e-07,2.405078266543015e-07
1846,8.969095937061411e-07,3.009213715987613e-07
1847,6.768495559583698e-07,2.2543674305097738e-07
1848,7.667096042496269e-07,2.6388327978299486e-07
1849,7.524714522588738e-07,2.2708214553190942e-07
1850,1.1079642057154615e-06,2.362570645786377e-07
1851,8.132742395083881e-07,2.1089664414830622e-07
1852,1.2532799686937324e-06,2.8060449674960353e-07
1853,1.0701701667059638e-06,2.131979708330789e-07
1854,1.049524215090969e-06,2.7121368884053254e-07
1855,1.1240093016340325e-06,2.6269337993767294e-07
1856,9.173979309551328e-07,2.8370996996152087e-07
1857,1.3243533629747617e-06,3.143691922891101e-07
1858,9.694372007373886e-07,2.8432256571342407e-07
1859,1.0606997644657667e-06,2.790510855721351e-07
1860,1.265133627192938e-06,2.7417332176815634e-07
1861,1.0422279688171443e-06,3.1738435152250943e-07
1862,1.0788951039231165e-06,3.0134968076467317e-07
1863,9.864376591117718e-07,2.961810032786616e-07
1864,1.0543606840940356e-06,3.087804820722795e-07
1865,1.0053820034272576e-06,3.610149497679238e-07
1866,1.016426519839797e-06,3.7075969716582335e-07
1867,1.2685249561883438e-06,3.9016602926267296e-07
1868,9.701912162540793e-07,4.006238003562146e-07
1869,1.2760635605957305e-06,3.3891621464832156e-07
1870,1.0040319584625479e-06,3.4289610706395024e-07
1871,1.4572255366829268e-06,1.667524855974989e-07
1872,8.94401498641173e-07,2.461267059050698e-07
1873,1.0738892459727367e-06,2.292639752488057e-07
1874,1.160269141209369e-06,2.2285292677892699e-07
1875,1.1088319098462307e-06,3.1754476087497707e-07
1876,1.2382237954966513e-06,3.1076516382455566e-07
1877,1.3829248892704982e-06,3.5871932402287143e-07
1878,1.1794340579740492e-06,2.6390816998400624e-07
1879,1.169935790912291e-06,2.86527350956689e-07
1880,1.0127361917966482e-06,3.2025052831841094e-07
1881,1.2187943490005182e-06,3.542033920611587e-07
1882,9.630341977207024e-07,3.068132650163591e-07
1883,1.2689232455898036e-06,3.450359109535839e-07
1884,1.24508009236024e-06,3.1490096041864035e-07
1885,1.1569915621123528e-06,2.3719939634680998e-07
1886,1.3558727545159854e-06,2.9040587579132193e-07
1887,1.1458263173835803e-06,2.702974783441725e-07
1888,1.2243727454119835e-06,2.6884205595045785e-07
1889,1.1114352993502052e-06,2.5749712717626494e-07
1890,1.2505769717563453e-06,3.041235262513098e-07
1891,1.4431234234280055e-06,2.2947191780087195e-07
1892,1.1095266465588338e-06,2.8897842052622025e-07
1893,9.896575656753726e-07,3.2023766238786777e-07
1894,1.2577871864039025e-06,2.552123383736671e-07
1895,1.135712562216895e-06,2.3592968600993913e-07
1896,1.078566633339051e-06,2.6536629543771895e-07
1897,1.3092624939758934e-06,2.2374579489170543e-07
1898,1.1328026392476431e-06,2.4953345045819475e-07
1899,1.0513454231642072e-06,2.6919305540218375e-07
1900,1.0740289475563713e-06,3.052339370146484e-07
1901,1.0657724880402952e-06,2.984386520132887e-07
1902,1.5948601408410923e-06,2.715386907548023e-07
1903,1.1178455689986322e-06,2.4408996135427685e-07
1904,1.1157722035193274e-06,2.6066931990698095e-07
1905,9.738352204635703e-07,2.786809910060306e-07
1906,1.1898498719631334e-06,2.628678332783352e-07
1907,1.202396827437724e-06,2.530278893075888e-07
1908,1.1600700560165933e-06,2.691441269853101e-07
1909,1.246522870701483e-06,3.0475449230848994e-07
1910,1.3563454785980866e-06,3.094263117953133e-07
1911,1.4545903219698175e-06,2.8889630687700674e-07
1912,1.423734850902747e-06,2.8026685477966495e-07
1913,1.3596865429121863e-06,2.3014975680801797e-07
1914,1.275729729854902e-06,2.8795999273967254e-07
1915,1.212240440473522e-06,2.3443716068438647e-07
1916,1.7909563680973406e-06,2.2414422939931455e-07
1917,1.5342027346321174e-06,2.5880761178598277e-07
1918,1.4886343535636115e-06,2.0445749537856273e-07
1919,1.5634926704422014e-06,3.176707715768501e-07
1920,1.2107998497157269e-06,3.1424762170217946e-07
1921,1.2956970891764286e-06,3.1956993196136096e-07
1922,1.623883548518279e-06,3.46762954517299e-07
1923,1.5722218762448392e-06,3.2378641101615813e-07
1924,1.2105235374093581e-06,3.313147479699907e-07
1925,1.5760388905050604e-06,3.167475184362445e-07
1926,1.3408804484527082e-06,2.9983111748954627e-07
1927,1.4248709305775265e-06,2.5308739992624396e-07
1928,1.5105226225387014e-06,3.1307353287601813e-07
1929,1.350217242901408e-06,3.28641977187516e-07
1930,1.308748981188046e-06,2.762447852688865e-07
1931,1.6013121211244652e-06,2.78290706923201e-07
1932,1.2603467496319354e-06,2.7837221827642367e-07
1933,1.1883606134688307e-06,2.523545679089523e-07
1934,1.3515222434534735e-06,3.007376534469586e-07
1935,1.4278162723257992e-06,2.6928638963141793e-07
1936,1.2706701113529562e-06,2.776559684392055e-07
1937,1.4832337598136291e-06,2.2160368062795754e-07
1938,1.2718874913275613e-06,3.4228165080030237e-07
1939,1.2525827060017036e-06,2.0952848878152963e-07
1940,1.3769301290267322e-06,2.5104251477614525e-07
1941,1.1038620080228156e-06,2.892472514837152e-07
1942,1.8539033845854647e-06,2.9735276640963093e-07
1943,1.5387146206080615e-06,2.6129116648121453e-07
1944,2.1046368630095458e-06,2.538417120945269e-07
1945,1.941047102604898e-06,2.9191953565543827e-07
1946,1.2877021973167757e-06,3.5638026574247306e-07
1947,1.2481151756560394e-06,2.7894837639763637e-07
1948,1.2426567508327935e-06,2.7288439130579434e-07
1949,1.0808525985339656e-06,2.719311229526511e-07
1950,1.6676246161750896e-06,2.552486675355681e-07
1951,1.2239289759463645e-06,2.7613031072792893e-07
1952,1.3065012467450288e-06,1.9507887760727982e-07
1953,1.2670021334315607e-06,2.2086346673777513e-07
1954,1.908576280129637e-06,2.5506318790391447e-07
1955,1.4801103844774843e-06,2.4590292380111123e-07
1956,1.3369510298844034e-06,2.407035097906629e-07
1957,1.2907990054600305e-06,2.332449931530256e-07
1958,1.1672135755702584e-06,2.183872242489393e-07
1959,1.103706445348962e-06,2.4104826223947384e-07
1960,9.253154331645419e-07,2.2146666928124503e-07
1961,1.1256018410676916e-06,2.3693223161203036e-07
1962,1.4110852504245486e-06,2.2894462442524244e-07
1963,9.084804943881863e-07,2.2437204250103093e-07
1964,1.2192272436095664e-06,2.518762831082988e-07
1965,1.0665012872834723e-06,2.363922698700449e-07
1966,1.0319295746796797e-06,2.3374895163907894e-07
1967,1.0107188224139918e-06,2.6180081569293634e-07
1968,1.2122331440878042e-06,2.7038323824335464e-07
1969,8.411335450375645e-07,2.1891271984042504e-07
1970,8.061565175410124e-07,3.255897318976686e-07
1971,9.500896887004728e-07,2.528091596065707e-07
1972,1.0583492837668018e-06,2.554813072208617e-07
1973,9.736317636566127e-07,2.0343721696125527e-07
1974,7.842046780837109e-07,1.9520732874589442e-07
1975,7.310694556394992e-07,1.9419032870615638e-07
1976,8.8388258490113e-07,2.0797237132441637e-07
1977,9.044367459409841e-07,2.0803808498115473e-07
1978,8.334649663765958e-07,2.0138604994723863e-07
1979,8.380026041976407e-07,2.35249331126397e-07
1980,8.180932109524974e-07,2.3195414422527705e-07
