year,quels_DET aveux_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,2.7304748684287006e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,6.293354282149721e-08
1815,0.0
1816,2.5493642752394408e-08
1817,3.113746815941454e-09
1818,7.152706205104664e-09
1819,9.315945126431302e-09
1820,1.0679833017945839e-08
1821,3.550135829755163e-08
1822,1.1028177482330648e-08
1823,4.941343556552624e-09
1824,1.3473780313688621e-08
1825,7.044354433105582e-09
1826,1.673517047162676e-08
1827,3.6869092223668076e-09
1828,5.503380862137419e-09
1829,9.430493719264632e-09
1830,5.218417920005436e-09
1831,1.5591206103948707e-09
1832,6.764984572527055e-09
1833,5.791814361444381e-09
1834,1.0267983796552471e-08
1835,3.781543966852041e-09
1836,1.5457725321965654e-08
1837,4.870523429012508e-09
1838,3.1560809521380406e-09
1839,6.292327991985758e-09
1840,2.5478754661634184e-09
1841,1.412520722610111e-08
1842,4.695785538189057e-09
1843,8.860366440543999e-09
1844,7.683985892015244e-09
1845,2.734311665975042e-08
1846,1.9905304959877412e-08
1847,8.629157832729106e-09
1848,7.24069959545659e-09
1849,5.02764896381791e-09
1850,9.504594444820214e-09
1851,1.5478653470069048e-08
1852,4.557381805270211e-09
1853,1.3138250487543246e-08
1854,1.3508727914057772e-08
1855,1.539011762474729e-08
1856,1.6049286344355096e-08
1857,5.369660049936442e-09
1858,1.468102839297103e-08
1859,9.165912029374113e-09
1860,1.876645416842848e-08
1861,3.772771095533756e-09
1862,1.8071945329101169e-09
1863,1.2486552236623538e-08
1864,9.589455896019672e-09
1865,9.88437331983505e-09
1866,1.1677470990179017e-08
1867,8.249779526181555e-09
1868,4.93987406535723e-09
1869,2.197583626184496e-08
1870,1.7202146374017957e-09
1871,8.496941594771101e-09
1872,3.1446164783233144e-08
1873,4.788803575905831e-09
1874,1.3741600912720031e-08
1875,4.577221879298321e-09
1876,6.04601479992084e-10
1877,9.27722387800145e-09
1878,2.4156354694326865e-09
1879,4.887460214320072e-09
1880,4.492492378105339e-09
1881,6.972507571312292e-09
1882,2.861815540100565e-08
1883,6.951273001654101e-09
1884,1.3203393933736152e-08
1885,1.4824961758197475e-08
1886,1.097088864199236e-08
1887,1.0446279397058333e-08
1888,2.028996703984376e-08
1889,1.0024218788373673e-08
1890,5.898947996740844e-09
1891,5.736798147637501e-09
1892,2.6327752422616868e-08
1893,6.15841644346915e-09
1894,1.8904617871129403e-09
1895,1.38428128959589e-08
1896,1.179405795248556e-09
1897,6.992056156285287e-09
1898,9.619203211741478e-09
1899,1.6582735185011188e-09
1900,3.114631885736685e-09
1901,1.117747761014698e-08
1902,2.455141923096704e-09
1903,9.18037423858209e-09
1904,1.0749250378694342e-08
1905,8.773290538499623e-09
1906,4.629766070518571e-09
