year,nos_DET arts_NOUN,nos_DET barres_NOUN
1800,6.38265364116819e-07,6.288328968651058e-09
1801,9.45329502677339e-07,4.7623651688866175e-09
1802,8.682819725436275e-07,0.0
1803,6.221581958509859e-07,0.0
1804,6.822308380449726e-07,2.4718509461507665e-09
1805,6.026900787325928e-07,2.842877711017877e-09
1806,9.394241118343416e-07,0.0
1807,1.207109001200024e-06,0.0
1808,1.2644693296870457e-06,0.0
1809,8.539135638585549e-07,0.0
1810,8.424456368061328e-07,2.3401267590372754e-09
1811,8.549131917945374e-07,0.0
1812,7.734904023948275e-07,0.0
1813,9.576219959228638e-07,0.0
1814,6.765356008742174e-07,0.0
1815,7.902865224451716e-07,0.0
1816,5.608601494344612e-07,3.9399267848239106e-08
1817,8.329272809248778e-07,0.0
1818,8.845513477240274e-07,1.1921177378582115e-09
1819,9.885252687524826e-07,0.0
1820,8.342135995320632e-07,0.0
1821,6.784703837636741e-07,1.3806083387635226e-08
1822,6.747239353899204e-07,0.0
1823,6.858584820079727e-07,0.0
1824,7.107419053298258e-07,0.0
1825,1.0804278349763052e-06,0.0
1826,9.644742933190287e-07,0.0
1827,9.005275920515032e-07,9.217273055917019e-10
1828,6.136269755652179e-07,0.0
1829,6.455601662125332e-07,0.0
1830,6.387343500779963e-07,0.0
1831,5.987022868580993e-07,3.1182412207897414e-09
1832,7.63090292288382e-07,0.0
1833,8.652970500122592e-07,0.0
1834,6.608848170941428e-07,7.467624740797874e-09
1835,5.052142952877148e-07,4.5378527602224494e-09
1836,5.699196027886266e-07,2.016224964762614e-09
1837,5.350618107469174e-07,1.3915781860163179e-09
1838,5.396898217213675e-07,0.0
1839,3.873277290011856e-07,2.7965900706306e-09
1840,4.758157468032209e-07,5.095750932326837e-09
1841,7.300163495926881e-07,5.1364388298225094e-09
1842,4.0853334271062636e-07,3.3541325272778977e-09
1843,5.564310487926605e-07,1.1813822142769936e-09
1844,4.4841545054907783e-07,1.6465684371524958e-09
1845,3.5434446576942946e-07,6.696273757711424e-09
1846,4.2562225166520307e-07,0.0
1847,3.6296395222734645e-07,1.0247124926365814e-08
1848,3.588168988599705e-07,8.045221711050488e-10
1849,3.9383250038937945e-07,0.0
1850,3.5031218370562556e-07,2.0366988096043315e-09
1851,3.173123972466385e-07,5.8044946626978344e-09
1852,4.2904493113837816e-07,1.0416872697760482e-08
1853,3.881755823442745e-07,4.777545470346922e-09
1854,3.7408784853143473e-07,4.1565315633818045e-09
1855,3.1045581394550936e-07,3.714855978387277e-09
1856,3.8259427448394945e-07,5.177189232874468e-10
1857,3.5781460994144254e-07,3.4170564155999728e-09
1858,3.298337523105488e-07,1.1744822003834088e-08
1859,4.450559367707996e-07,2.036869339860914e-09
1860,3.5610490378701343e-07,2.746310290291376e-09
1861,3.923681894946185e-07,1.8863854922557266e-09
1862,3.478849368854231e-07,1.1746764450037972e-08
1863,4.2154599866339737e-07,0.0
1864,4.176208174833107e-07,6.233146443435089e-09
1865,2.767624440735972e-07,0.0
1866,2.899905249265089e-07,1.2650593461671633e-08
1867,3.6541671555312405e-07,4.367530337390235e-09
1868,4.3372093450066984e-07,7.409810987013543e-09
1869,2.7787222955932833e-07,2.441759683335931e-09
1870,2.471375095680628e-07,3.4404292748035914e-09
1871,2.3260377846057168e-07,1.0621177271019633e-09
1872,2.6305926326131157e-07,1.2094678591978436e-09
1873,2.3824298089891727e-07,4.788803575905831e-09
1874,2.4973865864197364e-07,4.779687312606029e-09
1875,2.7692190007755357e-07,5.149374260327022e-09
1876,2.714660718439177e-07,4.836811839936672e-09
1877,2.591437890941961e-07,0.0
1878,2.947075388171072e-07,4.22736201599605e-09
1879,2.1565918462140843e-07,1.221865097988939e-08
1880,3.131909105391628e-07,3.8507077526617195e-09
1881,2.2521199100067335e-07,1.3945015142624584e-09
1882,1.956683171044915e-07,2.6621540527571597e-09
1883,2.8437024701677416e-07,5.687405213450347e-09
1884,3.2678400785357553e-07,2.6406787867472303e-09
1885,1.643637115300578e-07,1.933690763067375e-09
1886,1.664993745098542e-07,0.0
1887,1.717107175336352e-07,0.0
1888,1.9148657059986363e-07,6.340614699951175e-10
1889,2.2366537866247427e-07,1.8795409673089125e-09
1890,1.8942176299718838e-07,0.0
1891,2.8301537646768793e-07,3.824531802365527e-09
1892,1.748914986166028e-07,2.5074049503359674e-09
1893,1.8598417833581848e-07,1.2316833108982905e-09
1894,1.8022402148432093e-07,1.2603078580752936e-09
1895,1.8296587511734685e-07,6.018614495673091e-10
1896,2.4118848918064373e-07,6.486732040400511e-09
1897,1.6606134012331353e-07,2.330685422435863e-09
1898,2.1671498950937007e-07,6.7900258748920805e-09
1899,1.86279388358912e-07,3.8693048765026106e-09
1900,1.8428239145773517e-07,4.671947717582725e-09
1901,1.7660414708409178e-07,5.588738916095792e-10
1902,1.4976366036201227e-07,4.419255628107521e-09
1903,2.068284372658269e-07,5.940242076007962e-09
1904,1.8649949851123893e-07,6.987012746151322e-09
1905,1.6411214098788207e-07,5.160758931310738e-09
1906,2.0782504761562848e-07,3.600929110447737e-09
1907,1.4708531348439635e-07,1.028568674676933e-09
1908,2.2395934617946978e-07,4.911389073214423e-10
1909,2.123379602703146e-07,3.300590023513905e-09
1910,1.945270775571828e-07,5.34415089958884e-09
1911,2.2132757115933543e-07,1.5961122423746588e-09
1912,2.443218523051627e-07,5.730363294986773e-09
