year,aux_ADP heures_NOUN
1800,8.269152402817781e-07
1801,9.59616592410839e-07
1802,8.190494611426402e-07
1803,7.21625518451674e-07
1804,9.269441036963144e-07
1805,1.1343082420012252e-06
1806,1.1036793097218833e-06
1807,1.1217003361707611e-06
1808,1.0854494298939699e-06
1809,1.3463821737502712e-06
1810,1.0085946797744327e-06
1811,1.1883544175361749e-06
1812,9.2285405628445e-07
1813,9.08734353544105e-07
1814,1.1170703402285653e-06
1815,9.413310255723673e-07
1816,1.0660977523002657e-06
1817,1.008854006556703e-06
1818,1.0454872381160385e-06
1819,7.783989346421549e-07
1820,9.967844150082783e-07
1821,9.486751686438311e-07
1822,1.013589752574262e-06
1823,9.546675645566438e-07
1824,1.0139020005794919e-06
1825,1.1746460693018435e-06
1826,1.1978859149053278e-06
1827,1.2434101073210968e-06
1828,1.0942554986570485e-06
1829,1.176239699418602e-06
1830,1.0603825018051793e-06
1831,1.0835887671589717e-06
1832,9.97158714710622e-07
1833,1.1965888582210482e-06
1834,1.1892192279816527e-06
1835,1.4369866505603568e-06
1836,1.2749262801037275e-06
1837,1.2851224227006242e-06
1838,1.2933620254784728e-06
1839,1.1724704265247965e-06
1840,1.3561066651845977e-06
1841,1.2006426075572563e-06
1842,1.314149081110827e-06
1843,1.570647665261049e-06
1844,1.4627015509915964e-06
1845,1.4458370145575827e-06
1846,1.5081195385846513e-06
1847,1.5672707647240713e-06
1848,1.7240910423765854e-06
1849,1.6959935926763592e-06
1850,1.4772855436717691e-06
1851,1.6446068613618081e-06
1852,1.72724773506161e-06
1853,1.7933711333739666e-06
1854,1.7925042783417666e-06
1855,1.6393128490221898e-06
1856,1.7949314852216958e-06
1857,1.8139687654183945e-06
1858,1.5454228687872273e-06
1859,1.9375719233494237e-06
1860,1.8024949994810413e-06
1861,1.6274791150294732e-06
1862,1.8202966316493985e-06
1863,1.925426275306563e-06
1864,1.9011095986343207e-06
1865,1.8173125937437362e-06
1866,1.7632981439419382e-06
1867,1.748953224023353e-06
1868,1.8099698309015366e-06
1869,1.9304550704646317e-06
1870,1.696131654682631e-06
1871,1.7641774903154328e-06
1872,1.8172254954151867e-06
1873,1.8688306440139968e-06
1874,2.115609134989427e-06
1875,1.9401698381216193e-06
1876,1.8325470350077921e-06
1877,2.0378967562351136e-06
1878,2.119720065252295e-06
1879,2.0337943595905017e-06
1880,2.0684717867425206e-06
1881,2.114761613825067e-06
1882,2.3333779211043293e-06
1883,2.1732206079150274e-06
1884,2.294749890552339e-06
1885,2.24694852590801e-06
1886,2.309049406790109e-06
1887,2.695140139508112e-06
1888,2.5273691051097558e-06
1889,2.45029491452442e-06
1890,2.7010625984758008e-06
1891,2.4336773094546515e-06
